team_id,team_name,gp,w,l,w_pct,min,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_blka,opp_pf,opp_pfd,opp_pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,opp_fgm_rank,opp_fga_rank,opp_fg_pct_rank,opp_fg3m_rank,opp_fg3a_rank,opp_fg3_pct_rank,opp_ftm_rank,opp_fta_rank,opp_ft_pct_rank,opp_oreb_rank,opp_dreb_rank,opp_reb_rank,opp_ast_rank,opp_tov_rank,opp_stl_rank,opp_blk_rank,opp_blka_rank,opp_pf_rank,opp_pfd1,opp_pts_rank,plus_minus_rank
1610612738,Boston Celtics,4,3,1,0.75,7.798333333333333,3.0,9.0,0.333,3.0,5.0,0.6,1.0,1.0,1.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,1.0,3.0,2.0,10.0,-15.0,7,5,2,2,11,1,1,3,8,4,13,1,1,10,1,5,2,3,10,1,1,8,6,13,1,2
1610612751,Brooklyn Nets,1,0,1,0.0,5.066666666666666,6.0,11.0,0.545,2.0,3.0,0.667,2.0,2.0,1.0,3.0,2.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,16.0,9.0,15,13,2,13,14,4,3,12,3,1,14,2,2,10,5,1,2,7,10,3,1,12,1,13,3,11
1610612743,Denver Nuggets,7,3,4,0.429,44.33,35.0,84.0,0.417,7.0,23.0,0.304,17.0,21.0,0.81,16.0,19.0,35.0,12.0,6.0,12.0,4.0,8.0,18.0,19.0,94.0,6.0,5,5,11,9,4,12,12,8,10,10,5,10,10,7,14,12,12,11,5,15,11,1,11,4,12,10
1610612744,Golden State Warriors,13,8,5,0.615,57.86833333333333,39.0,96.0,0.406,13.0,45.0,0.289,25.0,31.0,0.806,13.0,33.0,46.0,17.0,17.0,7.0,6.0,8.0,28.0,27.0,116.0,-12.0,1,1,14,3,1,14,15,7,14,15,4,14,14,6,12,13,13,13,3,13,14,1,14,1,15,3
1610612745,Houston Rockets,8,4,4,0.5,34.531666666666666,24.0,64.0,0.375,12.0,28.0,0.429,22.0,24.0,0.917,10.0,17.0,27.0,14.0,5.0,4.0,5.0,3.0,22.0,17.0,82.0,15.0,4,4,11,6,5,11,11,5,13,12,11,12,11,9,10,11,11,12,7,10,12,5,13,5,11,14
1610612754,Indiana Pacers,3,0,3,0.0,7.73,10.0,16.0,0.625,3.0,7.0,0.429,2.0,3.0,0.667,1.0,5.0,6.0,6.0,0.0,1.0,1.0,0.0,1.0,3.0,25.0,16.0,9,13,9,13,12,8,6,15,8,6,11,2,4,1,2,5,4,9,14,3,5,12,3,12,8,15
1610612746,LA Clippers,2,2,0,1.0,8.65,6.0,16.0,0.375,2.0,8.0,0.25,3.0,3.0,1.0,3.0,3.0,6.0,4.0,6.0,2.0,1.0,1.0,8.0,4.0,17.0,-8.0,12,7,1,1,10,4,6,5,3,8,3,5,4,10,5,3,4,5,5,7,5,8,8,11,4,5
1610612749,Milwaukee Bucks,5,2,3,0.4,29.00333333333333,17.0,47.0,0.362,8.0,23.0,0.348,22.0,30.0,0.733,10.0,14.0,24.0,9.0,5.0,6.0,3.0,3.0,10.0,23.0,64.0,11.0,6,7,9,10,6,10,10,4,11,10,9,12,13,2,10,10,10,10,7,12,10,5,9,3,10,13
1610612760,Oklahoma City Thunder,3,1,2,0.333,4.996666666666667,5.0,9.0,0.556,2.0,3.0,0.667,10.0,10.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,22.0,9.0,9,10,5,11,15,3,1,14,3,1,14,8,7,10,2,1,1,1,14,7,1,8,1,9,6,11
1610612753,Orlando Magic,2,1,1,0.5,6.123333333333333,6.0,11.0,0.545,1.0,3.0,0.333,2.0,2.0,1.0,3.0,3.0,6.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,15.0,0.0,12,10,2,6,13,4,3,12,1,1,7,2,2,10,5,3,4,3,9,1,1,8,3,13,2,7
1610612755,Philadelphia 76ers,4,2,2,0.5,17.7,11.0,26.0,0.423,2.0,9.0,0.222,9.0,12.0,0.75,5.0,8.0,13.0,5.0,10.0,5.0,1.0,0.0,11.0,9.0,33.0,-10.0,7,7,5,6,7,9,9,9,3,9,2,7,8,3,9,8,9,7,4,11,5,12,10,7,9,4
1610612757,Portland Trail Blazers,9,5,4,0.556,52.943333333333335,40.0,90.0,0.444,10.0,32.0,0.313,20.0,24.0,0.833,20.0,45.0,65.0,23.0,18.0,3.0,11.0,8.0,21.0,17.0,110.0,-7.0,3,3,11,5,3,15,14,11,12,13,6,11,11,8,15,15,15,14,2,9,15,1,12,5,13,6
1610612759,San Antonio Spurs,3,1,2,0.333,10.4,6.0,19.0,0.316,1.0,7.0,0.143,6.0,6.0,1.0,2.0,6.0,8.0,4.0,2.0,1.0,2.0,0.0,5.0,5.0,19.0,1.0,9,10,5,11,8,4,8,2,1,6,1,6,6,10,4,7,7,5,10,3,8,12,7,9,5,8
1610612761,Toronto Raptors,12,7,5,0.583,57.80833333333333,36.0,84.0,0.429,13.0,38.0,0.342,28.0,37.0,0.757,13.0,35.0,48.0,24.0,22.0,10.0,5.0,4.0,38.0,24.0,113.0,-19.0,2,2,14,4,2,13,12,10,14,14,8,15,15,4,12,14,14,15,1,14,12,4,15,2,14,1
1610612762,Utah Jazz,2,0,2,0.0,9.446666666666667,4.0,14.0,0.286,2.0,5.0,0.4,12.0,15.0,0.8,3.0,9.0,12.0,1.0,2.0,1.0,2.0,3.0,2.0,9.0,22.0,4.0,12,13,5,13,9,2,5,1,3,4,10,9,9,5,5,9,8,2,10,3,8,5,5,7,6,9
