team_id,team_name,team,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
1610612760,Oklahoma City Thunder,OKC,82,82,1.0,37.91,86.95,0.436,0.466,-0.03
1610612738,Boston Celtics,BOS,82,82,1.0,40.27,89.4,0.45,0.465,-0.014
1610612739,Cleveland Cavaliers,CLE,82,82,1.0,41.24,90.9,0.454,0.464,-0.011
1610612763,Memphis Grizzlies,MEM,82,82,1.0,41.35,90.67,0.456,0.466,-0.01
1610612745,Houston Rockets,HOU,82,82,1.0,40.51,88.34,0.459,0.467,-0.009
1610612749,Milwaukee Bucks,MIL,82,82,1.0,41.57,91.06,0.457,0.465,-0.009
1610612750,Minnesota Timberwolves,MIN,82,82,1.0,40.48,87.96,0.46,0.467,-0.007
1610612746,LA Clippers,LAC,82,82,1.0,39.51,85.76,0.461,0.467,-0.006
1610612747,Los Angeles Lakers,LAL,81,81,1.0,41.4,89.28,0.464,0.467,-0.004
1610612765,Detroit Pistons,DET,82,82,1.0,40.54,87.9,0.461,0.466,-0.004
1610612744,Golden State Warriors,GSW,82,82,1.0,40.44,86.9,0.465,0.468,-0.002
1610612743,Denver Nuggets,DEN,82,82,1.0,43.34,93.04,0.466,0.466,0.0
1610612761,Toronto Raptors,TOR,82,82,1.0,41.17,88.29,0.466,0.465,0.001
1610612766,Charlotte Hornets,CHA,81,81,1.0,41.54,88.98,0.467,0.466,0.001
1610612748,Miami Heat,MIA,82,82,1.0,41.26,88.56,0.466,0.465,0.001
1610612741,Chicago Bulls,CHI,82,82,1.0,44.41,95.01,0.467,0.465,0.002
1610612753,Orlando Magic,ORL,82,82,1.0,38.11,81.46,0.468,0.466,0.002
1610612757,Portland Trail Blazers,POR,82,82,1.0,41.59,88.27,0.471,0.468,0.003
1610612742,Dallas Mavericks,DAL,82,82,1.0,43.05,91.71,0.469,0.466,0.003
1610612764,Washington Wizards,WAS,82,82,1.0,43.7,92.8,0.471,0.466,0.004
1610612756,Phoenix Suns,PHX,82,82,1.0,42.6,90.05,0.473,0.466,0.007
1610612759,San Antonio Spurs,SAS,82,82,1.0,43.84,92.5,0.474,0.467,0.007
1610612758,Sacramento Kings,SAC,82,82,1.0,41.57,87.76,0.474,0.467,0.007
1610612754,Indiana Pacers,IND,82,82,1.0,42.6,89.91,0.474,0.464,0.01
1610612752,New York Knicks,NYK,82,82,1.0,41.04,86.46,0.475,0.464,0.011
1610612762,Utah Jazz,UTA,82,82,1.0,44.57,92.95,0.48,0.468,0.012
1610612751,Brooklyn Nets,BKN,82,82,1.0,40.45,84.26,0.48,0.467,0.014
1610612740,New Orleans Pelicans,NOP,82,82,1.0,43.72,90.48,0.483,0.468,0.015
1610612737,Atlanta Hawks,ATL,82,82,1.0,43.41,90.16,0.482,0.465,0.016
1610612755,Philadelphia 76ers,PHI,82,82,1.0,42.38,86.8,0.488,0.465,0.023
