team_id,team_name,team,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
1610612747,Los Angeles Lakers,LAL,5,5,0.455,12.6,39.6,0.318,0.374,-0.056
1610612763,Memphis Grizzlies,MEM,4,4,0.543,17.25,52.0,0.332,0.38,-0.048
1610612754,Indiana Pacers,IND,17,17,0.48,14.24,42.29,0.337,0.383,-0.046
1610612760,Oklahoma City Thunder,OKC,17,17,0.524,16.0,45.59,0.351,0.378,-0.027
1610612738,Boston Celtics,BOS,11,11,0.483,13.45,41.27,0.326,0.353,-0.027
1610612743,Denver Nuggets,DEN,14,14,0.465,14.79,41.21,0.359,0.379,-0.02
1610612752,New York Knicks,NYK,18,18,0.51,15.72,43.28,0.363,0.374,-0.011
1610612750,Minnesota Timberwolves,MIN,15,15,0.519,15.87,43.4,0.366,0.372,-0.007
1610612744,Golden State Warriors,GSW,12,12,0.433,13.08,35.67,0.367,0.365,0.001
1610612765,Detroit Pistons,DET,6,6,0.457,15.0,40.17,0.373,0.372,0.001
1610612739,Cleveland Cavaliers,CLE,9,9,0.513,16.33,42.67,0.383,0.381,0.002
1610612745,Houston Rockets,HOU,7,7,0.568,18.14,49.29,0.368,0.364,0.004
1610612753,Orlando Magic,ORL,5,5,0.477,14.2,37.2,0.382,0.37,0.012
1610612746,LA Clippers,LAC,7,7,0.469,16.0,40.0,0.4,0.381,0.019
1610612749,Milwaukee Bucks,MIL,5,5,0.535,20.0,46.8,0.427,0.389,0.038
1610612748,Miami Heat,MIA,4,4,0.538,20.5,46.0,0.446,0.38,0.066
