season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away,MON
2019-20,1610612745,HOU,Houston Rockets,41900225,2020-09-12,HOU @ LAL,L,48.0,33,89,0.371,13,49,0.265,17,24,0.708,9,22,31,18,12.0,6,3,7,26,24,96,-23.0,1,84,84,84,13,143,46,159,72,8,149,95,78,132,62,165,160,140,44,98,105,144,137,41,145,157,1,2019,2020,False,LAL,HOU,SEP
2019-20,1610612745,HOU,Houston Rockets,41900224,2020-09-10,HOU vs. LAL,L,48.0,28,65,0.431,14,33,0.424,30,39,0.769,1,25,26,24,17.0,10,6,4,21,27,100,-10.0,1,84,84,84,13,164,166,116,55,111,31,6,3,94,166,155,165,58,127,18,24,63,63,14,130,121,1,2019,2020,True,HOU,LAL,SEP
2019-20,1610612745,HOU,Houston Rockets,41900223,2020-09-08,HOU vs. LAL,L,48.0,38,81,0.469,12,30,0.4,14,14,1.0,6,24,30,23,10.0,8,1,6,18,15,102,-10.0,1,84,84,84,13,83,114,69,87,128,42,129,149,1,124,160,163,66,18,48,158,125,23,156,120,121,1,2019,2020,True,HOU,LAL,SEP
2019-20,1610612745,HOU,Houston Rockets,41900222,2020-09-06,HOU @ LAL,L,48.0,35,78,0.449,22,53,0.415,17,23,0.739,8,27,35,22,17.0,7,2,5,21,17,109,-8.0,1,84,84,84,13,123,135,94,2,3,36,95,85,121,81,147,151,85,127,73,133,96,63,145,85,109,1,2019,2020,False,LAL,HOU,SEP
2019-20,1610612745,HOU,Houston Rockets,41900221,2020-09-04,HOU @ LAL,W,48.0,39,81,0.481,14,39,0.359,20,27,0.741,4,37,41,19,16.0,13,3,9,19,20,112,15.0,1,1,1,1,13,66,114,52,55,51,78,67,49,119,151,50,93,130,111,2,105,164,31,105,66,16,1,2019,2020,False,LAL,HOU,SEP
2019-20,1610612745,HOU,Houston Rockets,41900177,2020-09-02,HOU vs. OKC,W,48.0,35,88,0.398,17,49,0.347,17,19,0.895,11,33,44,18,12.0,11,7,4,24,16,104,2.0,1,1,1,1,13,123,55,147,24,8,92,95,116,24,36,88,62,140,44,12,13,63,111,150,109,77,1,2019,2020,True,HOU,OKC,SEP
2019-20,1610612745,HOU,Houston Rockets,41900176,2020-08-31,HOU @ OKC,L,48.0,38,84,0.452,15,44,0.341,9,12,0.75,4,37,41,19,22.0,14,5,3,19,16,100,-4.0,1,84,84,84,13,83,87,87,45,23,103,157,160,110,151,50,93,130,162,1,43,35,31,150,130,98,1,2019,2020,False,OKC,HOU,AUG
2019-20,1610612745,HOU,Houston Rockets,41900175,2020-08-29,HOU vs. OKC,W,48.0,43,100,0.43,19,48,0.396,9,14,0.643,10,45,55,28,11.0,12,3,8,23,12,114,34.0,1,1,1,1,13,32,4,118,9,10,45,157,149,154,46,5,9,19,28,3,105,155,94,165,54,3,1,2019,2020,True,HOU,OKC,AUG
2019-20,1610612745,HOU,Houston Rockets,41900174,2020-08-24,HOU @ OKC,L,48.0,41,91,0.451,23,58,0.397,9,10,0.9,8,32,40,25,14.0,7,2,0,23,16,114,-3.0,1,84,84,84,13,47,27,91,1,1,44,157,164,21,81,101,119,44,78,73,133,1,94,150,54,91,1,2019,2020,False,OKC,HOU,AUG
2019-20,1610612745,HOU,Houston Rockets,41900173,2020-08-22,HOU @ OKC,L,53.0,38,92,0.413,15,50,0.3,16,23,0.696,4,42,46,14,16.0,9,6,6,27,21,107,-12.0,1,84,84,84,3,83,21,138,45,6,131,106,85,140,151,19,42,161,111,31,24,125,151,88,94,131,1,2019,2020,False,OKC,HOU,AUG
2019-20,1610612745,HOU,Houston Rockets,41900172,2020-08-20,HOU vs. OKC,W,48.0,38,91,0.418,19,56,0.339,16,18,0.889,11,30,41,21,7.0,8,3,4,19,19,111,13.0,1,1,1,1,13,83,27,134,9,2,106,106,126,28,36,127,93,105,2,48,105,63,31,120,70,25,1,2019,2020,True,HOU,OKC,AUG
2019-20,1610612745,HOU,Houston Rockets,41900171,2020-08-18,HOU vs. OKC,W,48.0,43,89,0.483,20,52,0.385,17,19,0.895,4,32,36,25,7.0,4,1,3,26,20,123,15.0,1,1,1,1,13,32,46,49,7,4,55,95,116,24,151,101,145,44,2,137,158,35,137,105,22,16,1,2019,2020,True,HOU,OKC,AUG
