season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away,MON
2019-20,1610612745,HOU,Houston Rockets,21901315,2020-08-14,HOU vs. PHI,L,48.0,24.0,2.0,18.0,42.0,27.0,17.0,9.0,54.0,0,0,0,0,139,232,2086,403,1445,1977,1580,506,1505,1,2019,2020,True,HOU,PHI,AUG
2019-20,1610612745,HOU,Houston Rockets,21901304,2020-08-12,HOU vs. IND,L,48.0,20.0,11.0,10.0,32.0,25.0,20.0,13.0,46.0,0,0,0,0,139,555,1252,1357,1991,1888,1872,1027,818,1,2019,2020,True,HOU,IND,AUG
2019-20,1610612745,HOU,Houston Rockets,21901298,2020-08-11,HOU @ SAS,L,48.0,24.0,11.0,12.0,42.0,32.0,10.0,14.0,48.0,0,0,0,0,139,232,1252,1093,1445,2083,577,1162,999,1,2019,2020,False,SAS,HOU,AUG
2019-20,1610612745,HOU,Houston Rockets,21901290,2020-08-09,HOU @ SAC,W,48.0,18.0,9.0,11.0,50.0,18.0,2.0,9.0,58.0,0,0,0,0,139,773,1543,1224,767,1203,4,506,1754,1,2019,2020,False,SAC,HOU,AUG
2019-20,1610612745,HOU,Houston Rockets,21901273,2020-08-06,HOU vs. LAL,W,48.0,36.0,13.0,12.0,30.0,17.0,14.0,10.0,58.0,0,0,0,0,139,4,943,1093,2039,1053,1177,626,1754,1,2019,2020,True,HOU,LAL,AUG
2019-20,1610612745,HOU,Houston Rockets,21901261,2020-08-04,HOU @ POR,L,48.0,9.0,9.0,9.0,28.0,11.0,13.0,16.0,44.0,0,0,0,0,139,1889,1543,1494,2068,313,1017,1404,675,1,2019,2020,False,POR,HOU,AUG
2019-20,1610612745,HOU,Houston Rockets,21901248,2020-08-02,HOU vs. MIL,W,48.0,30.0,14.0,15.0,18.0,17.0,23.0,10.0,60.0,0,0,0,0,139,49,802,716,2114,1053,2024,626,1843,1,2019,2020,True,HOU,MIL,AUG
2019-20,1610612745,HOU,Houston Rockets,21901238,2020-07-31,HOU @ DAL,W,53.0,20.0,11.0,20.0,64.0,10.0,24.0,7.0,44.0,0,0,0,0,13,555,1252,276,100,231,2057,273,675,1,2019,2020,False,DAL,HOU,JUL
2019-20,1610612745,HOU,Houston Rockets,21900963,2020-03-10,HOU vs. MIN,W,48.0,17.0,7.0,13.0,46.0,21.0,7.0,17.0,50.0,0,0,0,0,139,917,1810,958,1121,1565,229,1504,1182,1,2019,2020,True,HOU,MIN,MAR
2019-20,1610612745,HOU,Houston Rockets,21900953,2020-03-08,HOU vs. ORL,L,48.0,16.0,8.0,12.0,58.0,31.0,23.0,15.0,52.0,0,0,0,0,139,1067,1674,1093,277,2071,2024,1283,1353,1,2019,2020,True,HOU,ORL,MAR
2019-20,1610612745,HOU,Houston Rockets,21900940,2020-03-07,HOU @ CHA,L,48.0,23.0,12.0,8.0,40.0,22.0,3.0,13.0,40.0,0,0,0,0,139,289,1103,1614,1590,1668,34,1027,414,1,2019,2020,False,CHA,HOU,MAR
2019-20,1610612745,HOU,Houston Rockets,21900927,2020-03-05,HOU vs. LAC,L,48.0,20.0,17.0,18.0,52.0,13.0,19.0,21.0,46.0,0,0,0,0,139,555,420,403,615,520,1797,1844,818,1,2019,2020,True,HOU,LAC,MAR
2019-20,1610612745,HOU,Houston Rockets,21900903,2020-03-02,HOU @ NYK,L,48.0,21.0,12.0,10.0,36.0,17.0,21.0,9.0,64.0,0,0,0,0,139,452,1103,1357,1813,1053,1932,506,1984,1,2019,2020,False,NYK,HOU,MAR
2019-20,1610612745,HOU,Houston Rockets,21900892,2020-02-29,HOU @ BOS,W,53.0,14.0,14.0,16.0,46.0,15.0,7.0,16.0,48.0,0,0,0,0,13,1330,802,616,1121,790,229,1404,999,1,2019,2020,False,BOS,HOU,FEB
