group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,team
Players,201145,Jeff Green,Jeff,1610612743,DEN,36.0,6,2,4,0.333,6.878333333333333,1,3,0.333,0,2,0.0,2,2,1.0,0,1,1,0,1,0,0,1,1,1,4,-12,4.2,0,0,5.0,322,326,136,360,361,295,302,286,257,236,257,220,235,1,288,319,342,297,199,250,204,243,77,266,302,337,366,205,27,348,DEN
Players,1628427,Vlatko Čančar,Vlatko,1610612743,DEN,26.0,6,5,1,0.833,24.961666666666662,3,9,0.333,1,6,0.167,0,0,0.0,1,2,3,3,2,0,1,0,3,1,7,17,16.1,0,0,16.0,322,259,18,23,261,227,212,286,179,155,233,295,305,295,205,273,272,155,155,250,123,1,179,266,255,72,269,205,27,264,DEN
Players,1627750,Jamal Murray,Jamal,1610612743,DEN,26.0,26,18,8,0.692,102.71666666666668,18,51,0.353,11,29,0.379,21,26,0.808,2,12,14,20,7,3,2,2,5,18,68,52,122.8,1,0,123.0,137,53,238,44,99,68,49,276,11,21,110,40,42,130,148,87,111,13,41,54,77,340,239,42,45,14,50,148,27,45,DEN
Players,202704,Reggie Jackson,Reggie,1610612743,DEN,33.0,23,13,10,0.565,53.47,2,13,0.154,0,3,0.0,8,8,1.0,3,5,8,8,1,0,0,1,7,6,12,1,32.6,1,0,28.0,158,129,268,143,177,260,176,357,257,208,257,113,137,1,114,198,182,80,199,250,204,243,285,136,217,195,204,148,27,212,DEN
Players,203999,Nikola Jokić,Nikola,1610612743,DEN,28.0,29,20,9,0.69,115.9,28,55,0.509,4,11,0.364,40,50,0.8,8,26,34,27,9,3,3,4,12,30,100,79,190.3,24,15,177.0,105,32,258,48,75,23,40,115,85,100,120,9,7,132,33,13,18,5,26,54,45,406,373,10,19,5,11,4,1,15,DEN
Players,1631128,Christian Braun,Christian,1610612743,DEN,22.0,10,4,6,0.4,14.943333333333332,1,2,0.5,0,1,0.0,3,4,0.75,0,2,2,0,0,1,2,0,3,2,5,-26,16.4,0,0,13.0,271,278,191,316,307,295,323,117,257,275,257,186,201,156,288,273,300,297,281,145,77,1,179,232,285,396,267,205,27,279,DEN
Players,1631212,Peyton Watson,Peyton,1610612743,DEN,20.0,4,1,3,0.25,10.13,0,2,0.0,0,1,0.0,1,4,0.25,0,2,2,0,0,0,1,0,2,2,1,-26,6.4,0,0,5.0,351,372,115,396,336,361,323,361,257,275,257,250,201,291,288,273,300,297,281,250,123,1,132,232,377,396,340,205,27,348,DEN
Players,1629008,Michael Porter Jr.,Michael,1610612743,DEN,25.0,22,15,7,0.682,73.35,7,17,0.412,6,14,0.429,4,8,0.5,0,10,10,1,1,1,3,0,4,4,24,34,48.5,2,0,49.0,169,91,219,52,150,156,151,230,51,80,88,165,137,245,288,108,149,238,199,145,45,1,209,169,148,32,164,108,27,154,DEN
Players,203484,Kentavious Caldwell-Pope,Kentavious,1610612743,DEN,30.0,32,21,11,0.656,125.84,8,24,0.333,4,14,0.286,2,3,0.667,4,12,16,3,2,5,3,0,16,6,22,63,67.7,0,0,61.0,79,24,284,81,58,147,117,286,85,80,174,220,223,195,88,87,95,155,155,20,45,1,408,136,157,8,120,205,27,130,DEN
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,27.0,28,17,11,0.607,103.215,18,29,0.621,3,5,0.6,11,20,0.55,10,11,21,2,5,3,6,2,8,13,50,31,100.2,8,0,94.0,118,61,284,111,98,68,102,71,104,171,30,87,60,239,21,99,63,193,78,54,9,340,300,73,77,35,69,43,27,75,DEN
Players,1628971,Bruce Brown,Bruce,1610612743,DEN,26.0,29,19,10,0.655,75.725,10,20,0.5,4,10,0.4,4,5,0.8,1,6,7,1,3,4,1,3,6,3,28,31,49.9,1,1,50.0,105,40,268,82,149,121,138,117,85,107,97,165,183,132,205,175,199,238,116,35,123,382,271,204,134,35,156,148,9,153,DEN
Players,202397,Ish Smith,Ish,1610612743,DEN,34.0,2,0,2,0.0,4.953333333333333,1,2,0.5,0,0,0.0,0,0,0.0,1,0,1,0,1,0,0,0,1,0,2,-11,2.2,0,0,3.0,394,418,72,418,383,295,323,117,257,325,257,295,305,295,205,373,342,297,199,250,204,1,77,329,341,329,398,205,27,378,DEN
Players,201599,DeAndre Jordan,DeAndre,1610612743,DEN,34.0,2,1,1,0.5,8.085,0,0,0.0,0,0,0.0,0,0,0.0,0,4,4,0,0,0,0,0,0,0,0,-9,4.8,1,0,4.0,394,372,18,188,354,361,396,361,257,325,257,295,305,295,288,219,250,297,281,250,204,1,1,329,382,311,358,148,27,358,DEN
Players,1628418,Thomas Bryant,Thomas,1610612743,DEN,25.0,10,7,3,0.7,25.531666666666663,12,16,0.75,1,3,0.333,1,1,1.0,6,4,10,0,0,0,1,1,2,1,26,20,41.0,4,0,39.0,271,223,115,42,259,102,158,42,179,208,131,250,285,1,56,219,149,297,281,250,123,243,132,266,143,67,183,76,27,180,DEN
Players,1630192,Zeke Nnaji,Zeke,1610612743,DEN,22.0,8,2,6,0.25,15.413333333333334,0,1,0.0,0,1,0.0,3,8,0.375,2,2,4,0,1,0,0,0,2,4,3,-19,6.8,1,0,7.0,290,326,191,396,302,361,356,361,257,275,257,186,137,285,148,273,250,297,199,250,204,1,132,169,316,378,338,148,27,328,DEN
