TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1610612760,Oklahoma City Thunder,OKC,17,17,1.0,633,1478,0.428,0.483,-0.055
1610612754,Indiana Pacers,IND,17,17,1.0,674,1498,0.45,0.484,-0.034
1610612738,Boston Celtics,BOS,11,11,1.0,405,939,0.431,0.464,-0.033
1610612765,Detroit Pistons,DET,6,6,1.0,237,527,0.45,0.481,-0.031
1610612747,Los Angeles Lakers,LAL,5,5,1.0,192,435,0.441,0.467,-0.026
1610612763,Memphis Grizzlies,MEM,4,4,1.0,175,383,0.457,0.478,-0.021
1610612752,New York Knicks,NYK,18,18,1.0,693,1526,0.454,0.474,-0.02
1610612746,LA Clippers,LAC,7,7,1.0,288,597,0.482,0.498,-0.016
1610612745,Houston Rockets,HOU,7,7,1.0,263,607,0.433,0.449,-0.016
1610612750,Minnesota Timberwolves,MIN,15,15,1.0,567,1254,0.452,0.468,-0.016
1610612743,Denver Nuggets,DEN,14,14,1.0,582,1242,0.469,0.48,-0.011
1610612739,Cleveland Cavaliers,CLE,9,9,1.0,358,749,0.478,0.479,-0.001
1610612744,Golden State Warriors,GSW,12,12,1.0,459,988,0.465,0.459,0.005
1610612753,Orlando Magic,ORL,5,5,1.0,183,390,0.469,0.46,0.009
1610612749,Milwaukee Bucks,MIL,5,5,1.0,218,437,0.499,0.489,0.01
1610612748,Miami Heat,MIA,4,4,1.0,177,342,0.518,0.488,0.03
