TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1610612760,Oklahoma City Thunder,OKC,82,82,1.0,3109,7130,0.436,0.466,-0.03
1610612738,Boston Celtics,BOS,82,82,1.0,3302,7331,0.45,0.465,-0.014
1610612739,Cleveland Cavaliers,CLE,82,82,1.0,3382,7454,0.454,0.464,-0.011
1610612763,Memphis Grizzlies,MEM,82,82,1.0,3391,7435,0.456,0.466,-0.01
1610612745,Houston Rockets,HOU,82,82,1.0,3322,7244,0.459,0.467,-0.009
1610612749,Milwaukee Bucks,MIL,82,82,1.0,3409,7467,0.457,0.465,-0.009
1610612750,Minnesota Timberwolves,MIN,82,82,1.0,3319,7213,0.46,0.467,-0.007
1610612746,LA Clippers,LAC,82,82,1.0,3240,7032,0.461,0.467,-0.006
1610612747,Los Angeles Lakers,LAL,81,81,1.0,3353,7232,0.464,0.467,-0.004
1610612765,Detroit Pistons,DET,82,82,1.0,3324,7208,0.461,0.466,-0.004
1610612744,Golden State Warriors,GSW,82,82,1.0,3316,7126,0.465,0.468,-0.002
1610612743,Denver Nuggets,DEN,82,82,1.0,3554,7629,0.466,0.466,0.0
1610612761,Toronto Raptors,TOR,82,82,1.0,3376,7240,0.466,0.465,0.001
1610612766,Charlotte Hornets,CHA,81,81,1.0,3365,7207,0.467,0.466,0.001
1610612748,Miami Heat,MIA,82,82,1.0,3383,7262,0.466,0.465,0.001
1610612741,Chicago Bulls,CHI,82,82,1.0,3642,7791,0.467,0.465,0.002
1610612753,Orlando Magic,ORL,82,82,1.0,3125,6680,0.468,0.466,0.002
1610612742,Dallas Mavericks,DAL,82,82,1.0,3530,7520,0.469,0.466,0.003
1610612757,Portland Trail Blazers,POR,82,82,1.0,3410,7238,0.471,0.468,0.003
1610612764,Washington Wizards,WAS,82,82,1.0,3583,7610,0.471,0.466,0.004
1610612756,Phoenix Suns,PHX,82,82,1.0,3493,7384,0.473,0.466,0.007
1610612758,Sacramento Kings,SAC,82,82,1.0,3409,7196,0.474,0.467,0.007
1610612759,San Antonio Spurs,SAS,82,82,1.0,3595,7585,0.474,0.467,0.007
1610612754,Indiana Pacers,IND,82,82,1.0,3493,7373,0.474,0.464,0.01
1610612752,New York Knicks,NYK,82,82,1.0,3365,7090,0.475,0.464,0.011
1610612762,Utah Jazz,UTA,82,82,1.0,3655,7622,0.48,0.468,0.012
1610612751,Brooklyn Nets,BKN,82,82,1.0,3317,6909,0.48,0.467,0.014
1610612740,New Orleans Pelicans,NOP,82,82,1.0,3585,7419,0.483,0.468,0.015
1610612737,Atlanta Hawks,ATL,82,82,1.0,3560,7393,0.482,0.465,0.016
1610612755,Philadelphia 76ers,PHI,82,82,1.0,3475,7118,0.488,0.465,0.023
