season_id,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,season,season_start,season_end
22015,1610612749,MIL,Milwaukee Bucks,PRBallHandler,Defensive,1.0,82,0.119,0.716,0.423,0.091,0.292,0.069,0.008,0.346,0.458,12.9,9.2,3.4,8.0,4.6,2015-16,2015,2016
22015,1610612745,HOU,Houston Rockets,PRBallHandler,Defensive,0.966,82,0.134,0.731,0.411,0.107,0.264,0.086,0.018,0.349,0.452,15.0,11.0,4.0,9.7,5.7,2015-16,2015,2016
22015,1610612753,ORL,Orlando Magic,PRBallHandler,Defensive,0.414,82,0.146,0.822,0.436,0.103,0.19,0.087,0.019,0.397,0.463,15.8,13.0,5.0,11.5,6.5,2015-16,2015,2016
22015,1610612742,DAL,Dallas Mavericks,PRBallHandler,Defensive,0.483,82,0.149,0.81,0.419,0.083,0.177,0.068,0.013,0.384,0.451,16.2,13.1,5.1,12.2,7.1,2015-16,2015,2016
22015,1610612743,DEN,Denver Nuggets,PRBallHandler,Defensive,0.241,82,0.146,0.842,0.428,0.095,0.157,0.081,0.019,0.398,0.461,15.7,13.2,5.2,12.0,6.9,2015-16,2015,2016
22015,1610612760,OKC,Oklahoma City Thunder,PRBallHandler,Defensive,0.655,82,0.152,0.791,0.385,0.118,0.154,0.097,0.017,0.38,0.415,16.8,13.3,4.8,12.5,7.7,2015-16,2015,2016
22015,1610612762,UTA,Utah Jazz,PRBallHandler,Defensive,0.828,82,0.167,0.78,0.395,0.082,0.159,0.072,0.012,0.373,0.422,17.2,13.4,5.2,13.3,8.0,2015-16,2015,2016
22015,1610612761,TOR,Toronto Raptors,PRBallHandler,Defensive,0.862,82,0.17,0.758,0.388,0.091,0.174,0.078,0.014,0.364,0.41,17.7,13.4,5.1,13.2,8.1,2015-16,2015,2016
22015,1610612737,ATL,Atlanta Hawks,PRBallHandler,Defensive,0.897,82,0.162,0.751,0.391,0.075,0.188,0.065,0.012,0.355,0.422,18.0,13.5,5.3,13.5,8.2,2015-16,2015,2016
22015,1610612738,BOS,Boston Celtics,PRBallHandler,Defensive,0.724,82,0.155,0.788,0.408,0.11,0.188,0.089,0.015,0.385,0.433,17.4,13.7,5.1,12.4,7.4,2015-16,2015,2016
