game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
41500121,2016-04-17,CHA,MIA,123,91.0,rnd1,1
41500122,2016-04-20,CHA,MIA,115,103.0,rnd1,2
41500123,2016-04-23,MIA,CHA,80,96.0,rnd1,3
41500124,2016-04-25,MIA,CHA,85,89.0,rnd1,4
41500125,2016-04-27,CHA,MIA,88,90.0,rnd1,5
41500126,2016-04-29,MIA,CHA,97,90.0,rnd1,6
41500127,2016-05-01,CHA,MIA,106,73.0,rnd1,7
41500211,2016-05-03,MIA,TOR,102,96.0,sf,1
41500212,2016-05-05,MIA,TOR,92,96.0,sf,2
41500213,2016-05-07,TOR,MIA,91,95.0,sf,3
41500214,2016-05-09,TOR,MIA,94,87.0,sf,4
41500215,2016-05-11,MIA,TOR,91,99.0,sf,5
41500216,2016-05-13,TOR,MIA,103,91.0,sf,6
41500217,2016-05-15,MIA,TOR,89,116.0,sf,7
