season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2024-25,1610612750,42400161,2025-04-19,MIN,LAL,LAL,1610612747,117,95,W,22,rnd1,1
2024-25,1610612750,42400162,2025-04-22,MIN,LAL,LAL,1610612747,85,94,L,-9,rnd1,2
2024-25,1610612750,42400163,2025-04-25,LAL,MIN,LAL,1610612747,116,104,W,12,rnd1,3
2024-25,1610612750,42400164,2025-04-27,LAL,MIN,LAL,1610612747,116,113,W,3,rnd1,4
2024-25,1610612750,42400165,2025-04-30,MIN,LAL,LAL,1610612747,103,96,W,7,rnd1,5
2024-25,1610612750,42400231,2025-05-06,GSW,MIN,GSW,1610612744,88,99,L,-11,sf,1
2024-25,1610612750,42400232,2025-05-08,GSW,MIN,GSW,1610612744,117,93,W,24,sf,2
2024-25,1610612750,42400233,2025-05-10,MIN,GSW,GSW,1610612744,102,97,W,5,sf,3
2024-25,1610612750,42400234,2025-05-12,MIN,GSW,GSW,1610612744,117,110,W,7,sf,4
2024-25,1610612750,42400235,2025-05-14,GSW,MIN,GSW,1610612744,121,110,W,11,sf,5
2024-25,1610612750,42400311,2025-05-20,MIN,OKC,OKC,1610612760,88,114,L,-26,conf,1
2024-25,1610612750,42400312,2025-05-22,MIN,OKC,OKC,1610612760,103,118,L,-15,conf,2
2024-25,1610612750,42400313,2025-05-24,OKC,MIN,OKC,1610612760,143,101,W,42,conf,3
2024-25,1610612750,42400314,2025-05-26,OKC,MIN,OKC,1610612760,126,128,L,-2,conf,4
2024-25,1610612750,42400315,2025-05-28,MIN,OKC,OKC,1610612760,94,124,L,-30,conf,5
