GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,1630639,A.J. Lawson,A.J.,1610612761,TOR,24.0,3,1,2,0.333,12.433333333333334,0.0,8.7,0.0,5.8,20.3,23.2,5.8,34.7,0.0,0.0,0.0,0.0,38.8,380,375,105,372,329,248,18,189,196,426,455,235,175,208,1,1,339,119
Players,1631260,AJ Green,AJ,1610612749,MIL,25.0,25,13,12,0.52,72.74,3.0,0.0,3.0,0.0,22.3,7.4,5.4,25.7,0.0,0.0,4.0,1.0,16.7,103,96,372,199,122,120,242,65,331,450,161,219,354,208,1,282,322,389
Players,1642358,AJ Johnson,AJ,1610612764,WAS,20.0,5,3,2,0.6,12.293333333333331,0.0,0.0,8.8,5.9,14.6,8.8,17.6,35.1,0.0,0.0,5.9,0.0,24.9,342,304,105,122,330,248,242,10,193,343,202,472,167,208,1,391,339,283
Players,203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,20,12,8,0.6,88.55,0.4,1.6,2.0,4.1,11.0,9.4,5.3,32.5,0.0,0.0,1.2,4.9,30.6,160,113,288,122,81,247,189,104,247,226,225,212,222,208,1,127,117,216
Players,1628988,Aaron Holiday,Aaron,1610612745,HOU,28.0,15,8,7,0.533,6.95,0.0,0.0,0.0,0.0,36.3,15.5,10.4,51.8,0.0,0.0,10.4,20.7,42.5,214,187,262,187,376,248,242,189,331,483,393,387,48,208,1,473,3,91
Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,20,12,8,0.6,76.61666666666666,0.9,1.4,1.4,2.8,12.7,8.5,5.6,34.8,0.0,0.0,7.0,6.1,25.5,160,113,288,122,111,234,206,129,281,294,191,225,174,208,1,435,74,275
Players,1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,8,4,4,0.5,18.075,6.0,0.0,6.0,4.0,19.9,13.9,4.0,19.9,0.0,0.0,0.0,4.0,30.9,295,275,181,212,288,41,242,20,250,422,357,159,422,208,1,1,154,213
Players,1641737,Adem Bona,Adem,1610612755,PHI,22.0,5,1,4,0.2,2.8,0.0,0.0,0.0,25.7,0.0,0.0,0.0,77.1,0.0,0.0,12.9,0.0,64.3,342,375,181,433,430,248,242,189,7,1,1,1,15,208,1,480,339,15
Players,1642349,Ajay Mitchell,Ajay,1610612760,OKC,22.0,2,1,1,0.5,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,77.1,0.0,77.1,0.0,0.0,0.0,0.0,0.0,410,375,35,212,464,248,242,189,331,1,495,1,16,208,1,1,339,447
Players,201143,Al Horford,Al,1610612738,BOS,39.0,24,17,7,0.708,65.70166666666667,3.3,1.1,3.8,6.6,2.2,14.2,2.7,34.0,1.6,0.0,2.2,0.5,28.1,114,38,262,63,137,102,221,48,164,90,365,136,192,75,1,163,338,246
Players,202692,Alec Burks,Alec,1610612748,MIA,33.0,9,4,5,0.444,34.36666666666667,0.0,4.2,0.0,4.2,21.0,12.6,7.3,41.9,0.0,0.0,3.1,3.1,21.4,279,275,214,309,224,248,68,189,246,439,321,304,87,208,1,226,204,334
Players,1627936,Alex Caruso,Alex,1610612760,OKC,31.0,7,4,3,0.571,15.898333333333332,2.3,0.0,2.3,9.1,15.9,29.4,4.5,18.1,0.0,0.0,15.9,2.3,52.3,309,275,148,151,300,159,242,95,100,372,473,177,432,208,1,485,254,34
Players,203458,Alex Len,Alex,1610612747,LAL,32.0,5,3,2,0.6,0.075,0.0,0.0,0.0,0.0,0.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342,304,105,122,492,248,242,189,331,1,498,1,456,208,1,1,339,447
Players,1642259,Alex Sarr,Alex,1610612764,WAS,20.0,19,8,11,0.421,53.25666666666667,4.1,2.7,2.7,10.8,12.2,12.8,6.8,55.4,2.0,0.0,2.0,1.4,32.0,171,187,352,329,171,78,116,74,65,271,329,287,42,50,1,154,308,195
Players,1630578,Alperen Sengun,Alperen,1610612745,HOU,22.0,38,24,14,0.632,114.59333333333332,5.0,8.5,0.0,15.7,7.9,10.7,5.3,22.0,1.3,2.8,4.1,11.9,49.3,11,4,410,96,36,56,19,189,26,132,263,215,407,97,475,292,10,47
Players,1641708,Amen Thompson,Amen,1610612745,HOU,22.0,40,22,18,0.55,116.51,2.8,1.2,0.9,8.0,12.1,13.0,6.8,32.8,1.2,0.3,4.0,5.3,36.4,5,5,474,173,30,130,212,161,129,265,335,288,219,103,295,285,105,149
Players,1629599,Amir Coffey,Amir,1610612746,LAC,28.0,24,11,13,0.458,61.013333333333335,1.2,0.0,0.0,2.4,11.2,5.3,4.7,26.0,0.6,0.0,4.7,1.8,15.0,114,135,399,296,149,221,242,189,295,236,110,184,348,172,1,334,279,402
Players,203083,Andre Drummond,Andre,1610612755,PHI,31.0,5,2,3,0.4,18.851666666666667,0.0,0.0,0.0,0.0,0.0,11.5,0.0,11.5,0.0,1.9,7.6,0.0,35.9,342,335,148,340,285,248,242,189,331,1,282,1,452,208,449,448,339,151
Players,1641748,Andre Jackson Jr.,Andre,1610612749,MIL,23.0,13,8,5,0.615,30.898333333333333,0.0,0.0,0.0,0.0,16.3,7.0,11.7,25.6,0.0,0.0,7.0,0.0,7.3,233,187,214,111,242,248,242,189,331,382,143,418,356,208,1,433,339,436
