season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away,MON
2022-23,1610612744,GSW,Golden State Warriors,22201230,2023-04-09,GSW @ POR,W,48.0,142.7,141.4,88.9,90.2,53.7,51.3,0.81,2.94,28.1,0.237,0.82,0.596,0.144,0.745,0.762,111.8,111.5,92.92,111,0.736,1,1,1,1,159,15,30,1,22,227,1,1714,246,65,1347,8,7,21,4,1,2022,2023,False,POR,GSW,APR
2022-23,1610612744,GSW,Golden State Warriors,22201211,2023-04-07,GSW @ SAC,W,48.0,116.0,117.8,97.1,97.0,19.0,20.8,0.878,1.5,23.7,0.385,0.677,0.564,0.238,0.628,0.672,101.2,100.5,83.75,101,0.641,1,1,1,1,159,901,147,162,2,1724,86,187,1759,240,2438,284,188,1049,63,1,2022,2023,False,SAC,GSW,APR
2022-23,1610612744,GSW,Golden State Warriors,22201187,2023-04-04,GSW vs. OKC,W,48.0,131.8,132.0,118.6,123.8,13.2,8.3,0.532,1.79,16.6,0.442,0.727,0.589,0.136,0.6,0.628,104.3,102.0,85.0,103,0.566,1,1,1,1,159,135,1996,672,1911,1250,1694,36,1153,88,1157,496,556,695,483,1,2022,2023,True,GSW,OKC,APR
2022-23,1610612744,GSW,Golden State Warriors,22201175,2023-04-02,GSW @ DEN,L,48.0,104.3,110.0,107.8,112.0,-3.5,-2.0,0.619,1.73,16.8,0.46,0.625,0.538,0.15,0.443,0.489,104.7,100.0,83.33,100,0.482,1,1231,1231,1231,159,1579,1055,1319,1076,1345,1662,16,2219,555,1489,2336,2321,1133,1426,1,2022,2023,False,DEN,GSW,APR
2022-23,1610612744,GSW,Golden State Warriors,22201158,2023-03-31,GSW vs. SAS,W,48.0,125.9,131.3,112.6,115.0,13.3,16.3,0.787,2.47,24.2,0.333,0.66,0.5,0.152,0.618,0.636,102.7,99.5,82.92,99,0.559,1,1,1,1,159,153,1325,291,61,457,52,545,1931,1176,1530,354,478,1231,543,1,2022,2023,True,GSW,SAS,MAR
2022-23,1610612744,GSW,Golden State Warriors,22201135,2023-03-28,GSW vs. NOP,W,48.0,120.4,118.8,104.6,109.0,15.7,9.8,0.744,1.68,22.1,0.279,0.688,0.495,0.188,0.634,0.654,101.9,100.5,83.75,101,0.551,1,1,1,1,159,829,793,566,165,1431,211,1211,1648,1351,2188,245,303,1049,649,1,2022,2023,True,GSW,NOP,MAR
2022-23,1610612744,GSW,Golden State Warriors,22201121,2023-03-26,GSW vs. MIN,L,48.0,96.5,96.0,100.0,99.0,-3.5,-3.0,0.735,1.56,18.8,0.163,0.74,0.455,0.16,0.506,0.536,99.2,100.0,83.33,100,0.477,1,1231,1231,1231,159,2335,200,1385,200,1623,982,2314,994,2005,1737,1765,1923,1133,1482,1,2022,2023,True,GSW,MIN,MAR
2022-23,1610612744,GSW,Golden State Warriors,22201103,2023-03-24,GSW vs. PHI,W,48.0,120.5,120.0,113.2,110.9,7.4,9.1,0.643,2.45,19.6,0.224,0.907,0.543,0.11,0.58,0.609,99.3,100.5,83.75,100,0.515,1,1,1,1,159,726,946,609,823,466,753,1850,13,477,540,747,818,1049,1068,1,2022,2023,True,GSW,PHI,MAR
2022-23,1610612744,GSW,Golden State Warriors,22201086,2023-03-22,GSW @ DAL,W,48.0,127.1,128.3,121.0,125.0,6.1,3.3,0.66,2.54,22.9,0.293,0.725,0.533,0.131,0.622,0.648,101.6,99.5,82.92,99,0.552,1,1,1,1,159,246,2064,1050,670,430,135,1043,1173,640,1035,318,352,1231,634,1,2022,2023,False,DAL,GSW,MAR
2022-23,1610612744,GSW,Golden State Warriors,22201074,2023-03-20,GSW @ HOU,W,48.0,120.6,119.8,99.5,105.9,21.1,13.9,0.705,1.55,20.8,0.362,0.6,0.49,0.198,0.597,0.628,104.5,101.5,84.58,101,0.607,1,1,1,1,159,744,555,366,326,1651,451,326,2325,1403,2300,538,565,803,187,1,2022,2023,False,HOU,GSW,MAR
2022-23,1610612744,GSW,Golden State Warriors,22201061,2023-03-18,GSW @ MEM,L,48.0,114.5,122.7,135.1,135.7,-20.6,-13.0,0.692,2.08,18.4,0.444,0.659,0.541,0.134,0.5,0.562,101.2,97.5,81.25,97,0.425,1,1231,1231,1231,159,537,2390,2064,413,855,1139,32,1952,512,1115,1833,1521,1635,2060,1,2022,2023,False,MEM,GSW,MAR
