season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2022-23,1610612744,42200161,2023-04-15,GSW,SAC,1610612758,123,126,L,rnd1,1
2022-23,1610612744,42200162,2023-04-17,GSW,SAC,1610612758,106,114,L,rnd1,2
2022-23,1610612744,42200163,2023-04-20,SAC,GSW,1610612758,114,97,W,rnd1,3
2022-23,1610612744,42200164,2023-04-23,SAC,GSW,1610612758,126,125,W,rnd1,4
2022-23,1610612744,42200165,2023-04-26,GSW,SAC,1610612758,123,116,W,rnd1,5
2022-23,1610612744,42200166,2023-04-28,SAC,GSW,1610612758,99,118,L,rnd1,6
2022-23,1610612744,42200167,2023-04-30,GSW,SAC,1610612758,120,100,W,rnd1,7
2022-23,1610612744,42200231,2023-05-02,LAL,GSW,1610612747,112,117,L,sf,1
2022-23,1610612744,42200232,2023-05-04,LAL,GSW,1610612747,127,100,W,sf,2
2022-23,1610612744,42200233,2023-05-06,GSW,LAL,1610612747,97,127,L,sf,3
2022-23,1610612744,42200234,2023-05-08,GSW,LAL,1610612747,101,104,L,sf,4
2022-23,1610612744,42200235,2023-05-10,LAL,GSW,1610612747,121,106,W,sf,5
2022-23,1610612744,42200236,2023-05-12,GSW,LAL,1610612747,101,122,L,sf,6
