SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,AVAILABLE_FLAG
2015-16,1610612739,CLE,Cleveland Cavaliers,0021501220,2016-04-13T00:00:00,CLE vs. DET,L,53.0,31.2,65.9,0.474,4.8,12.2,0.389,7.5,10.2,0.733,5.4,23.8,29.2,14.3,6.8,2.7,4.8,7.5,15.6,10.2,74.7,-1.4,1,1231,1231,1231,21,548,719,866,1719,2137,826,2266,2243,1517,1844,1492,1919,1719,258,2305,618,2339,1393,2328,1409,1264,1.0
2015-16,1610612758,SAC,Sacramento Kings,0021501224,2016-04-13T00:00:00,SAC @ HOU,L,48.0,24.0,72.0,0.333,8.3,27.8,0.297,4.5,9.8,0.462,11.3,25.5,36.8,15.8,15.0,8.3,3.0,5.3,12.8,11.3,60.8,-26.3,1,1231,1231,1231,155,2140,76,2436,449,60,1744,2420,2248,2446,244,984,409,1336,2212,269,1269,1849,491,2136,2377,2444,1.0
2015-16,1610612741,CHI,Chicago Bulls,0021501222,2016-04-13T00:00:00,CHI vs. PHI,W,48.0,29.3,62.3,0.47,11.3,18.0,0.625,16.5,20.3,0.815,12.0,27.8,39.8,20.3,12.8,6.0,6.0,5.3,9.8,18.0,86.3,7.5,1,1,1,1,155,906,1291,919,82,1105,15,478,637,781,160,489,138,334,1787,951,227,1849,80,382,300,532,1.0
2015-16,1610612755,PHI,Philadelphia 76ers,0021501222,2016-04-13T00:00:00,PHI @ CHI,L,48.0,27.8,60.8,0.457,12.8,26.3,0.486,10.5,13.5,0.778,3.0,20.3,23.3,21.0,9.8,7.5,5.3,6.0,18.0,9.8,78.8,-7.5,1,1231,1231,1231,155,1315,1570,1136,32,108,215,1658,1782,1089,2352,2112,2401,241,845,435,380,2095,1955,2333,911,1872,1.0
2015-16,1610612738,BOS,Boston Celtics,0021501217,2016-04-13T00:00:00,BOS vs. MIA,W,48.0,27.8,64.5,0.43,3.8,10.5,0.357,14.3,16.5,0.864,7.5,21.8,29.3,15.0,5.3,5.3,2.3,7.5,15.0,15.8,73.5,7.5,1,1,1,1,155,1315,868,1610,1982,2294,1133,858,1261,397,1121,1829,1816,1540,37,1274,1712,2341,1167,864,1494,532,1.0
2015-16,1610612751,BKN,Brooklyn Nets,0021501218,2016-04-13T00:00:00,BKN vs. TOR,L,48.0,29.3,66.8,0.438,7.5,19.5,0.385,6.0,9.0,0.667,3.8,25.5,29.3,19.5,6.0,6.0,6.0,7.5,12.8,9.0,72.0,-5.3,1,1231,1231,1231,155,906,488,1475,617,829,863,2344,2308,1962,2255,984,1816,451,82,951,227,2341,491,2383,1655,1663,1.0
2015-16,1610612742,DAL,Dallas Mavericks,0021501223,2016-04-13T00:00:00,DAL vs. SAS,L,48.0,23.3,57.8,0.403,9.0,29.3,0.308,12.8,15.8,0.81,8.3,22.5,30.8,15.0,9.0,6.0,1.5,2.3,17.3,14.3,68.3,-3.8,1,1231,1231,1231,155,2250,2047,2007,297,36,1622,1177,1398,818,893,1663,1520,1540,637,951,2051,425,1794,1329,2006,1495,1.0
2015-16,1610612748,MIA,Miami Heat,0021501217,2016-04-13T00:00:00,MIA @ BOS,L,48.0,28.5,66.0,0.432,1.5,14.3,0.105,7.5,9.0,0.833,10.5,22.5,33.0,10.5,7.5,3.8,7.5,2.3,15.8,15.0,66.0,-7.5,1,1231,1231,1231,155,1117,609,1587,2423,1820,2449,2192,2308,588,366,1663,1070,2315,277,1884,66,425,1409,1071,2174,1872,1.0
2015-16,1610612756,PHX,Phoenix Suns,0021501229,2016-04-13T00:00:00,PHX vs. LAC,W,48.0,33.8,74.3,0.455,5.3,19.5,0.269,12.8,16.5,0.773,13.5,30.0,43.5,19.5,12.8,7.5,3.8,4.5,11.3,15.0,85.5,6.8,1,1,1,1,155,152,34,1176,1411,829,1951,1177,1261,1147,62,193,22,451,1787,435,942,1540,226,1071,346,591,1.0
2015-16,1610612749,MIL,Milwaukee Bucks,0021501225,2016-04-13T00:00:00,MIL vs. IND,L,48.0,27.8,65.3,0.425,5.3,17.3,0.304,8.3,9.8,0.846,5.3,27.0,32.3,17.3,11.3,6.0,2.3,2.3,11.3,10.5,69.0,-3.8,1,1231,1231,1231,155,1315,731,1692,1411,1261,1655,2086,2248,508,1866,633,1212,920,1342,951,1712,425,226,2241,1950,1495,1.0
2015-16,1610612766,CHA,Charlotte Hornets,0021501219,2016-04-13T00:00:00,CHA vs. ORL,W,48.0,35.3,64.5,0.547,8.3,21.8,0.379,9.0,14.3,0.632,3.8,30.8,34.5,24.0,7.5,4.5,3.8,3.0,10.5,13.5,87.8,10.5,1,1,1,1,155,68,868,117,449,487,916,1966,1674,2166,2255,141,786,62,277,1602,942,772,134,1581,214,333,1.0
2015-16,1610612762,UTA,Utah Jazz,0021501228,2016-04-13T00:00:00,UTA @ LAL,L,48.0,29.3,62.3,0.47,6.8,22.5,0.3,6.8,11.3,0.6,6.0,22.5,28.5,20.3,10.5,7.5,0.8,2.3,12.0,12.8,72.0,-3.8,1,1231,1231,1231,155,906,1291,919,860,393,1692,2273,2089,2261,1616,1663,1934,334,1100,435,2293,425,330,1792,1655,1495,1.0
2015-16,1610612737,ATL,Atlanta Hawks,0021501221,2016-04-13T00:00:00,ATL @ WAS,L,48.0,24.0,60.8,0.395,8.3,22.5,0.367,17.3,23.3,0.742,6.8,28.5,35.3,16.5,17.3,9.8,3.8,3.0,15.8,16.5,73.5,-8.3,1,1231,1231,1231,155,2140,1570,2105,449,393,1049,392,322,1449,1377,381,649,1147,2395,101,942,772,1409,679,1494,1932,1.0
2015-16,1610612744,GSW,Golden State Warriors,0021501227,2016-04-13T00:00:00,GSW vs. MEM,W,48.0,34.5,65.3,0.529,15.0,35.3,0.426,9.8,12.0,0.813,9.0,29.3,38.3,26.3,12.8,5.3,5.3,0.8,10.5,13.5,93.8,15.8,1,1,1,1,155,109,731,202,4,1,559,1837,2013,793,681,269,252,15,1787,1274,380,55,134,1581,56,125,1.0
2015-16,1610612757,POR,Portland Trail Blazers,0021501230,2016-04-13T00:00:00,POR vs. DEN,W,48.0,29.3,66.8,0.438,8.3,27.0,0.306,13.5,16.5,0.818,9.8,24.0,33.8,14.3,12.8,8.3,6.0,4.5,14.3,14.3,80.3,6.0,1,1,1,1,155,906,488,1475,449,84,1653,1008,1261,732,496,1339,923,1725,1787,269,227,1540,894,1329,758,665,1.0
2015-16,1610612740,NOP,New Orleans Pelicans,0021501226,2016-04-13T00:00:00,NOP @ MIN,L,48.0,30.0,69.0,0.435,8.3,22.5,0.367,13.5,16.5,0.818,7.5,17.3,24.8,23.3,12.0,5.3,0.0,6.0,12.0,15.0,81.8,-26.3,1,1231,1231,1231,155,719,250,1540,449,393,1049,1008,1261,732,1121,2405,2319,93,1559,1274,2417,2095,330,1071,621,2444,1.0
