group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
Players,1629651,Nic Claxton,Nic,1610612751,BKN,22.0,7,6,1,0.857,2.6,1.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,3,5,0.6,299,214,25,26,237,1,320,59,113,245,150,154,225,53,1,245,235,85,1,251,213,252,75,BKN
Players,1629185,Chris Chiozza,Chris,1610612751,BKN,25.0,2,1,1,0.5,4.8,0.75,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0.0,386,351,25,176,18,123,270,315,113,245,150,295,225,305,254,245,235,85,325,251,355,269,355,BKN
Players,201933,Blake Griffin,Blake,1610612751,BKN,32.0,20,8,12,0.4,3.0,0.368,0.632,0.421,0.0,0.316,0.0,0.263,0.053,0.421,0.5,0.5,0.5,0.5,0.5,0.5,6,19,0.316,137,171,349,288,179,295,106,195,113,158,150,151,214,154,125,157,209,24,202,114,149,119,300,BKN
Players,1629617,Reggie Perry,Reggie,1610612751,BKN,21.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,406,351,1,1,454,360,320,315,113,245,150,295,225,305,254,245,235,85,325,251,355,401,355,BKN
Players,1628971,Bruce Brown,Bruce,1610612751,BKN,24.0,25,18,7,0.72,1.4,0.857,0.143,0.667,0.133,0.2,0.0,0.133,0.133,0.533,0.8,0.2,1.0,0.0,0.833,0.167,6,7,0.857,87,20,238,53,370,97,301,75,48,202,150,249,142,110,77,233,1,85,120,230,149,217,34,BKN
Players,201935,James Harden,James,1610612751,BKN,31.0,23,19,4,0.826,4.1,0.66,0.34,0.408,0.0,0.214,0.051,0.378,0.122,0.408,0.15,0.85,0.143,0.857,0.148,0.852,27,53,0.509,104,15,142,28,41,169,232,198,113,194,128,76,161,158,237,77,233,12,319,36,19,29,115,BKN
Players,1628455,Mike James,Mike,1610612751,BKN,30.0,1,1,0,1.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,1.0,406,351,1,1,439,1,320,1,1,245,150,295,225,305,254,1,235,85,325,1,284,356,1,BKN
Players,1627789,Timothe Luwawu-Cabarrot,Timothe,1610612751,BKN,26.0,16,10,6,0.625,2.3,0.375,0.625,0.5,0.0,0.375,0.25,0.125,0.375,0.5,1.0,0.0,1.0,0.0,1.0,0.0,3,8,0.375,187,137,205,91,286,289,108,154,113,124,28,256,28,117,1,245,1,85,1,251,213,207,251,BKN
Players,202681,Kyrie Irving,Kyrie,1610612751,BKN,29.0,29,19,10,0.655,3.5,0.571,0.429,0.392,0.082,0.34,0.093,0.268,0.144,0.309,0.053,0.947,0.636,0.364,0.267,0.733,30,63,0.476,46,15,302,83,112,201,199,214,83,143,96,148,131,213,252,63,199,46,303,51,15,17,162,BKN
Players,201142,Kevin Durant,Kevin,1610612751,BKN,32.0,18,11,7,0.611,3.8,0.576,0.424,0.358,0.119,0.179,0.06,0.463,0.09,0.239,0.417,0.583,0.5,0.5,0.438,0.563,16,33,0.485,163,114,238,96,60,200,201,225,59,211,124,44,194,242,170,145,209,24,247,106,49,64,159,BKN
Players,203925,Joe Harris,Joe,1610612751,BKN,29.0,37,25,12,0.676,3.7,0.586,0.414,0.438,0.063,0.469,0.25,0.093,0.25,0.375,0.857,0.143,1.0,0.0,0.917,0.083,12,29,0.414,3,1,349,66,81,197,204,184,91,101,28,280,63,180,74,241,1,85,108,247,75,71,218,BKN
Players,1629013,Landry Shamet,Landry,1610612751,BKN,24.0,18,10,8,0.556,1.5,0.167,0.833,0.125,0.0,0.563,0.188,0.312,0.375,0.125,0.0,1.0,1.0,0.0,0.75,0.25,4,6,0.667,163,137,264,141,362,351,49,302,113,73,42,120,28,287,254,1,1,85,133,212,189,232,53,BKN
Players,1628993,Alize Johnson,Alize,1610612751,BKN,25.0,1,0,1,0.0,1.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2,0.5,406,405,25,405,321,1,320,1,113,245,150,295,1,1,254,1,235,85,325,1,284,323,117,BKN
Players,200746,LaMarcus Aldridge,LaMarcus,1610612751,BKN,35.0,11,6,5,0.545,3.5,0.9,0.1,0.667,0.533,0.0,0.0,0.333,0.0,0.133,0.4,0.6,0.0,0.0,0.4,0.6,5,10,0.5,246,214,171,148,106,89,311,75,5,245,150,93,225,286,171,139,235,85,261,87,174,183,117,BKN
Players,204020,Tyler Johnson,Tyler,1610612751,BKN,29.0,8,8,0,1.0,1.7,1.0,0.0,0.667,0.667,0.0,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,286,171,1,1,344,1,320,75,3,245,150,93,225,305,1,245,235,85,1,251,284,323,117,BKN
Players,201599,DeAndre Jordan,DeAndre,1610612751,BKN,32.0,17,13,4,0.765,1.9,1.0,0.0,0.889,0.0,0.0,0.0,0.111,0.0,0.889,0.5,0.5,0.0,0.0,0.5,0.5,4,4,1.0,175,77,142,38,324,1,320,39,113,245,150,267,225,36,125,157,235,85,202,114,189,269,1,BKN
Players,201145,Jeff Green,Jeff,1610612751,BKN,34.0,32,22,10,0.688,3.3,0.55,0.45,0.345,0.0,0.31,0.138,0.345,0.138,0.345,0.8,0.2,1.0,0.0,0.875,0.125,8,20,0.4,22,9,302,62,135,210,191,231,113,160,60,89,138,197,77,233,1,85,114,240,112,113,224,BKN
