season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away
2023-24,1610612739,CLE,Cleveland Cavaliers,22300112,2023-10-31,CLE vs. NYK,L,48.0,18.0,7.0,19.0,42.0,28.0,20.0,17.0,40.0,0,0,0,0,119,847,2141,492,1853,2343,2069,1642,339,1,2023,2024,True,CLE,NYK
2023-24,1610612756,PHX,Phoenix Suns,22300113,2023-10-31,PHX vs. SAS,L,48.0,15.0,16.0,7.0,40.0,16.0,17.0,7.0,56.0,0,0,0,0,119,1321,730,2134,1993,1141,1732,223,1663,1,2023,2024,True,PHX,SAS
2023-24,1610612746,LAC,LA Clippers,22300114,2023-10-31,LAC vs. ORL,W,48.0,23.0,16.0,17.0,50.0,16.0,11.0,8.0,58.0,0,0,0,0,119,323,730,707,1116,1141,751,328,1826,1,2023,2024,True,LAC,ORL
2023-24,1610612753,ORL,Orlando Magic,22300114,2023-10-31,ORL @ LAC,L,48.0,16.0,11.0,8.0,58.0,23.0,16.0,17.0,50.0,0,0,0,0,119,1148,1550,2037,490,2063,1574,1642,1120,1,2023,2024,False,LAC,ORL
2023-24,1610612759,SAS,San Antonio Spurs,22300113,2023-10-31,SAS @ PHX,W,48.0,16.0,17.0,7.0,56.0,15.0,16.0,7.0,40.0,0,0,0,0,119,1148,602,2134,636,980,1574,223,339,1,2023,2024,False,PHX,SAS
2023-24,1610612752,NYK,New York Knicks,22300112,2023-10-31,NYK @ CLE,W,48.0,28.0,20.0,17.0,40.0,18.0,7.0,19.0,42.0,0,0,0,0,119,85,309,707,1993,1452,222,1862,469,1,2023,2024,False,CLE,NYK
2023-24,1610612753,ORL,Orlando Magic,22300111,2023-10-30,ORL @ LAL,L,48.0,20.0,20.0,11.0,44.0,14.0,4.0,7.0,54.0,0,0,0,0,119,583,309,1601,1700,817,38,223,1509,1,2023,2024,False,LAL,ORL
2023-24,1610612751,BKN,Brooklyn Nets,22300101,2023-10-30,BKN @ CHA,W,48.0,13.0,15.0,28.0,64.0,19.0,13.0,16.0,74.0,0,0,0,0,119,1645,888,57,180,1615,1070,1516,2416,1,2023,2024,False,CHA,BKN
2023-24,1610612765,DET,Detroit Pistons,22300109,2023-10-30,DET @ OKC,L,48.0,27.0,15.0,12.0,42.0,26.0,11.0,16.0,50.0,0,0,0,0,119,119,888,1449,1853,2253,751,1516,1120,1,2023,2024,False,OKC,DET
2023-24,1610612763,MEM,Memphis Grizzlies,22300106,2023-10-30,MEM vs. DAL,L,48.0,16.0,14.0,14.0,52.0,11.0,12.0,13.0,34.0,0,0,0,0,119,1148,1062,1124,953,409,912,1013,80,1,2023,2024,True,MEM,DAL
2023-24,1610612744,GSW,Golden State Warriors,22300108,2023-10-30,GSW @ NOP,W,48.0,12.0,25.0,6.0,54.0,14.0,11.0,22.0,44.0,0,0,0,0,119,1810,70,2239,799,817,751,2140,609,1,2023,2024,False,NOP,GSW
2023-24,1610612743,DEN,Denver Nuggets,22300110,2023-10-30,DEN vs. UTA,W,48.0,18.0,10.0,13.0,68.0,16.0,19.0,13.0,62.0,0,0,0,0,119,847,1711,1281,89,1141,1968,1013,2106,1,2023,2024,True,DEN,UTA
2023-24,1610612749,MIL,Milwaukee Bucks,22300107,2023-10-30,MIL vs. MIA,W,48.0,18.0,10.0,9.0,56.0,18.0,0.0,15.0,42.0,0,0,0,0,119,847,1711,1897,636,1452,1,1338,469,1,2023,2024,True,MIL,MIA
2023-24,1610612761,TOR,Toronto Raptors,22300105,2023-10-30,TOR vs. POR,L,48.0,19.0,12.0,22.0,60.0,19.0,21.0,22.0,50.0,0,0,0,0,119,692,1392,265,356,1615,2153,2140,1120,1,2023,2024,True,TOR,POR
2023-24,1610612754,IND,Indiana Pacers,22300102,2023-10-30,IND vs. CHI,L,48.0,21.0,15.0,17.0,44.0,14.0,18.0,10.0,54.0,0,0,0,0,119,493,888,707,1700,817,1860,565,1509,1,2023,2024,True,IND,CHI
2023-24,1610612742,DAL,Dallas Mavericks,22300106,2023-10-30,DAL @ MEM,W,48.0,11.0,12.0,13.0,34.0,16.0,14.0,14.0,52.0,0,0,0,0,119,1944,1392,1281,2312,1141,1229,1181,1346,1,2023,2024,False,MEM,DAL
2023-24,1610612757,POR,Portland Trail Blazers,22300105,2023-10-30,POR @ TOR,W,48.0,19.0,21.0,22.0,50.0,19.0,12.0,22.0,60.0,0,0,0,0,119,692,236,265,1116,1615,912,2140,1972,1,2023,2024,False,TOR,POR
2023-24,1610612747,LAL,Los Angeles Lakers,22300111,2023-10-30,LAL vs. ORL,W,48.0,14.0,4.0,7.0,54.0,20.0,20.0,11.0,44.0,0,0,0,0,119,1482,2367,2134,799,1770,2069,698,609,1,2023,2024,True,LAL,ORL
2023-24,1610612766,CHA,Charlotte Hornets,22300101,2023-10-30,CHA vs. BKN,L,48.0,19.0,13.0,16.0,74.0,13.0,15.0,28.0,64.0,0,0,0,0,119,692,1233,820,26,652,1400,2384,2207,1,2023,2024,True,CHA,BKN
