team_id,team_name,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,team
1610612738,Boston Celtics,9,5,4,0.556,432.0,9.8,6.6,11.8,25.5,12.4,8.7,14.1,30.8,8,8,1,5,8,14,15,6,15,9,7,15,6,BOSTON CELTICS
1610612751,Brooklyn Nets,5,1,4,0.2,240.0,13.1,9.2,8.4,36.0,13.4,14.3,8.7,43.8,11,11,1,11,11,4,10,12,2,13,16,3,16,BROOKLYN NETS
1610612743,Denver Nuggets,14,7,7,0.5,692.0,8.3,12.0,8.0,36.8,7.2,10.4,6.6,34.0,5,5,13,7,5,15,1,14,1,2,12,1,11,DENVER NUGGETS
1610612765,Detroit Pistons,4,0,4,0.0,192.0,13.3,9.4,8.1,30.0,9.9,8.6,14.8,41.3,15,15,1,15,15,3,9,13,12,3,6,16,15,DETROIT PISTONS
1610612744,Golden State Warriors,22,14,8,0.636,1066.0,13.6,10.7,12.1,31.5,12.0,10.2,10.8,30.8,2,2,14,3,2,2,4,4,10,8,11,10,5,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,11,6,5,0.545,533.0,12.8,9.5,8.4,29.9,14.7,9.9,10.6,33.6,7,7,10,6,7,6,8,11,13,16,10,9,10,HOUSTON ROCKETS
1610612754,Indiana Pacers,4,0,4,0.0,192.0,12.8,7.1,11.8,27.8,10.9,8.4,12.8,24.0,15,15,1,15,15,7,14,5,14,6,4,13,1,INDIANA PACERS
1610612746,LA Clippers,6,2,4,0.333,288.0,13.0,10.5,12.6,34.3,13.8,9.8,13.5,33.5,10,10,1,10,10,5,5,2,6,14,9,14,9,LA CLIPPERS
1610612749,Milwaukee Bucks,15,10,5,0.667,730.0,10.3,10.3,15.4,34.2,10.8,7.5,10.0,26.8,4,3,10,1,4,12,7,1,7,5,1,7,2,MILWAUKEE BUCKS
1610612760,Oklahoma City Thunder,5,1,4,0.2,240.0,11.0,10.4,11.3,31.8,12.5,11.1,10.1,33.3,11,11,1,11,11,11,6,7,8,10,13,8,8,OKLAHOMA CITY THUNDER
1610612753,Orlando Magic,5,1,4,0.2,240.0,11.6,6.3,9.0,25.5,13.2,8.0,9.5,35.4,11,11,1,11,11,9,16,9,15,12,2,5,13,ORLANDO MAGIC
1610612755,Philadelphia 76ers,12,7,5,0.583,576.0,11.4,11.0,8.6,35.6,14.5,8.1,12.0,32.4,6,5,10,4,6,10,3,10,3,15,3,12,7,PHILADELPHIA 76ERS
1610612757,Portland Trail Blazers,16,8,8,0.5,793.0,9.9,11.1,7.5,31.6,11.3,11.8,9.2,34.8,3,4,14,7,3,13,2,15,9,7,15,4,12,PORTLAND TRAIL BLAZERS
1610612759,San Antonio Spurs,7,3,4,0.429,336.0,7.1,8.4,7.2,34.5,6.9,11.1,9.6,36.6,9,9,1,9,9,16,13,16,5,1,14,6,14,SAN ANTONIO SPURS
1610612761,Toronto Raptors,24,16,8,0.667,1162.0,12.7,8.6,12.3,30.1,10.4,9.5,11.2,28.3,1,1,14,1,1,8,12,3,11,4,8,11,3,TORONTO RAPTORS
1610612762,Utah Jazz,5,1,4,0.2,240.0,14.4,9.2,9.9,35.4,13.1,8.6,8.1,29.7,11,11,1,11,11,1,10,8,4,11,5,2,4,UTAH JAZZ
