close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
203458,Alex Len,1610612756,PHX,C,23.0,77,73,0.452,2.74,4.78,0.573,0.597,-0.024
2199,Tyson Chandler,1610612756,PHX,C,33.0,66,64,0.463,2.68,4.36,0.615,0.61,0.005
202720,Jon Leuer,1610612756,PHX,F,27.0,66,63,0.475,2.26,3.85,0.587,0.591,-0.004
203141,Mirza Teletovic,1610612756,PHX,F,30.0,78,68,0.368,2.15,3.27,0.659,0.594,0.065
202339,Eric Bledsoe,1610612756,PHX,G,26.0,31,31,0.232,1.97,3.03,0.649,0.584,0.065
1626210,Alan Williams,1610612756,PHX,C-F,23.0,7,5,0.568,1.14,3.0,0.381,0.579,-0.199
1626164,Devin Booker,1610612756,PHX,G,19.0,73,67,0.277,1.66,2.6,0.637,0.591,0.046
203928,Cory Jefferson,1610612756,PHX,F,25.0,5,4,0.565,1.4,2.6,0.538,0.605,-0.066
200782,P.J. Tucker,1610612756,PHX,F,31.0,82,67,0.224,1.28,2.13,0.6,0.597,0.003
202688,Brandon Knight,1610612756,PHX,G,24.0,52,42,0.188,1.52,2.12,0.718,0.595,0.123
203462,Archie Goodwin,1610612756,PHX,G,21.0,55,45,0.29,1.36,1.89,0.721,0.587,0.135
203933,T.J. Warren,1610612756,PHX,F,22.0,46,37,0.281,1.22,1.78,0.683,0.612,0.071
203098,John Jenkins,1610612756,PHX,G,25.0,36,22,0.27,0.78,1.06,0.737,0.606,0.131
201978,Chase Budinger,1610612756,PHX,F,28.0,61,38,0.221,0.64,1.02,0.629,0.598,0.031
101179,Ronnie Price,1610612756,PHX,G,33.0,61,33,0.163,0.61,0.9,0.673,0.587,0.086
201603,Sonny Weems,1610612756,PHX,G-F,29.0,35,22,0.218,0.66,0.69,0.958,0.6,0.358
