SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,AVAILABLE_FLAG
2023-24,1610612742,DAL,Dallas Mavericks,0042300405,2024-06-17T00:00:00,DAL @ BOS,L,48.0,6.0,6.0,9.0,42.0,17.0,11.0,16.0,42.0,0,0,0,83,7,153,141,117,89,101,64,130,62,1
2023-24,1610612738,BOS,Boston Celtics,0042300405,2024-06-17T00:00:00,BOS vs. DAL,W,48.0,17.0,11.0,16.0,42.0,6.0,6.0,9.0,42.0,0,0,0,1,7,52,86,26,89,8,14,43,62,1
2023-24,1610612742,DAL,Dallas Mavericks,0042300404,2024-06-14T00:00:00,DAL vs. BOS,W,48.0,17.0,16.0,11.0,60.0,9.0,2.0,6.0,26.0,0,0,0,1,7,52,28,90,12,28,3,15,2,1
2023-24,1610612738,BOS,Boston Celtics,0042300404,2024-06-14T00:00:00,BOS @ DAL,L,48.0,9.0,2.0,6.0,26.0,17.0,16.0,11.0,60.0,0,0,0,83,7,130,161,144,162,101,124,63,148,1
2023-24,1610612738,BOS,Boston Celtics,0042300403,2024-06-12T00:00:00,BOS @ DAL,W,48.0,13.0,6.0,12.0,36.0,12.0,14.0,12.0,52.0,0,0,0,1,7,86,141,77,132,55,108,76,121,1
2023-24,1610612742,DAL,Dallas Mavericks,0042300403,2024-06-12T00:00:00,DAL vs. BOS,L,48.0,12.0,14.0,12.0,52.0,13.0,6.0,12.0,36.0,0,0,0,83,7,96,50,77,32,71,14,76,21,1
2023-24,1610612742,DAL,Dallas Mavericks,0042300402,2024-06-09T00:00:00,DAL @ BOS,L,48.0,12.0,13.0,7.0,54.0,21.0,10.0,15.0,46.0,0,0,0,83,7,96,61,135,23,141,57,118,86,1
2023-24,1610612738,BOS,Boston Celtics,0042300402,2024-06-09T00:00:00,BOS vs. DAL,W,48.0,21.0,10.0,15.0,46.0,12.0,13.0,7.0,54.0,0,0,0,1,7,20,102,36,62,55,93,22,135,1
2023-24,1610612738,BOS,Boston Celtics,0042300401,2024-06-06T00:00:00,BOS vs. DAL,W,48.0,18.0,10.0,10.0,38.0,13.0,16.0,6.0,46.0,0,0,0,1,7,40,102,104,119,71,124,15,86,1
2023-24,1610612742,DAL,Dallas Mavericks,0042300401,2024-06-06T00:00:00,DAL @ BOS,L,48.0,13.0,16.0,6.0,46.0,18.0,10.0,10.0,38.0,0,0,0,83,7,86,28,144,62,114,57,49,35,1
