PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
201566,Russell Westbrook,1610612760,OKC,29.0,78,77,0.506,283,789,0.359,0.399,0.362,220,564,0.39,0.144,63,225,0.28
203468,CJ McCollum,1610612757,POR,26.0,81,81,0.524,314,734,0.428,0.488,0.353,225,495,0.455,0.171,89,239,0.372
201935,James Harden,1610612745,HOU,28.0,72,72,0.521,282,704,0.401,0.552,0.115,69,155,0.445,0.407,213,549,0.388
202689,Kemba Walker,1610612766,CHA,28.0,80,80,0.549,283,700,0.404,0.505,0.259,142,330,0.43,0.29,141,370,0.381
201942,DeMar DeRozan,1610612761,TOR,28.0,80,80,0.488,261,652,0.4,0.423,0.4,231,535,0.432,0.088,30,117,0.256
203081,Damian Lillard,1610612757,POR,27.0,73,73,0.483,253,639,0.396,0.508,0.187,110,248,0.444,0.295,143,391,0.366
203078,Bradley Beal,1610612764,WAS,25.0,82,82,0.445,255,631,0.404,0.452,0.304,195,431,0.452,0.141,60,200,0.3
203506,Victor Oladipo,1610612754,IND,26.0,75,75,0.475,245,595,0.412,0.476,0.303,168,379,0.443,0.173,77,216,0.356
101150,Lou Williams,1610612746,LAC,31.0,78,78,0.465,230,577,0.399,0.481,0.251,135,312,0.433,0.213,95,265,0.358
203114,Khris Middleton,1610612749,MIL,26.0,81,81,0.472,263,566,0.465,0.491,0.385,233,462,0.504,0.087,30,104,0.288
101108,Chris Paul,1610612745,HOU,33.0,58,58,0.723,253,565,0.448,0.551,0.33,136,258,0.527,0.393,117,307,0.381
2544,LeBron James,1610612739,CLE,33.0,82,82,0.367,211,555,0.38,0.468,0.188,113,284,0.398,0.179,98,271,0.362
201142,Kevin Durant,1610612744,GSW,29.0,68,68,0.469,240,552,0.435,0.493,0.306,176,360,0.489,0.163,64,192,0.333
1628378,Donovan Mitchell,1610612762,UTA,21.0,79,78,0.43,194,550,0.353,0.434,0.192,105,246,0.427,0.238,89,304,0.293
1626164,Devin Booker,1610612756,PHX,21.0,54,54,0.474,185,471,0.393,0.469,0.275,113,273,0.414,0.199,72,198,0.364
203952,Andrew Wiggins,1610612750,MIN,23.0,82,82,0.38,152,470,0.323,0.345,0.318,132,393,0.336,0.062,20,77,0.26
203471,Dennis Schröder,1610612737,ATL,24.0,66,66,0.444,197,451,0.437,0.477,0.324,161,329,0.489,0.12,36,122,0.295
202331,Paul George,1610612760,OKC,28.0,78,78,0.357,165,450,0.367,0.437,0.225,102,284,0.359,0.132,63,166,0.38
2037,Jamal Crawford,1610612750,MIN,38.0,80,79,0.611,185,443,0.418,0.463,0.414,145,300,0.483,0.197,40,143,0.28
203507,Giannis Antetokounmpo,1610612749,MIL,23.0,74,74,0.342,158,441,0.358,0.371,0.303,147,391,0.376,0.039,11,50,0.22
202681,Kyrie Irving,1610612738,BOS,26.0,57,55,0.442,205,438,0.468,0.562,0.239,123,237,0.519,0.203,82,201,0.408
201950,Jrue Holiday,1610612740,NOP,28.0,81,81,0.361,170,429,0.396,0.459,0.201,116,239,0.485,0.16,54,190,0.284
2546,Carmelo Anthony,1610612760,OKC,34.0,76,76,0.391,168,422,0.398,0.424,0.321,146,347,0.421,0.069,22,75,0.293
1627741,Buddy Hield,1610612758,SAC,25.0,80,79,0.477,159,419,0.379,0.451,0.287,99,252,0.393,0.19,60,167,0.359
1628372,Dennis Smith Jr.,1610612742,DAL,20.0,69,69,0.45,121,416,0.291,0.352,0.249,70,230,0.304,0.201,51,186,0.274
200746,LaMarcus Aldridge,1610612759,SAS,32.0,75,75,0.312,170,407,0.418,0.421,0.305,167,397,0.421,0.008,3,10,0.3
1627750,Jamal Murray,1610612743,DEN,21.0,80,78,0.403,156,401,0.389,0.458,0.23,101,229,0.441,0.173,55,172,0.32
201937,Ricky Rubio,1610612762,UTA,27.0,77,77,0.498,164,390,0.421,0.447,0.404,143,316,0.453,0.095,21,74,0.284
203084,Harrison Barnes,1610612742,DAL,26.0,77,75,0.336,152,389,0.391,0.428,0.269,123,312,0.394,0.066,29,77,0.377
200755,JJ Redick,1610612755,PHI,34.0,69,69,0.452,169,378,0.447,0.516,0.272,117,228,0.513,0.179,52,150,0.347
201609,Goran Dragic,1610612748,MIA,32.0,74,74,0.366,139,367,0.379,0.417,0.275,111,276,0.402,0.091,28,91,0.308
200768,Kyle Lowry,1610612761,TOR,32.0,78,76,0.402,139,361,0.385,0.532,0.107,33,96,0.344,0.295,106,265,0.4
202710,Jimmy Butler III,1610612750,MIN,28.0,59,59,0.409,151,359,0.421,0.458,0.309,124,271,0.458,0.1,27,88,0.307
202397,Ish Smith,1610612765,DET,29.0,82,81,0.475,163,358,0.455,0.482,0.406,144,306,0.471,0.069,19,52,0.365
203076,Anthony Davis,1610612740,NOP,25.0,75,70,0.251,138,356,0.388,0.399,0.239,130,338,0.385,0.013,8,18,0.444
201939,Stephen Curry,1610612744,GSW,30.0,51,51,0.421,166,355,0.468,0.599,0.152,73,128,0.57,0.269,93,227,0.41
1628368,De'Aaron Fox,1610612758,SAC,20.0,73,72,0.468,119,343,0.347,0.379,0.374,97,274,0.354,0.094,22,69,0.319
202691,Klay Thompson,1610612744,GSW,28.0,73,72,0.297,152,339,0.448,0.507,0.213,112,244,0.459,0.083,40,95,0.421
1627755,Tyler Ulis,1610612756,PHX,22.0,71,68,0.65,132,331,0.399,0.435,0.481,108,245,0.441,0.169,24,86,0.279
203903,Jordan Clarkson,1610612739,CLE,26.0,81,81,0.365,128,330,0.388,0.439,0.241,94,218,0.431,0.124,34,112,0.304
202699,Tobias Harris,1610612746,LAC,25.0,79,79,0.288,140,328,0.427,0.48,0.217,105,247,0.425,0.071,35,81,0.432
202339,Eric Bledsoe,1610612749,MIL,28.0,74,73,0.344,120,325,0.369,0.417,0.22,89,208,0.428,0.124,31,117,0.265
1627812,Yogi Ferrell,1610612742,DAL,25.0,82,79,0.464,142,324,0.438,0.508,0.282,97,197,0.492,0.182,45,127,0.354
203915,Spencer Dinwiddie,1610612751,BKN,25.0,78,78,0.422,106,324,0.327,0.431,0.124,39,95,0.411,0.298,67,229,0.293
200826,J.J. Barea,1610612742,DAL,34.0,69,69,0.486,104,324,0.321,0.406,0.195,49,130,0.377,0.291,55,194,0.284
201952,Jeff Teague,1610612750,MIN,30.0,70,69,0.418,116,312,0.372,0.454,0.23,65,172,0.378,0.187,51,140,0.364
203087,Jeremy Lamb,1610612766,CHA,26.0,80,78,0.389,126,310,0.406,0.456,0.272,95,217,0.438,0.117,31,93,0.333
1627756,Denzel Valentine,1610612741,CHI,24.0,76,76,0.447,124,307,0.404,0.492,0.249,70,171,0.409,0.198,54,136,0.397
1626179,Terry Rozier,1610612738,BOS,24.0,77,76,0.408,110,303,0.363,0.459,0.191,52,142,0.366,0.217,58,161,0.36
2548,Dwyane Wade,1610612748,MIA,36.0,67,67,0.467,97,303,0.32,0.351,0.364,78,236,0.331,0.103,19,67,0.284
202322,John Wall,1610612764,WAS,27.0,41,41,0.485,94,301,0.312,0.355,0.351,68,218,0.312,0.134,26,83,0.313
