season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end
2019-20,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,46.9,23.9,8.0,17.7,37.2,26.5,8.8,8.8,37.2,0,0,0,1,13,230,1725,447,1787,2000,510,555,334,1,2019,2020
2019-20,1610612755,PHI,Philadelphia 76ers,21901315,2020-08-14T00:00:00,PHI @ HOU,W,46.2,26.0,16.3,8.7,51.9,23.1,1.9,17.3,40.4,0,0,0,1,139,144,530,1586,628,1838,8,1628,512,1,2019,2020
2019-20,1610612754,IND,Indiana Pacers,21901316,2020-08-14T00:00:00,IND vs. MIA,W,47.5,19.8,17.8,12.9,45.5,19.8,10.9,2.0,35.6,0,0,0,1,139,571,382,1017,1182,1535,792,22,248,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,21901316,2020-08-14T00:00:00,MIA @ IND,L,47.5,19.8,10.9,2.0,35.6,19.8,17.8,12.9,45.5,0,0,0,1060,139,571,1316,2096,1858,1535,1730,1089,922,1,2019,2020
2019-20,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,48.0,27.0,15.0,21.0,48.0,22.0,13.0,25.0,32.0,0,0,0,1,139,109,684,229,964,1742,1122,2042,114,1,2019,2020
2019-20,1610612745,HOU,Houston Rockets,21901315,2020-08-14T00:00:00,HOU vs. PHI,L,46.6,23.3,1.9,17.5,40.8,26.2,16.5,8.7,52.4,0,0,0,1060,139,257,2106,463,1574,1982,1602,537,1526,1,2019,2020
2019-20,1610612743,DEN,Denver Nuggets,21901318,2020-08-14T00:00:00,DEN @ TOR,L,48.0,22.0,13.0,25.0,32.0,27.0,15.0,21.0,48.0,0,0,0,1060,139,364,979,73,2002,2011,1424,1892,1132,1,2019,2020
2019-20,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,46.1,26.1,8.7,8.7,36.5,23.5,7.8,17.4,36.5,0,0,0,1060,13,134,1628,1581,1816,1873,363,1645,302,1,2019,2020
2019-20,1610612751,BKN,Brooklyn Nets,21901309,2020-08-13T00:00:00,BKN vs. POR,L,46.2,11.5,16.3,12.5,55.8,13.5,27.9,7.7,55.8,0,0,0,1060,139,1696,530,1065,384,653,2107,389,1726,1,2019,2020
2019-20,1610612742,DAL,Dallas Mavericks,21901313,2020-08-13T00:00:00,DAL @ PHX,L,50.0,4.2,17.7,5.2,58.3,14.6,14.6,22.9,62.5,0,0,0,1060,139,2100,394,1947,264,795,1367,1977,1996,1,2019,2020
2019-20,1610612740,NOP,New Orleans Pelicans,21901312,2020-08-13T00:00:00,NOP @ ORL,L,47.5,19.8,16.8,20.8,71.3,22.8,8.9,20.8,49.5,0,0,0,1060,139,571,475,234,21,1807,512,1881,1277,1,2019,2020
2019-20,1610612757,POR,Portland Trail Blazers,21901309,2020-08-13T00:00:00,POR @ BKN,W,46.2,13.5,27.9,7.7,55.8,11.5,16.3,12.5,55.8,0,0,0,1,139,1462,11,1725,384,418,1586,1041,1726,1,2019,2020
2019-20,1610612749,MIL,Milwaukee Bucks,21901311,2020-08-13T00:00:00,MIL @ MEM,L,43.6,12.7,6.4,3.6,27.3,16.4,5.5,11.8,49.1,0,0,0,1060,139,1558,1889,2053,2085,1075,165,953,1252,1,2019,2020
2019-20,1610612747,LAL,Los Angeles Lakers,21901310,2020-08-13T00:00:00,LAL vs. SAC,L,45.3,17.0,15.1,4.7,50.9,25.5,11.3,19.8,54.7,0,0,0,1060,139,961,678,1983,710,1954,864,1829,1675,1,2019,2020
2019-20,1610612763,MEM,Memphis Grizzlies,21901311,2020-08-13T00:00:00,MEM vs. MIL,W,43.6,16.4,5.5,11.8,49.1,12.7,6.4,3.6,27.3,0,0,0,1,139,1039,1952,1169,860,562,230,65,37,1,2019,2020
2019-20,1610612762,UTA,Utah Jazz,21901314,2020-08-13T00:00:00,UTA vs. SAS,W,47.5,19.8,20.8,8.9,61.4,13.9,8.9,8.9,43.6,0,0,0,1,139,571,156,1548,154,703,512,560,748,1,2019,2020
2019-20,1610612753,ORL,Orlando Magic,21901312,2020-08-13T00:00:00,ORL vs. NOP,W,47.1,22.5,8.8,20.6,49.0,19.6,16.7,20.6,70.6,0,0,0,1,139,321,1605,247,873,1517,1610,1869,2094,1,2019,2020
2019-20,1610612758,SAC,Sacramento Kings,21901310,2020-08-13T00:00:00,SAC @ LAL,W,45.3,25.5,11.3,19.8,54.7,17.0,15.1,4.7,50.9,0,0,0,1,139,160,1250,285,446,1154,1439,136,1403,1,2019,2020
2019-20,1610612738,BOS,Boston Celtics,21901308,2020-08-13T00:00:00,BOS vs. WAS,L,48.5,15.2,11.1,12.1,48.5,25.3,14.1,22.2,32.3,0,0,0,1060,139,1227,1273,1112,925,1950,1296,1946,125,1,2019,2020
2019-20,1610612764,WAS,Washington Wizards,21901308,2020-08-13T00:00:00,WAS @ BOS,W,48.5,25.3,14.1,22.2,32.3,15.2,11.1,12.1,48.5,0,0,0,1,139,169,808,172,1994,888,829,1002,1178,1,2019,2020
2019-20,1610612759,SAS,San Antonio Spurs,21901314,2020-08-13T00:00:00,SAS @ UTA,L,48.0,14.0,9.0,9.0,44.0,20.0,21.0,9.0,62.0,0,0,0,1060,139,1398,1582,1537,1320,1560,1968,572,1982,1,2019,2020
2019-20,1610612756,PHX,Phoenix Suns,21901313,2020-08-13T00:00:00,PHX vs. DAL,W,49.5,14.4,14.4,22.7,61.9,4.1,17.5,5.2,57.7,0,0,0,1,139,1334,765,151,140,17,1707,158,1836,1,2019,2020
2019-20,1610612755,PHI,Philadelphia 76ers,21901305,2020-08-12T00:00:00,PHI vs. TOR,L,45.7,5.7,2.9,11.4,32.4,20.0,21.0,12.4,40.0,0,0,0,1060,139,2068,2078,1221,1989,1560,1966,1034,485,1,2019,2020
2019-20,1610612760,OKC,Oklahoma City Thunder,21901306,2020-08-12T00:00:00,OKC vs. MIA,W,48.0,13.0,20.0,8.0,36.0,18.0,8.0,11.0,42.0,0,0,0,1,139,1516,201,1669,1833,1313,391,834,619,1,2019,2020
2019-20,1610612761,TOR,Toronto Raptors,21901305,2020-08-12T00:00:00,TOR @ PHI,W,45.7,20.0,21.0,12.4,40.0,5.7,2.9,11.4,32.4,0,0,0,1,139,538,152,1078,1613,49,40,898,127,1,2019,2020
2019-20,1610612743,DEN,Denver Nuggets,21901307,2020-08-12T00:00:00,DEN vs. LAC,L,49.5,7.2,17.5,10.3,53.6,22.7,9.3,11.3,43.3,0,0,0,1060,139,2015,406,1366,508,1800,571,883,727,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,21901306,2020-08-12T00:00:00,MIA @ OKC,L,47.5,17.8,7.9,10.9,41.6,12.9,19.8,7.9,35.6,0,0,0,1060,139,826,1726,1288,1524,573,1897,414,248,1,2019,2020
2019-20,1610612754,IND,Indiana Pacers,21901304,2020-08-12T00:00:00,IND @ HOU,W,44.0,22.9,18.3,11.9,42.2,18.3,10.1,9.2,29.4,0,0,0,1,139,285,325,1143,1473,1372,683,600,59,1,2019,2020
2019-20,1610612745,HOU,Houston Rockets,21901304,2020-08-12T00:00:00,HOU vs. IND,L,44.0,18.3,10.1,9.2,29.4,22.9,18.3,11.9,42.2,0,0,0,1060,139,751,1436,1522,2060,1826,1794,970,648,1,2019,2020
2019-20,1610612746,LAC,LA Clippers,21901307,2020-08-12T00:00:00,LAC @ DEN,W,49.5,22.7,9.3,11.3,43.3,7.2,17.5,10.3,53.6,0,0,0,1,139,310,1544,1227,1382,102,1707,749,1608,1,2019,2020
2019-20,1610612738,BOS,Boston Celtics,21901301,2020-08-11T00:00:00,BOS @ MEM,W,50.0,5.2,14.6,9.4,37.5,17.7,15.6,11.5,50.0,0,0,0,1,139,2078,749,1489,1768,1268,1501,906,1313,1,2019,2020
2019-20,1610612740,NOP,New Orleans Pelicans,21901302,2020-08-11T00:00:00,NOP @ SAC,L,47.1,22.5,11.8,11.8,60.8,13.7,11.8,7.8,52.9,0,0,0,1060,139,321,1182,1172,170,682,921,409,1560,1,2019,2020
2019-20,1610612759,SAS,San Antonio Spurs,21901298,2020-08-11T00:00:00,SAS vs. HOU,W,42.1,28.1,8.8,12.3,42.1,21.1,9.6,10.5,36.8,0,0,0,1,139,70,1619,1090,1478,1663,626,772,320,1,2019,2020
2019-20,1610612742,DAL,Dallas Mavericks,21901300,2020-08-11T00:00:00,DAL vs. POR,L,45.7,12.4,8.6,7.6,34.3,17.1,12.4,8.6,47.6,0,0,0,1060,139,1586,1640,1732,1929,1176,1031,519,1114,1,2019,2020
2019-20,1610612745,HOU,Houston Rockets,21901298,2020-08-11T00:00:00,HOU @ SAS,L,42.1,21.1,9.6,10.5,36.8,28.1,8.8,12.3,42.1,0,0,0,1060,139,454,1495,1344,1804,2051,501,1026,639,1,2019,2020
2019-20,1610612755,PHI,Philadelphia 76ers,21901299,2020-08-11T00:00:00,PHI vs. PHX,L,52.7,9.9,12.1,3.3,59.3,23.1,20.9,16.5,72.5,0,0,0,1060,139,1855,1130,2058,227,1838,1963,1534,2104,1,2019,2020
2019-20,1610612758,SAC,Sacramento Kings,21901302,2020-08-11T00:00:00,SAC vs. NOP,W,47.1,13.7,11.8,7.8,52.9,22.5,11.8,11.8,60.8,0,0,0,1,139,1425,1182,1702,546,1793,921,944,1944,1,2019,2020
2019-20,1610612757,POR,Portland Trail Blazers,21901300,2020-08-11T00:00:00,POR @ DAL,W,44.9,16.8,12.1,8.4,46.7,12.1,8.4,7.5,33.6,0,0,0,1,139,988,1119,1615,1080,500,446,376,160,1,2019,2020
