season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,available_flag,season_start,season_end,is_home,home,away
2024-25,1610612765,DET,Detroit Pistons,22400301,2024-11-30,DET vs. PHI,L,48.0,0.56,0.44,0.5,0.042,0.344,0.125,0.156,0.146,0.458,0.5,0.5,0.909,0.091,0.629,0.371,0,0,0,0,121,1495,958,1163,1586,1319,1364,1018,1286,895,1507,833,684,1698,1336,1112,1,2024,2025,True,DET,PHI
2024-25,1610612764,WAS,Washington Wizards,22400302,2024-11-30,WAS @ MIL,L,48.0,0.632,0.368,0.561,0.0,0.237,0.105,0.202,0.132,0.561,0.594,0.406,0.556,0.444,0.585,0.415,0,0,0,0,121,553,1905,535,2328,2241,1712,344,1549,144,785,1666,2404,48,1762,678,1,2024,2025,False,MIL,WAS
2024-25,1610612762,UTA,Utah Jazz,22400304,2024-11-30,UTA vs. DAL,L,48.0,0.589,0.411,0.532,0.043,0.287,0.074,0.181,0.096,0.489,0.48,0.52,0.889,0.111,0.588,0.412,0,0,0,0,121,1114,1335,813,1577,1889,2120,613,2094,612,1722,718,867,1530,1744,710,1,2024,2025,True,UTA,DAL
2024-25,1610612755,PHI,Philadelphia 76ers,22400301,2024-11-30,PHI @ DET,W,48.0,0.635,0.365,0.559,0.036,0.297,0.144,0.144,0.171,0.523,0.355,0.645,0.727,0.273,0.452,0.548,0,0,0,0,121,520,1931,556,1769,1790,1024,1233,884,332,2351,105,1997,412,2385,75,1,2024,2025,False,DET,PHI
2024-25,1610612737,ATL,Atlanta Hawks,22400300,2024-11-30,ATL @ CHA,W,48.0,0.577,0.423,0.523,0.0,0.28,0.121,0.196,0.196,0.523,0.679,0.321,0.8,0.2,0.711,0.289,0,0,0,0,121,1284,1176,905,2328,1948,1429,405,537,330,273,2176,1522,833,543,1905,1,2024,2025,False,CHA,ATL
2024-25,1610612744,GSW,Golden State Warriors,22400303,2024-11-30,GSW @ PHX,L,48.0,0.565,0.435,0.457,0.038,0.4,0.095,0.143,0.152,0.419,0.583,0.417,1.0,0.0,0.737,0.263,0,0,0,0,121,1442,1016,1680,1686,738,1876,1252,1167,1379,859,1581,1,2113,338,2118,1,2024,2025,False,PHX,GSW
2024-25,1610612742,DAL,Dallas Mavericks,22400304,2024-11-30,DAL @ UTA,W,48.0,0.567,0.433,0.491,0.094,0.425,0.123,0.085,0.085,0.396,0.692,0.308,0.8,0.2,0.732,0.268,0,0,0,0,121,1423,1033,1294,532,549,1406,2259,2194,1653,195,2253,1522,833,368,2083,1,2024,2025,False,UTA,DAL
2024-25,1610612766,CHA,Charlotte Hornets,22400300,2024-11-30,CHA vs. ATL,L,48.0,0.489,0.511,0.327,0.077,0.519,0.096,0.154,0.115,0.25,0.529,0.471,0.778,0.222,0.657,0.343,0,0,0,0,121,2183,275,2411,775,91,1862,1062,1833,2427,1339,1104,1704,698,1052,1401,1,2024,2025,True,CHA,ATL
2024-25,1610612756,PHX,Phoenix Suns,22400303,2024-11-30,PHX vs. GSW,W,48.0,0.557,0.443,0.354,0.088,0.478,0.097,0.168,0.142,0.265,0.65,0.35,1.0,0.0,0.816,0.184,0,0,0,0,121,1537,921,2347,604,217,1839,820,1363,2409,439,2012,1,2113,48,2412,1,2024,2025,True,PHX,GSW
2024-25,1610612749,MIL,Milwaukee Bucks,22400302,2024-11-30,MIL vs. WAS,W,48.0,0.593,0.407,0.452,0.048,0.387,0.089,0.161,0.081,0.403,0.571,0.429,0.938,0.063,0.705,0.295,0,0,0,0,121,1064,1388,1743,1469,873,1950,929,2236,1568,953,1468,432,2002,590,1854,1,2024,2025,True,MIL,WAS
2024-25,1610612761,TOR,Toronto Raptors,22400046,2024-11-29,TOR @ MIA,L,48.0,0.638,0.363,0.577,0.018,0.297,0.072,0.126,0.126,0.559,0.719,0.281,1.0,0.0,0.791,0.209,0,0,0,0,121,493,1966,416,2148,1790,2149,1605,1635,153,128,2330,1,2113,103,2355,1,2024,2025,False,MIA,TOR
