season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2019-20,1629628,RJ Barrett,RJ,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,39.38333333333333,9,14,0.643,2,5,0.4,6,6,1.0,0,5,5,4,2,2,1,0,1,7,26,3,45.0,0,0,43.0,1,1,1,1,512,1367,3484,3741,3640,4572,6455,1092,1776,1,11304,4038,6393,3556,3918,1252,2205,1,4186,541,1214,7893,1524,1909,101,1457,1,39:23,2019,2020
2019-20,203944,Julius Randle,Julius,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,38.38333333333333,13,22,0.591,3,6,0.5,4,4,1.0,0,11,11,3,3,1,1,0,5,2,33,8,53.7,1,0,54.0,1,1,1,1,813,174,490,5129,1756,3146,3230,2455,3502,1,11304,311,976,5244,1782,3910,2205,1,20977,6771,373,4621,584,1,101,428,1,38:23,2019,2020
2019-20,203901,Elfrid Payton,Elfrid,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,34.61666666666667,4,8,0.5,0,0,0.0,3,4,0.75,0,5,5,12,5,4,1,2,1,3,11,11,45.0,1,0,38.0,1,1,1,1,2978,8029,9577,7108,12218,17645,12218,3804,3502,7163,11304,4038,6393,99,331,87,2205,20277,4186,4183,8592,3220,1524,1,101,2504,1,34:37,2019,2020
2019-20,201959,Taj Gibson,Taj,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,19.6,4,6,0.667,1,2,0.5,0,0,0.0,0,3,3,1,0,2,3,0,2,0,9,7,29.1,0,0,24.0,1,1,1,1,14171,8029,12598,2660,6857,11477,3230,12027,12814,12027,11304,8691,11272,11429,14568,1252,268,1,9590,16138,10523,5194,6049,1909,101,7836,1,19:36,2019,2020
2019-20,1626171,Bobby Portis,Bobby,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,16.966666666666665,3,7,0.429,1,2,0.5,0,0,0.0,0,2,2,2,1,0,1,0,1,0,7,-6,14.4,0,0,14.0,1,1,1,1,15943,10497,11066,11410,6857,11477,3230,12027,12814,12027,11304,11973,14253,7732,7875,10567,2205,1,4186,16138,12728,15626,14251,1909,101,13895,1,16:58,2019,2020
2019-20,201961,Wayne Ellington,Wayne,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,9.383333333333333,0,3,0.0,0,3,0.0,0,0,0.0,0,2,2,2,0,0,0,0,1,0,0,1,5.4,0,0,4.0,1,1,1,1,19694,19596,17424,19596,12218,8832,12218,12027,12814,12027,11304,11973,14253,7732,14568,10567,7040,1,4186,16138,20146,9535,19447,1909,101,19873,1,9:23,2019,2020
2019-20,1628995,Kevin Knox II,Kevin,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,16.35,3,7,0.429,3,3,1.0,3,4,0.75,0,3,3,0,0,2,0,1,2,3,12,-4,21.6,0,0,22.0,1,1,1,1,16365,10497,11066,11410,1756,8832,1,3804,3502,7163,11304,8691,11272,16549,14568,1252,7040,14867,9590,4183,7720,14035,9891,1909,101,8971,1,16:21,2019,2020
2019-20,1628373,Frank Ntilikina,Frank,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,23.27166666666667,1,7,0.143,1,3,0.333,5,6,0.833,1,3,4,2,0,1,0,0,4,4,8,-10,18.8,0,0,17.0,1,1,1,1,11544,16399,11066,19264,6857,8832,7485,1616,1776,6261,5288,8691,8556,7732,14568,3910,7040,1,18631,2590,11571,18325,11616,1909,101,12005,1,23:16,2019,2020
2019-20,203090,Maurice Harkless,Maurice,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,40.88333333333333,6,13,0.462,0,4,0.0,2,3,0.667,1,5,6,6,1,1,0,0,3,2,14,10,32.2,0,0,28.0,1,1,1,1,268,4285,4211,10334,12218,6437,12218,5552,5559,8310,5288,4038,4656,1685,7875,3910,7040,1,14861,6771,6239,3657,4831,1909,101,5950,1,40:53,2019,2020
2019-20,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,21900969,2020-03-11T00:00:00,NYK @ ATL,W,26.161666666666665,7,7,1.0,0,0,0.0,2,7,0.286,4,2,6,0,0,1,2,0,3,4,16,5,32.2,0,0,28.0,1,1,1,1,9330,3019,11066,1,12218,17645,12218,5552,1305,11875,567,11973,4656,16549,14568,3910,720,1,14861,2590,4893,6431,4831,1909,101,5950,1,26:10,2019,2020
2019-20,203493,Reggie Bullock Jr.,Reggie,1610612752,NYK,New York Knicks,21900961,2020-03-10T00:00:00,NYK @ WAS,L,28.4,4,6,0.667,1,2,0.5,1,2,0.5,0,2,2,3,3,0,1,0,2,3,10,17,16.9,0,0,18.0,1,11184,11184,11184,7642,8029,12598,2660,6857,11477,3230,9105,6839,9400,11304,11973,14253,5244,1782,10567,2205,1,9590,4183,9478,1455,12717,1909,101,11369,1,28:24,2019,2020
2019-20,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,New York Knicks,21900961,2020-03-10T00:00:00,NYK @ WAS,L,24.836666666666662,4,5,0.8,0,0,0.0,2,2,1.0,2,1,3,0,0,0,0,0,3,1,10,3,13.6,0,0,13.0,1,11184,11184,11184,10338,8029,14259,1350,12218,17645,12218,5552,6839,1,2526,15663,11272,16549,14568,10567,7040,1,14861,10668,9478,7893,14751,1909,101,14542,1,24:50,2019,2020
2019-20,201959,Taj Gibson,Taj,1610612752,NYK,New York Knicks,21900961,2020-03-10T00:00:00,NYK @ WAS,L,17.483333333333334,4,4,1.0,0,0,0.0,2,2,1.0,1,2,3,0,1,1,1,0,3,2,10,-7,18.6,0,0,17.0,1,11184,11184,11184,15639,8029,15877,1,12218,17645,12218,5552,6839,1,5288,11973,11272,16549,7875,3910,2205,1,14861,6771,9478,16391,11733,1909,101,12005,1,17:29,2019,2020
