season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away
2021-22,1610612759,SAS,San Antonio Spurs,22100923,2022-02-28,SAS @ MEM,L,48.0,0.46,0.192,0.087,0.267,0.601,0.213,0.175,0.289,0,0,0,0,117,2122,1814,161,1283,2069,885,387,1455,1,2021,2022,False,MEM,SAS
2021-22,1610612739,CLE,Cleveland Cavaliers,22100920,2022-02-28,CLE vs. MIN,L,48.0,0.628,0.459,0.22,0.368,0.651,0.221,0.131,0.225,0,0,0,0,117,203,42,2415,228,2360,962,1360,655,1,2021,2022,True,CLE,MIN
2021-22,1610612749,MIL,Milwaukee Bucks,22100924,2022-02-28,MIL vs. CHA,W,48.0,0.538,0.407,0.126,0.396,0.462,0.344,0.088,0.226,0,0,0,0,117,1106,113,933,117,362,2089,2273,664,1,2021,2022,True,MIL,CHA
2021-22,1610612754,IND,Indiana Pacers,22100921,2022-02-28,IND @ ORL,L,48.0,0.59,0.347,0.216,0.179,0.531,0.229,0.109,0.302,0,0,0,0,117,486,349,2400,2215,1246,1069,1938,1621,1,2021,2022,False,ORL,IND
2021-22,1610612748,MIA,Miami Heat,22100922,2022-02-28,MIA vs. CHI,W,48.0,0.568,0.321,0.144,0.222,0.53,0.179,0.163,0.273,0,0,0,0,117,705,505,1444,1823,1227,500,575,1246,1,2021,2022,True,MIA,CHI
2021-22,1610612761,TOR,Toronto Raptors,22100726,2022-02-28,TOR @ BKN,W,48.0,0.606,0.222,0.129,0.396,0.453,0.279,0.23,0.389,0,0,0,0,117,359,1472,995,117,273,1609,27,2322,1,2021,2022,False,BKN,TOR
2021-22,1610612758,SAC,Sacramento Kings,22100925,2022-02-28,SAC @ OKC,W,48.0,0.621,0.345,0.162,0.256,0.529,0.314,0.159,0.255,0,0,0,0,117,250,367,1845,1408,1208,1894,675,1006,1,2021,2022,False,OKC,SAC
2021-22,1610612763,MEM,Memphis Grizzlies,22100923,2022-02-28,MEM vs. SAS,W,48.0,0.601,0.213,0.175,0.289,0.46,0.192,0.087,0.267,0,0,0,0,117,391,1568,2064,992,338,644,2298,1161,1,2021,2022,True,MEM,SAS
2021-22,1610612741,CHI,Chicago Bulls,22100922,2022-02-28,CHI @ MIA,L,48.0,0.53,0.179,0.163,0.273,0.568,0.321,0.144,0.222,0,0,0,0,117,1233,1959,1866,1189,1754,1953,1000,608,1,2021,2022,False,MIA,CHI
2021-22,1610612751,BKN,Brooklyn Nets,22100726,2022-02-28,BKN vs. TOR,L,48.0,0.453,0.279,0.23,0.389,0.606,0.222,0.129,0.396,0,0,0,0,117,2188,847,2433,135,2102,971,1446,2343,1,2021,2022,True,BKN,TOR
