team_id,team_name,team,gp,g,fga_frequency,fgm,fga,fg_pct,efg_pct,fg2a_frequency,fg2m,fg2a,fg2_pct,fg3a_frequency,fg3m,fg3a,fg3_pct
1610612749,Milwaukee Bucks,MIL,23,23,0.411,530,860,0.616,0.616,0.411,530,860,0.616,0.0,0,0,
1610612756,Phoenix Suns,PHX,22,22,0.348,392,651,0.602,0.602,0.348,392,651,0.602,0.0,0,0,
1610612737,Atlanta Hawks,ATL,18,18,0.352,317,550,0.576,0.576,0.352,317,550,0.576,0.0,0,0,
1610612746,LA Clippers,LAC,19,19,0.351,328,547,0.6,0.6,0.351,328,547,0.6,0.0,0,0,
1610612755,Philadelphia 76ers,PHI,12,12,0.411,251,423,0.593,0.593,0.411,251,423,0.593,0.0,0,0,
1610612751,Brooklyn Nets,BKN,12,12,0.371,210,384,0.547,0.547,0.371,210,384,0.547,0.0,0,0,
1610612743,Denver Nuggets,DEN,10,10,0.407,214,375,0.571,0.571,0.407,214,375,0.571,0.0,0,0,
1610612762,Utah Jazz,UTA,11,11,0.368,192,340,0.565,0.565,0.368,192,340,0.565,0.0,0,0,
1610612763,Memphis Grizzlies,MEM,5,5,0.485,132,229,0.576,0.576,0.485,132,229,0.576,0.0,0,0,
1610612742,Dallas Mavericks,DAL,7,7,0.368,119,221,0.538,0.538,0.368,119,221,0.538,0.0,0,0,
1610612747,Los Angeles Lakers,LAL,6,6,0.44,128,219,0.584,0.584,0.44,128,219,0.584,0.0,0,0,
1610612764,Washington Wizards,WAS,5,5,0.472,115,209,0.55,0.55,0.472,115,209,0.55,0.0,0,0,
1610612757,Portland Trail Blazers,POR,6,6,0.379,119,201,0.592,0.592,0.379,119,201,0.592,0.0,0,0,
1610612738,Boston Celtics,BOS,5,5,0.391,92,173,0.532,0.532,0.391,92,173,0.532,0.0,0,0,
1610612752,New York Knicks,NYK,5,5,0.398,85,172,0.494,0.494,0.398,85,172,0.494,0.0,0,0,
1610612748,Miami Heat,MIA,4,4,0.339,57,121,0.471,0.471,0.339,57,121,0.471,0.0,0,0,
