season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2015-16,1610612744,41500141,2016-04-16,HOU,GSW,HOU,1610612745,104,78,W,26,rnd1,1
2015-16,1610612744,41500142,2016-04-18,HOU,GSW,HOU,1610612745,115,106,W,9,rnd1,2
2015-16,1610612744,41500143,2016-04-21,GSW,HOU,HOU,1610612745,96,97,L,-1,rnd1,3
2015-16,1610612744,41500144,2016-04-24,GSW,HOU,HOU,1610612745,121,94,W,27,rnd1,4
2015-16,1610612744,41500145,2016-04-27,HOU,GSW,HOU,1610612745,114,81,W,33,rnd1,5
2015-16,1610612744,41500221,2016-05-01,POR,GSW,POR,1610612757,118,106,W,12,sf,1
2015-16,1610612744,41500222,2016-05-03,POR,GSW,POR,1610612757,110,99,W,11,sf,2
2015-16,1610612744,41500223,2016-05-07,GSW,POR,POR,1610612757,108,120,L,-12,sf,3
2015-16,1610612744,41500224,2016-05-09,GSW,POR,POR,1610612757,132,125,W,7,sf,4
2015-16,1610612744,41500225,2016-05-11,POR,GSW,POR,1610612757,125,121,W,4,sf,5
2015-16,1610612744,41500311,2016-05-16,OKC,GSW,OKC,1610612760,102,108,L,-6,conf,1
2015-16,1610612744,41500312,2016-05-18,OKC,GSW,OKC,1610612760,118,91,W,27,conf,2
2015-16,1610612744,41500313,2016-05-22,GSW,OKC,OKC,1610612760,105,133,L,-28,conf,3
2015-16,1610612744,41500314,2016-05-24,GSW,OKC,OKC,1610612760,94,118,L,-24,conf,4
2015-16,1610612744,41500315,2016-05-26,OKC,GSW,OKC,1610612760,120,111,W,9,conf,5
2015-16,1610612744,41500316,2016-05-28,GSW,OKC,OKC,1610612760,108,101,W,7,conf,6
2015-16,1610612744,41500317,2016-05-30,OKC,GSW,OKC,1610612760,96,88,W,8,conf,7
2015-16,1610612744,41500401,2016-06-02,CLE,GSW,CLE,1610612739,104,89,W,15,finals,1
2015-16,1610612744,41500402,2016-06-05,CLE,GSW,CLE,1610612739,110,77,W,33,finals,2
2015-16,1610612744,41500403,2016-06-08,GSW,CLE,CLE,1610612739,90,120,L,-30,finals,3
2015-16,1610612744,41500404,2016-06-10,GSW,CLE,CLE,1610612739,108,97,W,11,finals,4
2015-16,1610612744,41500405,2016-06-13,CLE,GSW,CLE,1610612739,97,112,L,-15,finals,5
2015-16,1610612744,41500406,2016-06-16,GSW,CLE,CLE,1610612739,101,115,L,-14,finals,6
2015-16,1610612744,41500407,2016-06-19,CLE,GSW,CLE,1610612739,89,93,L,-4,finals,7
