season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away
2020-21,1610612755,PHI,Philadelphia 76ers,22000294,2021-01-29,PHI @ MIN,W,48.0,116.0,115.7,90.5,92.2,25.6,23.5,0.513,2.0,14.7,0.275,0.86,0.564,0.098,0.494,0.569,102.8,102.0,85.0,102,0.671,1,1,1,1,113,799,83,120,1761,807,1843,909,59,202,303,1599,1103,615,38,1,2020,2021,False,MIN,PHI
2020-21,1610612750,MIN,Minnesota Timberwolves,22000294,2021-01-29,MIN vs. PHI,L,48.0,90.5,92.2,116.0,115.7,-25.6,-23.5,0.571,1.11,15.5,0.14,0.725,0.436,0.176,0.488,0.523,102.8,102.0,85.0,102,0.329,1,1081,1081,1081,113,2073,1361,2041,1324,1982,1697,2098,1233,1955,1829,1677,1703,615,2123,1,2020,2021,True,MIN,PHI
2020-21,1610612761,TOR,Toronto Raptors,22000292,2021-01-29,TOR vs. SAC,L,48.0,119.8,124.0,122.8,124.8,-3.0,-0.8,0.476,1.33,14.7,0.362,0.667,0.5,0.15,0.564,0.617,103.1,100.5,83.75,100,0.466,1,1081,1081,1081,113,315,1882,1101,1955,1735,1843,147,1832,1042,1360,746,528,853,1389,1,2020,2021,True,TOR,SAC
2020-21,1610612752,NYK,New York Knicks,22000291,2021-01-29,NYK vs. CLE,W,48.0,109.6,112.1,88.1,89.0,21.5,23.1,0.513,1.43,16.4,0.256,0.679,0.495,0.154,0.55,0.586,92.5,91.0,75.83,91,0.638,1,1,1,1,113,1064,49,128,1761,1609,1504,1140,1764,1157,1454,898,880,2095,92,1,2020,2021,True,NYK,CLE
2020-21,1610612766,CHA,Charlotte Hornets,22000288,2021-01-29,CHA vs. IND,W,48.0,111.4,110.2,105.3,106.1,6.1,4.1,0.814,2.06,24.6,0.209,0.745,0.489,0.173,0.6,0.607,98.3,98.5,82.08,98,0.531,1,1,1,1,113,1196,695,888,22,805,28,1697,988,1287,1793,388,641,1221,795,1,2020,2021,True,CHA,IND
2020-21,1610612764,WAS,Washington Wizards,22000290,2021-01-29,WAS vs. ATL,L,48.0,98.3,98.0,112.7,116.0,-14.4,-18.0,0.419,1.0,9.9,0.286,0.74,0.5,0.127,0.406,0.492,102.3,101.0,84.17,102,0.428,1,1081,1081,1081,113,1910,1376,1929,2086,2059,2153,768,1053,1042,873,2126,1965,779,1741,1,2020,2021,True,WAS,ATL
2020-21,1610612743,DEN,Denver Nuggets,22000296,2021-01-29,DEN @ SAS,L,48.0,113.8,112.4,123.4,121.4,-9.6,-9.1,0.61,1.56,19.4,0.2,0.75,0.475,0.165,0.615,0.628,96.1,97.5,81.25,97,0.462,1,1081,1081,1081,113,1046,1717,1586,1012,1419,679,1772,893,1509,1658,275,404,1425,1428,1,2020,2021,False,SAS,DEN
2020-21,1610612746,LAC,LA Clippers,22000289,2021-01-29,LAC @ ORL,W,48.0,115.0,117.2,88.3,91.8,26.7,25.3,0.543,2.27,18.7,0.208,0.719,0.486,0.111,0.559,0.587,101.4,98.5,82.08,99,0.629,1,1,1,1,113,702,77,99,1547,565,871,1707,1321,1326,534,817,868,1221,111,1,2020,2021,False,ORL,LAC
2020-21,1610612753,ORL,Orlando Magic,22000289,2021-01-29,ORL vs. LAC,L,48.0,88.3,91.8,115.0,117.2,-26.7,-25.3,0.625,1.18,14.9,0.281,0.792,0.514,0.173,0.416,0.464,101.4,98.5,82.08,98,0.371,1,1081,1081,1081,113,2083,1452,2062,875,1923,1811,835,441,827,1793,2110,2092,1221,2050,1,2020,2021,True,ORL,LAC
2020-21,1610612751,BKN,Brooklyn Nets,22000295,2021-01-29,BKN @ OKC,W,48.0,136.1,138.7,116.9,117.9,19.2,20.8,0.579,3.0,22.0,0.25,0.82,0.553,0.104,0.665,0.687,107.5,106.0,88.33,106,0.577,1,1,1,1,113,16,1506,180,1268,175,191,1207,231,286,402,75,74,185,388,1,2020,2021,False,OKC,BKN
2020-21,1610612754,IND,Indiana Pacers,22000288,2021-01-29,IND @ CHA,L,48.0,105.3,106.1,111.4,110.2,-6.1,-4.1,0.714,1.88,21.6,0.255,0.791,0.511,0.162,0.546,0.566,98.3,98.5,82.08,99,0.469,1,1081,1081,1081,113,1457,957,1273,296,1004,247,1156,455,866,1602,947,1141,1221,1366,1,2020,2021,False,CHA,IND
2020-21,1610612742,DAL,Dallas Mavericks,22000297,2021-01-29,DAL @ UTA,L,48.0,100.1,104.1,124.4,122.4,-24.3,-18.3,0.541,1.82,15.5,0.226,0.647,0.433,0.113,0.483,0.516,98.7,97.5,81.25,97,0.39,1,1081,1081,1081,113,1587,1770,1938,1573,1077,1697,1509,1965,1976,590,1720,1765,1425,1975,1,2020,2021,False,UTA,DAL
2020-21,1610612739,CLE,Cleveland Cavaliers,22000291,2021-01-29,CLE @ NYK,L,48.0,88.1,89.0,109.6,112.1,-21.5,-23.1,0.517,1.07,12.1,0.321,0.744,0.505,0.154,0.393,0.441,92.5,91.0,75.83,91,0.362,1,1081,1081,1081,113,2111,1097,2032,1741,2007,2106,388,1006,995,1454,2144,2135,2095,2069,1,2020,2021,False,NYK,CLE
2020-21,1610612749,MIL,Milwaukee Bucks,22000293,2021-01-29,MIL @ NOP,L,48.0,119.2,122.3,124.4,126.0,-5.2,-3.6,0.604,2.42,19.9,0.28,0.722,0.51,0.117,0.568,0.596,105.5,103.5,86.25,103,0.49,1,1081,1081,1081,113,395,1927,1229,1072,456,557,841,1275,921,647,706,754,415,1164,1,2020,2021,False,NOP,MIL
2020-21,1610612762,UTA,Utah Jazz,22000297,2021-01-29,UTA vs. DAL,W,48.0,124.4,122.4,100.1,104.1,24.3,18.3,0.553,1.4,15.4,0.353,0.774,0.567,0.153,0.552,0.61,98.7,97.5,81.25,98,0.61,1,1,1,1,113,387,568,223,1474,1653,1707,191,645,184,1426,880,617,1425,186,1,2020,2021,True,UTA,DAL
2020-21,1610612759,SAS,San Antonio Spurs,22000296,2021-01-29,SAS vs. DEN,W,48.0,123.4,121.4,113.8,112.4,9.6,9.1,0.659,2.23,21.2,0.25,0.8,0.525,0.133,0.605,0.644,96.1,97.5,81.25,98,0.538,1,1,1,1,113,439,1112,575,603,599,317,1207,366,651,988,351,275,1425,733,1,2020,2021,True,SAS,DEN
2020-21,1610612760,OKC,Oklahoma City Thunder,22000295,2021-01-29,OKC vs. BKN,L,48.0,116.9,117.9,136.1,138.7,-19.2,-20.8,0.575,1.92,16.7,0.18,0.75,0.447,0.113,0.558,0.619,107.5,106.0,88.33,106,0.423,1,1081,1081,1081,113,652,2144,1980,1299,959,1418,1928,893,1874,586,819,495,185,1773,1,2020,2021,True,OKC,BKN
2020-21,1610612740,NOP,New Orleans Pelicans,22000293,2021-01-29,NOP vs. MIL,W,48.0,124.4,126.0,119.2,122.3,5.2,3.6,0.711,3.56,21.2,0.278,0.72,0.49,0.087,0.578,0.605,105.5,103.5,86.25,104,0.51,1,1,1,1,113,232,1766,932,315,83,312,866,1304,1234,170,587,668,415,996,1,2020,2021,True,NOP,MIL
2020-21,1610612747,LAL,Los Angeles Lakers,22000284,2021-01-28,LAL @ DET,L,48.0,99.7,101.1,110.6,117.6,-10.9,-16.5,0.694,2.27,19.4,0.291,0.723,0.49,0.121,0.477,0.493,94.5,91.0,75.83,91,0.429,1,1081,1081,1081,113,1762,1484,1881,379,565,679,716,1262,1241,727,1758,1956,2095,1718,1,2020,2021,False,DET,LAL
2020-21,1610612746,LAC,LA Clippers,22000285,2021-01-28,LAC @ MIA,W,48.0,113.9,110.1,102.3,106.1,11.6,4.0,0.611,1.83,16.4,0.255,0.808,0.534,0.121,0.511,0.564,99.1,99.0,82.5,99,0.543,1,1,1,1,113,1206,695,899,1002,1054,1491,1174,318,509,733,1427,1177,1131,684,1,2020,2021,False,MIA,LAC
