season,team_id,team,srs_v1,sos_v1_raw,sos_v1
2019-20,1610612749,MIL,9.68,-0.513,0.15
2019-20,1610612746,LAC,6.81,0.369,0.68
2019-20,1610612747,LAL,6.48,0.652,0.85
2019-20,1610612761,TOR,6.14,-0.096,0.401
2019-20,1610612738,BOS,6.0,-0.311,0.271
2019-20,1610612742,DAL,5.0,0.09,0.512
2019-20,1610612745,HOU,3.3,0.338,0.662
2019-20,1610612748,MIA,2.79,-0.192,0.343
2019-20,1610612762,UTA,2.76,0.216,0.588
2019-20,1610612755,PHI,2.52,0.025,0.474
2019-20,1610612743,DEN,2.48,0.406,0.702
2019-20,1610612760,OKC,2.41,0.503,0.76
2019-20,1610612754,IND,1.84,-0.162,0.361
2019-20,1610612756,PHX,0.55,0.518,0.77
2019-20,1610612759,SAS,-0.38,0.618,0.83
2019-20,1610612757,POR,-0.38,0.692,0.874
2019-20,1610612740,NOP,-0.39,0.901,1.0
2019-20,1610612753,ORL,-0.66,0.246,0.606
2019-20,1610612763,MEM,-0.79,0.319,0.65
2019-20,1610612751,BKN,-0.83,-0.264,0.3
2019-20,1610612758,SAC,-1.35,0.618,0.83
2019-20,1610612750,MIN,-3.86,0.437,0.721
2019-20,1610612741,CHI,-3.96,-0.763,0.0
2019-20,1610612765,DET,-4.23,-0.666,0.058
2019-20,1610612764,WAS,-5.07,-0.407,0.214
2019-20,1610612752,NYK,-6.56,-0.102,0.397
2019-20,1610612766,CHA,-6.75,-0.125,0.383
2019-20,1610612737,ATL,-7.58,0.435,0.72
2019-20,1610612739,CLE,-7.89,0.295,0.636
2019-20,1610612744,GSW,-8.08,0.755,0.912
