season_id,team_id,team,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx
42022,1610612738,BOS,Boston Celtics,Transition,Offensive,0.333,20,0.187,1.035,0.5,0.116,0.136,0.106,0.015,0.482,0.563,398,412,152,304,152
42022,1610612743,DEN,Denver Nuggets,Transition,Offensive,0.867,20,0.162,1.157,0.51,0.113,0.067,0.102,0.02,0.52,0.585,344,398,148,289,141
42022,1610612748,MIA,Miami Heat,Transition,Offensive,0.933,23,0.117,1.203,0.58,0.129,0.098,0.126,0.028,0.556,0.649,286,344,132,228,96
42022,1610612747,LAL,Los Angeles Lakers,Transition,Offensive,0.467,16,0.178,1.054,0.54,0.151,0.157,0.151,0.016,0.503,0.594,312,329,117,217,100
42022,1610612756,PHX,Phoenix Suns,Transition,Offensive,1.0,11,0.17,1.394,0.65,0.163,0.079,0.143,0.054,0.635,0.709,203,283,107,165,58
42022,1610612744,GSW,Golden State Warriors,Transition,Offensive,0.267,13,0.162,1.016,0.48,0.094,0.127,0.082,0.016,0.453,0.559,245,249,94,194,100
42022,1610612752,NYK,New York Knicks,Transition,Offensive,0.533,11,0.165,1.056,0.53,0.154,0.169,0.154,0.046,0.482,0.592,195,206,75,141,66
42022,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.067,11,0.152,0.977,0.46,0.098,0.116,0.092,0.023,0.445,0.514,173,169,64,139,75
42022,1610612758,SAC,Sacramento Kings,Transition,Offensive,0.0,7,0.214,0.885,0.43,0.093,0.143,0.088,0.005,0.412,0.489,182,161,60,140,80
42022,1610612763,MEM,Memphis Grizzlies,Transition,Offensive,0.667,6,0.187,1.084,0.51,0.084,0.069,0.061,0.023,0.496,0.566,131,142,58,114,56
42022,1610612746,LAC,LA Clippers,Transition,Offensive,0.733,5,0.181,1.087,0.48,0.146,0.107,0.117,0.039,0.485,0.549,103,112,39,81,42
42022,1610612737,ATL,Atlanta Hawks,Transition,Offensive,0.6,6,0.14,1.072,0.48,0.072,0.062,0.062,0.031,0.474,0.54,97,104,42,87,45
42022,1610612749,MIL,Milwaukee Bucks,Transition,Offensive,0.133,5,0.157,0.989,0.45,0.11,0.099,0.11,0.011,0.462,0.534,91,90,33,73,40
42022,1610612750,MIN,Minnesota Timberwolves,Transition,Offensive,0.2,5,0.151,1.013,0.46,0.088,0.063,0.088,0.0,0.475,0.522,80,81,31,67,36
42022,1610612739,CLE,Cleveland Cavaliers,Transition,Offensive,0.4,5,0.151,1.039,0.48,0.143,0.078,0.13,0.013,0.494,0.525,77,80,29,61,32
42022,1610612751,BKN,Brooklyn Nets,Transition,Offensive,0.8,4,0.168,1.092,0.48,0.062,0.108,0.062,0.0,0.446,0.602,65,71,26,54,28
