season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end
2018-19,1610612761,TOR,Toronto Raptors,41800406,2019-06-13T00:00:00,TOR @ GSW,W,48.0,29.3,61.5,0.476,9.8,24.8,0.394,17.3,21.8,0.793,8.3,21.0,29.3,18.8,9.0,6.0,1.5,4.5,17.3,17.3,85.5,3.0,1,1,1,1,9,61,116,48,43,73,46,42,42,78,55,141,134,45,52,50,132,113,98,48,44,66,1,2018,2019
2018-19,1610612744,GSW,Golden State Warriors,41800406,2019-06-13T00:00:00,GSW vs. TOR,L,48.0,29.3,60.0,0.488,8.3,23.3,0.355,15.8,22.5,0.7,8.3,23.3,31.5,21.0,12.8,6.8,4.5,1.5,17.3,17.3,82.5,-3.0,1,83,83,83,9,61,134,36,76,90,81,61,35,128,55,113,103,24,132,28,37,11,98,48,61,91,1,2018,2019
2018-19,1610612761,TOR,Toronto Raptors,41800405,2019-06-10T00:00:00,TOR vs. GSW,L,48.0,28.5,63.8,0.447,6.0,24.0,0.25,15.8,20.3,0.778,9.8,22.5,32.3,14.3,9.8,4.5,3.8,5.3,14.3,16.5,78.8,-0.8,1,83,83,83,9,76,89,81,130,82,140,61,52,85,26,125,90,118,65,88,57,129,26,68,84,83,1,2018,2019
2018-19,1610612744,GSW,Golden State Warriors,41800405,2019-06-10T00:00:00,GSW @ TOR,W,48.0,28.5,61.5,0.463,15.0,31.5,0.476,7.5,10.5,0.714,4.5,23.3,27.8,20.3,12.0,3.8,5.3,3.8,16.5,14.3,79.5,0.8,1,1,1,1,9,76,116,63,1,11,6,149,152,122,146,113,143,27,117,116,24,85,73,129,81,82,1,2018,2019
2018-19,1610612761,TOR,Toronto Raptors,41800404,2019-06-07T00:00:00,TOR @ GSW,W,48.0,27.0,64.5,0.419,7.5,24.0,0.313,17.3,18.0,0.958,5.3,24.0,29.3,16.5,8.3,9.0,3.0,4.5,15.8,17.3,78.8,9.8,1,1,1,1,9,101,77,106,102,82,111,42,79,1,120,101,134,82,37,5,83,113,51,48,84,31,1,2018,2019
2018-19,1610612744,GSW,Golden State Warriors,41800404,2019-06-07T00:00:00,GSW vs. TOR,L,48.0,26.3,58.5,0.449,6.0,20.3,0.296,10.5,15.8,0.667,6.0,25.5,31.5,19.5,14.3,4.5,4.5,3.0,17.3,15.8,69.0,-9.8,1,83,83,83,9,115,146,78,130,131,121,133,115,141,101,78,103,36,151,88,37,55,98,94,146,132,1,2018,2019
2018-19,1610612761,TOR,Toronto Raptors,41800403,2019-06-05T00:00:00,TOR @ GSW,W,48.0,32.3,61.5,0.524,12.8,28.5,0.447,15.0,15.8,0.952,3.8,26.3,30.0,22.5,12.0,6.8,7.5,2.3,16.5,15.8,92.3,10.5,1,1,1,1,9,21,116,12,5,31,12,70,115,4,157,67,126,14,117,28,9,34,73,94,12,29,1,2018,2019
2018-19,1610612744,GSW,Golden State Warriors,41800403,2019-06-05T00:00:00,GSW vs. TOR,L,48.0,27.0,68.3,0.396,9.0,27.0,0.333,18.8,22.5,0.833,9.8,21.0,30.8,18.8,11.3,6.0,2.3,7.5,15.8,16.5,81.8,-10.5,1,83,83,83,9,101,33,130,59,48,90,21,35,51,26,141,116,45,108,50,112,155,51,68,66,135,1,2018,2019
2018-19,1610612744,GSW,Golden State Warriors,41800402,2019-06-02T00:00:00,GSW @ TOR,W,48.0,28.5,61.5,0.463,9.8,25.5,0.382,15.0,17.3,0.87,4.5,27.0,31.5,25.5,12.0,5.3,3.8,1.5,19.5,16.5,81.8,3.8,1,1,1,1,9,76,116,63,43,65,60,70,94,35,146,56,103,3,117,72,57,11,140,68,66,56,1,2018,2019
2018-19,1610612761,TOR,Toronto Raptors,41800402,2019-06-02T00:00:00,TOR vs. GSW,L,48.0,26.3,70.5,0.372,8.3,28.5,0.289,17.3,19.5,0.885,11.3,25.5,36.8,12.8,11.3,6.0,1.5,3.8,16.5,19.5,78.0,-3.8,1,83,83,83,9,115,17,147,76,31,129,42,62,28,16,78,35,144,108,50,132,85,73,17,90,102,1,2018,2019
