season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away,MON
2019-20,1610612738,BOS,Boston Celtics,41900306,2020-09-27,BOS @ MIA,L,48.0,43,99,0.434,15,46,0.326,12,15,0.8,13,29,42,26,10.0,7,2,2,21,13,113,-12.0,1,84,84,84,13,32,7,114,45,17,116,139,147,75,17,132,84,34,18,73,133,10,63,164,63,131,1,2019,2020,False,MIA,BOS,SEP
2019-20,1610612738,BOS,Boston Celtics,41900305,2020-09-25,BOS vs. MIA,W,48.0,42,93,0.452,12,38,0.316,25,29,0.862,13,37,50,29,11.0,7,4,5,23,29,121,13.0,1,1,1,1,13,42,19,90,87,57,123,21,32,42,17,50,21,14,28,73,72,96,94,3,28,25,1,2019,2020,True,BOS,MIA,SEP
2019-20,1610612738,BOS,Boston Celtics,41900304,2020-09-23,BOS @ MIA,L,48.0,39,82,0.476,14,40,0.35,17,21,0.81,12,34,46,28,19.0,3,5,2,24,20,109,-3.0,1,84,84,84,13,66,109,56,55,45,90,95,103,70,23,75,42,19,148,150,43,10,111,105,85,91,1,2019,2020,False,MIA,BOS,SEP
2019-20,1610612738,BOS,Boston Celtics,41900303,2020-09-19,BOS @ MIA,W,48.0,41,85,0.482,9,26,0.346,26,30,0.867,10,40,50,27,14.0,8,3,8,29,24,117,11.0,1,1,1,1,13,47,77,51,135,156,93,18,28,40,46,27,21,23,78,48,105,155,160,41,38,37,1,2019,2020,False,MIA,BOS,SEP
2019-20,1610612738,BOS,Boston Celtics,41900302,2020-09-17,BOS vs. MIA,L,48.0,36,72,0.5,10,28,0.357,19,24,0.792,6,35,41,19,20.0,5,3,2,22,19,101,-5.0,1,84,84,84,13,114,162,31,122,141,80,76,78,85,124,69,93,130,154,120,105,10,80,120,125,100,1,2019,2020,True,BOS,MIA,SEP
2019-20,1610612738,BOS,Boston Celtics,41900301,2020-09-15,BOS vs. MIA,L,53.0,39,88,0.443,15,42,0.357,21,23,0.913,6,31,37,24,11.0,9,6,6,25,23,114,-3.0,1,84,84,84,3,66,55,102,45,33,80,54,85,17,124,114,136,58,28,31,24,125,127,57,54,91,1,2019,2020,True,BOS,MIA,SEP
2019-20,1610612738,BOS,Boston Celtics,41900217,2020-09-11,BOS @ TOR,W,48.0,35,86,0.407,9,38,0.237,13,23,0.565,10,34,44,19,12.0,12,5,6,16,23,92,5.0,1,1,1,1,13,123,72,143,135,57,158,135,85,164,46,75,62,130,44,3,43,125,12,57,155,65,1,2019,2020,False,TOR,BOS,SEP
2019-20,1610612738,BOS,Boston Celtics,41900216,2020-09-09,BOS vs. TOR,L,58.0,44,100,0.44,19,46,0.413,15,18,0.833,14,44,58,32,16.0,5,4,8,25,26,122,-3.0,1,84,84,84,1,21,4,108,9,17,38,118,126,57,14,10,2,6,111,120,72,155,127,17,23,91,1,2019,2020,True,BOS,TOR,SEP
2019-20,1610612738,BOS,Boston Celtics,41900215,2020-09-07,BOS @ TOR,W,48.0,38,77,0.494,11,34,0.324,24,27,0.889,4,41,45,23,13.0,5,6,5,19,24,111,22.0,1,1,1,1,13,83,141,40,104,100,120,28,49,28,151,22,54,66,64,120,24,96,31,41,70,11,1,2019,2020,False,TOR,BOS,SEP
2019-20,1610612738,BOS,Boston Celtics,41900214,2020-09-05,BOS vs. TOR,L,48.0,33,75,0.44,7,35,0.2,20,27,0.741,6,39,45,18,14.0,6,2,5,20,21,93,-7.0,1,84,84,84,13,143,149,108,159,86,163,67,49,119,124,33,54,140,78,98,133,96,48,88,152,107,1,2019,2020,True,BOS,TOR,SEP
