TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1610612763,Memphis Grizzlies,MEM,4,4,0.311,12.0,29.75,0.403,0.471,0.183,8.0,17.5,0.457,0.128,4.0,12.25,0.327
1610612752,New York Knicks,NYK,18,18,0.345,10.67,29.28,0.364,0.437,0.178,6.39,15.06,0.424,0.168,4.28,14.22,0.301
1610612738,Boston Celtics,BOS,11,11,0.33,10.0,28.18,0.355,0.408,0.197,7.0,16.82,0.416,0.133,3.0,11.36,0.264
1610612765,Detroit Pistons,DET,6,6,0.319,10.83,28.0,0.387,0.44,0.213,7.83,18.67,0.42,0.106,3.0,9.33,0.321
1610612749,Milwaukee Bucks,MIL,5,5,0.318,10.6,27.8,0.381,0.446,0.181,7.0,15.8,0.443,0.137,3.6,12.0,0.3
1610612754,Indiana Pacers,IND,17,17,0.302,9.76,26.59,0.367,0.446,0.156,5.59,13.76,0.406,0.146,4.18,12.82,0.326
1610612748,Miami Heat,MIA,4,4,0.289,12.0,24.75,0.485,0.646,0.096,4.0,8.25,0.485,0.193,8.0,16.5,0.485
1610612750,Minnesota Timberwolves,MIN,15,15,0.291,8.67,24.33,0.356,0.416,0.175,5.73,14.67,0.391,0.116,2.93,9.67,0.303
1610612760,Oklahoma City Thunder,OKC,17,17,0.279,9.29,24.24,0.383,0.459,0.154,5.65,13.35,0.423,0.125,3.65,10.88,0.335
1610612753,Orlando Magic,ORL,5,5,0.303,8.8,23.6,0.373,0.47,0.151,4.2,11.8,0.356,0.151,4.6,11.8,0.39
1610612743,Denver Nuggets,DEN,14,14,0.266,9.36,23.57,0.397,0.467,0.151,6.07,13.43,0.452,0.114,3.29,10.14,0.324
1610612739,Cleveland Cavaliers,CLE,9,9,0.282,8.67,23.44,0.37,0.445,0.16,5.11,13.33,0.383,0.121,3.56,10.11,0.352
1610612747,Los Angeles Lakers,LAL,5,5,0.255,6.6,22.2,0.297,0.36,0.099,3.8,8.6,0.442,0.156,2.8,13.6,0.206
1610612744,Golden State Warriors,GSW,12,12,0.268,8.0,22.08,0.362,0.442,0.144,4.5,11.83,0.38,0.124,3.5,10.25,0.341
1610612746,LA Clippers,LAC,7,7,0.24,8.29,20.43,0.406,0.476,0.147,5.43,12.57,0.432,0.092,2.86,7.86,0.364
1610612745,Houston Rockets,HOU,7,7,0.232,9.14,20.14,0.454,0.582,0.115,4.0,10.0,0.4,0.117,5.14,10.14,0.507
