group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
Players,1628411,Wes Iwundu,Wes,1610612753,ORL,24.0,13,7,6,0.538,15.126666666666669,0,0,0,0,5,2,2,12,1,1,3,2,9.3,250,223,179,158,298,229,235,182,315,149,72,112,133,130,229,173,223,306,ORL
Players,203082,Terrence Ross,Terrence,1610612753,ORL,28.0,41,19,22,0.463,128.06833333333333,5,5,8,12,48,18,30,94,4,1,6,9,119.1,18,44,436,249,45,96,94,22,104,425,287,442,378,26,229,262,84,52,ORL
Players,202696,Nikola Vučević,Nikola,1610612753,ORL,28.0,46,22,24,0.478,159.405,13,18,0,54,63,25,28,112,5,6,21,20,188.1,2,14,443,233,6,26,11,182,3,449,331,435,411,15,433,442,34,17,ORL
Players,203932,Aaron Gordon,Aaron,1610612753,ORL,23.0,43,22,21,0.512,125.715,2,8,2,18,59,20,24,94,3,4,14,5,92.8,11,14,425,176,48,161,52,107,77,443,299,410,378,51,406,401,153,75,ORL
Players,1628964,Mo Bamba,Mo,1610612753,ORL,21.0,6,3,3,0.5,3.985,0,0,0,0,6,0,4,6,0,0,1,0,1.4,327,301,109,178,391,229,235,182,315,161,1,173,80,217,1,90,329,388,ORL
Players,1626170,Jerian Grant,Jerian,1610612753,ORL,26.0,8,6,2,0.75,4.878333333333333,0,0,0,0,4,2,0,8,0,0,1,0,-1.0,292,240,72,27,382,229,235,182,315,134,72,1,102,217,1,90,329,448,ORL
Players,201571,D.J. Augustin,D.J.,1610612753,ORL,31.0,46,21,25,0.457,153.52166666666668,8,2,2,18,61,23,32,108,0,3,14,24,102.5,2,28,449,257,13,58,160,107,77,447,321,446,405,217,384,401,22,64,ORL
Players,203487,Michael Carter-Williams,Michael,1610612753,ORL,27.0,4,4,0,1.0,1.76,0,0,0,0,0,0,0,0,0,0,0,2,6.8,354,277,1,1,422,229,235,182,315,1,1,1,1,217,1,1,223,330,ORL
Players,1628515,Isaiah Briscoe,Isaiah,1610612753,ORL,23.0,3,2,1,0.667,3.5683333333333334,0,2,0,2,2,2,0,4,0,0,0,1,5.0,371,331,19,50,396,229,160,182,249,87,72,1,53,217,1,1,266,351,ORL
Players,203095,Evan Fournier,Evan,1610612753,ORL,26.0,46,22,24,0.478,152.54333333333332,9,4,2,34,62,27,28,108,2,3,13,21,126.2,2,14,443,233,15,52,113,107,33,448,347,435,405,80,384,390,32,44,ORL
Players,1628371,Jonathan Isaac,Jonathan,1610612753,ORL,21.0,32,14,18,0.438,65.34833333333333,4,6,4,10,25,16,8,46,1,1,9,4,45.8,73,102,405,273,156,110,71,59,119,334,272,246,263,130,229,324,173,165,ORL
Players,203920,Khem Birch,Khem,1610612753,ORL,26.0,1,1,0,1.0,0.0483333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,415,365,1,1,450,229,235,182,315,1,1,1,1,217,1,1,329,405,ORL
