group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank
Players,1628988,Aaron Holiday,Aaron,1610612756,PHX,25.0,8,5,3,0.625,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,0.5,293,247,139,98,435,381,1,326,141,1,158,305,241,317,279,250,232,1,334,1,299,335,116
Players,1627846,Abdel Nader,Abdel,1610612756,PHX,28.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,438,375,1,1,489,381,333,326,141,252,158,305,241,317,279,250,232,98,334,267,364,419,364
Players,202687,Bismack Biyombo,Bismack,1610612756,PHX,29.0,10,7,3,0.7,1.4,1.0,0.0,0.667,0.0,0.0,0.0,0.333,0.25,0.667,0.75,0.25,0.0,0.0,0.75,0.25,4,4,1.0,269,211,139,67,402,1,333,80,141,252,158,85,63,68,95,217,232,98,143,204,204,290,1
Players,1629661,Cameron Johnson,Cameron,1610612756,PHX,26.0,25,22,3,0.88,1.7,0.083,0.917,0.0,0.0,0.913,0.13,0.087,0.043,0.0,0.0,0.0,0.857,0.143,0.857,0.143,7,12,0.583,111,10,139,38,371,377,41,326,141,21,71,288,234,317,279,250,163,85,107,254,146,176,86
Players,1626166,Cameron Payne,Cameron,1610612756,PHX,27.0,9,5,4,0.556,3.5,0.818,0.182,0.421,0.0,0.158,0.0,0.421,0.053,0.421,0.0,1.0,1.0,0.0,0.2,0.8,5,11,0.455,279,247,177,178,95,112,304,209,141,216,158,49,227,165,279,1,1,98,319,42,175,194,167
Players,101108,Chris Paul,Chris,1610612756,PHX,37.0,29,25,4,0.862,3.1,0.773,0.227,0.525,0.25,0.15,0.0,0.325,0.175,0.275,0.095,0.905,0.75,0.25,0.2,0.8,25,44,0.568,70,3,177,39,170,130,289,159,21,219,158,108,115,241,272,54,175,69,319,42,26,48,94
Players,1629028,Deandre Ayton,Deandre,1610612756,PHX,23.0,28,22,6,0.786,3.2,1.0,0.0,0.9,0.0,0.0,0.0,0.1,0.1,0.9,0.889,0.111,0.0,0.0,0.889,0.111,18,22,0.818,79,10,239,52,137,1,333,42,141,252,158,281,186,38,78,247,232,98,103,259,56,120,39
Players,1626164,Devin Booker,Devin,1610612756,PHX,25.0,32,26,6,0.813,3.0,0.569,0.431,0.426,0.234,0.287,0.085,0.287,0.17,0.191,0.5,0.5,0.778,0.222,0.586,0.414,29,51,0.569,51,2,239,44,189,218,201,207,26,160,109,140,120,278,149,152,173,78,207,157,13,32,93
Players,203901,Elfrid Payton,Elfrid,1610612756,PHX,28.0,2,2,0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,408,339,1,1,477,381,333,326,141,252,158,305,241,317,279,250,232,98,334,267,364,419,364
Players,1626163,Frank Kaminsky,Frank,1610612756,PHX,29.0,2,2,0,1.0,3.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,408,339,1,1,75,1,333,1,141,252,158,305,241,1,1,250,232,98,1,267,299,335,116
