season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away,MON
2023-24,1610612762,UTA,Utah Jazz,22301198,2024-04-14,UTA @ GSW,L,48.0,0.596,0.18,0.2,0.333,0.553,0.245,0.09,0.294,0,0,0,0,119,562,1904,2328,563,1333,1312,2204,1396,1,2023,2024,False,GSW,UTA,APR
2023-24,1610612762,UTA,Utah Jazz,22301184,2024-04-12,UTA @ LAC,W,48.0,0.5,0.284,0.184,0.396,0.5,0.198,0.134,0.4,0,0,0,0,119,1870,750,2177,147,541,747,1260,2323,1,2023,2024,False,LAC,UTA,APR
2023-24,1610612762,UTA,Utah Jazz,22301168,2024-04-11,UTA vs. HOU,W,48.0,0.586,0.31,0.167,0.477,0.532,0.232,0.104,0.357,0,0,0,0,119,658,526,1937,14,1006,1146,1961,2092,1,2023,2024,True,UTA,HOU,APR
2023-24,1610612762,UTA,Utah Jazz,22301154,2024-04-09,UTA vs. DEN,L,48.0,0.451,0.143,0.158,0.345,0.564,0.117,0.105,0.314,0,0,0,0,119,2275,2207,1775,478,1493,102,1933,1660,1,2023,2024,True,UTA,DEN,APR
2023-24,1610612762,UTA,Utah Jazz,22301142,2024-04-07,UTA @ GSW,L,48.0,0.56,0.253,0.115,0.174,0.609,0.065,0.167,0.372,0,0,0,0,119,1021,1054,730,2307,2020,11,492,2184,1,2023,2024,False,GSW,UTA,APR
2023-24,1610612762,UTA,Utah Jazz,22301126,2024-04-05,UTA @ LAC,L,48.0,0.434,0.319,0.146,0.283,0.632,0.198,0.144,0.262,0,0,0,0,119,2373,471,1501,1185,2210,741,984,1009,1,2023,2024,False,LAC,UTA,APR
2023-24,1610612762,UTA,Utah Jazz,22301100,2024-04-02,UTA vs. CLE,L,48.0,0.576,0.212,0.2,0.304,0.635,0.282,0.15,0.333,0,0,0,0,119,805,1547,2328,914,2238,1679,840,1834,1,2023,2024,True,UTA,CLE,APR
2023-24,1610612762,UTA,Utah Jazz,22301086,2024-03-31,UTA @ SAC,L,48.0,0.506,0.337,0.129,0.3,0.655,0.274,0.16,0.429,0,0,0,0,119,1802,374,1065,972,2326,1591,656,2393,1,2023,2024,False,SAC,UTA,MAR
2023-24,1610612762,UTA,Utah Jazz,22301072,2024-03-29,UTA vs. HOU,L,48.0,0.513,0.238,0.223,0.318,0.456,0.308,0.104,0.349,0,0,0,0,119,1705,1240,2422,741,211,1910,1961,2025,1,2023,2024,True,UTA,HOU,MAR
2023-24,1610612762,UTA,Utah Jazz,22301058,2024-03-27,UTA vs. SAS,L,48.0,0.548,0.265,0.206,0.244,0.605,0.244,0.196,0.273,0,0,0,0,119,1205,938,2371,1666,1979,1299,145,1117,1,2023,2024,True,UTA,SAS,MAR
2023-24,1610612762,UTA,Utah Jazz,22301041,2024-03-25,UTA vs. DAL,L,48.0,0.5,0.253,0.135,0.25,0.543,0.196,0.062,0.224,0,0,0,0,119,1870,1059,1215,1565,1184,716,2419,556,1,2023,2024,True,UTA,DAL,MAR
2023-24,1610612762,UTA,Utah Jazz,22301024,2024-03-23,UTA @ HOU,L,48.0,0.511,0.371,0.1,0.333,0.696,0.144,0.09,0.318,0,0,0,0,119,1746,204,404,563,2418,256,2204,1707,1,2023,2024,False,HOU,UTA,MAR
2023-24,1610612762,UTA,Utah Jazz,22301008,2024-03-21,UTA @ DAL,L,48.0,0.482,0.229,0.178,0.2,0.558,0.326,0.127,0.277,0,0,0,0,119,2071,1344,2118,2117,1395,2024,1439,1178,1,2023,2024,False,DAL,UTA,MAR
2023-24,1610612762,UTA,Utah Jazz,22301000,2024-03-20,UTA @ OKC,L,48.0,0.5,0.2,0.158,0.294,0.545,0.33,0.1,0.229,0,0,0,0,119,1870,1682,1783,1044,1213,2047,2035,612,1,2023,2024,False,OKC,UTA,MAR
2023-24,1610612762,UTA,Utah Jazz,22300987,2024-03-18,UTA vs. MIN,L,48.0,0.548,0.167,0.185,0.333,0.571,0.132,0.097,0.292,0,0,0,0,119,1210,2019,2194,563,1582,177,2109,1361,1,2023,2024,True,UTA,MIN,MAR
2023-24,1610612762,UTA,Utah Jazz,22300974,2024-03-16,UTA vs. MIN,L,48.0,0.494,0.253,0.158,0.213,0.575,0.161,0.09,0.137,0,0,0,0,119,1971,1054,1783,2010,1639,392,2204,44,1,2023,2024,True,UTA,MIN,MAR
2023-24,1610612762,UTA,Utah Jazz,22300966,2024-03-15,UTA vs. ATL,W,48.0,0.589,0.222,0.129,0.261,0.554,0.293,0.089,0.241,0,0,0,0,119,632,1426,1043,1454,1353,1798,2222,740,1,2023,2024,True,UTA,ATL,MAR
2023-24,1610612762,UTA,Utah Jazz,22300943,2024-03-12,UTA vs. BOS,L,48.0,0.564,0.128,0.109,0.261,0.576,0.207,0.099,0.36,0,0,0,0,119,956,2304,580,1454,1647,834,2074,2113,1,2023,2024,True,UTA,BOS,MAR
2023-24,1610612762,UTA,Utah Jazz,22300922,2024-03-09,UTA @ DEN,L,48.0,0.543,0.266,0.152,0.396,0.777,0.193,0.143,0.241,0,0,0,0,119,1285,928,1636,141,2460,684,1001,755,1,2023,2024,False,DEN,UTA,MAR
2023-24,1610612762,UTA,Utah Jazz,22300898,2024-03-06,UTA vs. CHI,L,48.0,0.536,0.167,0.103,0.377,0.594,0.167,0.095,0.244,0,0,0,0,119,1375,2019,463,237,1883,425,2133,781,1,2023,2024,True,UTA,CHI,MAR
2023-24,1610612762,UTA,Utah Jazz,22300882,2024-03-04,UTA vs. WAS,W,48.0,0.564,0.149,0.123,0.296,0.511,0.245,0.142,0.263,0,0,0,0,119,952,2173,924,1018,682,1312,1044,1026,1,2023,2024,True,UTA,WAS,MAR
2023-24,1610612762,UTA,Utah Jazz,22300867,2024-03-02,UTA @ MIA,L,48.0,0.563,0.299,0.116,0.348,0.597,0.284,0.062,0.244,0,0,0,0,119,970,608,759,446,1905,1700,2419,781,1,2023,2024,False,MIA,UTA,MAR
2023-24,1610612762,UTA,Utah Jazz,22300850,2024-02-29,UTA @ ORL,L,48.0,0.525,0.35,0.134,0.234,0.61,0.403,0.155,0.262,0,0,0,0,119,1533,298,1182,1799,2028,2334,745,1009,1,2023,2024,False,ORL,UTA,FEB
2023-24,1610612762,UTA,Utah Jazz,22300835,2024-02-27,UTA @ ATL,L,48.0,0.431,0.202,0.17,0.254,0.559,0.247,0.17,0.354,0,0,0,0,119,2382,1673,1993,1561,1419,1351,462,2064,1,2023,2024,False,ATL,UTA,FEB
2023-24,1610612762,UTA,Utah Jazz,22300825,2024-02-25,UTA vs. SAS,W,48.0,0.606,0.244,0.155,0.196,0.533,0.209,0.182,0.226,0,0,0,0,119,470,1150,1697,2175,1032,863,296,586,1,2023,2024,True,UTA,SAS,FEB
2023-24,1610612762,UTA,Utah Jazz,22300801,2024-02-22,UTA vs. CHA,L,48.0,0.483,0.314,0.194,0.373,0.543,0.239,0.1,0.286,0,0,0,0,119,2062,510,2297,265,1184,1239,2035,1278,1,2023,2024,True,UTA,CHA,FEB
2023-24,1610612762,UTA,Utah Jazz,22300576,2024-02-15,UTA vs. GSW,L,48.0,0.581,0.344,0.154,0.44,0.641,0.304,0.126,0.304,0,0,0,0,119,727,339,1679,43,2269,1883,1465,1527,1,2023,2024,True,UTA,GSW,FEB
2023-24,1610612762,UTA,Utah Jazz,22300788,2024-02-14,UTA vs. LAL,L,48.0,0.554,0.129,0.126,0.352,0.648,0.264,0.099,0.256,0,0,0,0,119,1104,2300,977,410,2304,1495,2060,948,1,2023,2024,True,UTA,LAL,FEB
2023-24,1610612762,UTA,Utah Jazz,22300769,2024-02-12,UTA vs. GSW,L,48.0,0.505,0.174,0.171,0.25,0.58,0.17,0.124,0.302,0,0,0,0,119,1836,1968,2022,1565,1718,456,1512,1491,1,2023,2024,True,UTA,GSW,FEB
2023-24,1610612762,UTA,Utah Jazz,22300739,2024-02-08,UTA @ PHX,L,48.0,0.5,0.33,0.146,0.397,0.67,0.182,0.118,0.15,0,0,0,0,119,1870,408,1501,139,2372,570,1642,73,1,2023,2024,False,PHX,UTA,FEB
2023-24,1610612762,UTA,Utah Jazz,22300724,2024-02-06,UTA vs. OKC,W,48.0,0.596,0.225,0.172,0.432,0.583,0.2,0.112,0.24,0,0,0,0,119,562,1396,2027,54,1760,750,1769,724,1,2023,2024,True,UTA,OKC,FEB
2023-24,1610612762,UTA,Utah Jazz,22300711,2024-02-04,UTA vs. MIL,W,48.0,0.579,0.27,0.16,0.362,0.554,0.298,0.12,0.176,0,0,0,0,119,766,897,1806,330,1339,1827,1588,161,1,2023,2024,True,UTA,MIL,FEB
2023-24,1610612762,UTA,Utah Jazz,22300686,2024-02-01,UTA vs. PHI,L,48.0,0.586,0.287,0.112,0.273,0.574,0.223,0.051,0.255,0,0,0,0,119,658,707,673,1315,1633,1037,2444,923,1,2023,2024,True,UTA,PHI,FEB
2023-24,1610612762,UTA,Utah Jazz,22300671,2024-01-30,UTA @ NYK,L,48.0,0.523,0.198,0.163,0.34,0.537,0.191,0.067,0.333,0,0,0,0,119,1560,1721,1885,524,1100,677,2407,1834,1,2023,2024,False,NYK,UTA,JAN
2023-24,1610612762,UTA,Utah Jazz,22300660,2024-01-29,UTA @ BKN,L,48.0,0.506,0.395,0.163,0.294,0.614,0.181,0.087,0.373,0,0,0,0,119,1811,140,1905,1044,2064,569,2250,2189,1,2023,2024,False,BKN,UTA,JAN
2023-24,1610612762,UTA,Utah Jazz,22300647,2024-01-27,UTA @ CHA,W,48.0,0.651,0.183,0.14,0.349,0.582,0.228,0.099,0.277,0,0,0,0,119,146,1871,1347,437,1743,1105,2060,1178,1,2023,2024,False,CHA,UTA,JAN
2023-24,1610612762,UTA,Utah Jazz,22300628,2024-01-25,UTA @ WAS,W,48.0,0.582,0.124,0.155,0.347,0.528,0.227,0.107,0.149,0,0,0,0,119,702,2325,1718,460,964,1093,1903,68,1,2023,2024,False,WAS,UTA,JAN
2023-24,1610612762,UTA,Utah Jazz,22300616,2024-01-23,UTA @ NOP,L,48.0,0.533,0.348,0.075,0.167,0.688,0.144,0.086,0.292,0,0,0,0,119,1430,313,112,2334,2409,255,2264,1361,1,2023,2024,False,NOP,UTA,JAN
2023-24,1610612762,UTA,Utah Jazz,22300598,2024-01-20,UTA @ HOU,L,53.0,0.519,0.21,0.155,0.393,0.483,0.188,0.065,0.361,0,0,0,0,17,1635,1578,1697,157,404,643,2412,2122,1,2023,2024,False,HOU,UTA,JAN
2023-24,1610612762,UTA,Utah Jazz,22300581,2024-01-18,UTA vs. OKC,L,48.0,0.556,0.404,0.143,0.327,0.64,0.326,0.152,0.256,0,0,0,0,119,1088,125,1419,653,2260,2024,792,948,1,2023,2024,True,UTA,OKC,JAN
2023-24,1610612762,UTA,Utah Jazz,22300564,2024-01-15,UTA vs. IND,W,48.0,0.623,0.432,0.149,0.316,0.447,0.263,0.137,0.35,0,0,0,0,119,314,69,1563,764,166,1487,1167,2026,1,2023,2024,True,UTA,IND,JAN
2023-24,1610612762,UTA,Utah Jazz,22300549,2024-01-13,UTA vs. LAL,W,48.0,0.516,0.419,0.093,0.34,0.571,0.261,0.114,0.184,0,0,0,0,119,1675,95,303,542,1580,1465,1732,202,1,2023,2024,True,UTA,LAL,JAN
2023-24,1610612762,UTA,Utah Jazz,22300540,2024-01-12,UTA vs. TOR,W,48.0,0.672,0.28,0.136,0.455,0.537,0.457,0.129,0.167,0,0,0,0,119,82,796,1236,29,1095,2416,1397,114,1,2023,2024,True,UTA,TOR,JAN
2023-24,1610612762,UTA,Utah Jazz,22300524,2024-01-10,UTA vs. DEN,W,48.0,0.633,0.277,0.168,0.308,0.537,0.346,0.16,0.261,0,0,0,0,119,243,830,1973,869,1095,2132,639,989,1,2023,2024,True,UTA,DEN,JAN
2023-24,1610612762,UTA,Utah Jazz,22300510,2024-01-08,UTA @ MIL,W,48.0,0.633,0.244,0.112,0.302,0.537,0.202,0.09,0.278,0,0,0,0,119,238,1150,673,948,1100,783,2204,1196,1,2023,2024,False,MIL,UTA,JAN
2023-24,1610612762,UTA,Utah Jazz,22300495,2024-01-06,UTA @ PHI,W,48.0,0.625,0.3,0.235,0.4,0.438,0.221,0.059,0.318,0,0,0,0,119,296,601,2443,124,101,1018,2429,1707,1,2023,2024,False,PHI,UTA,JAN
2023-24,1610612762,UTA,Utah Jazz,22300479,2024-01-05,UTA @ BOS,L,48.0,0.394,0.362,0.162,0.279,0.528,0.4,0.128,0.222,0,0,0,0,119,2439,246,1879,1234,957,2327,1419,528,1,2023,2024,False,BOS,UTA,JAN
2023-24,1610612762,UTA,Utah Jazz,22300474,2024-01-03,UTA vs. DET,W,53.0,0.592,0.34,0.107,0.385,0.624,0.21,0.15,0.404,0,0,0,0,17,604,368,559,198,2155,882,839,2341,1,2023,2024,True,UTA,DET,JAN
2023-24,1610612762,UTA,Utah Jazz,22300457,2024-01-01,UTA vs. DAL,W,48.0,0.573,0.188,0.126,0.298,0.457,0.108,0.155,0.2,0,0,0,0,119,846,1819,977,1001,219,78,729,304,1,2023,2024,True,UTA,DAL,JAN
2023-24,1610612762,UTA,Utah Jazz,22300439,2023-12-30,UTA vs. MIA,W,48.0,0.522,0.301,0.096,0.245,0.494,0.513,0.155,0.234,0,0,0,0,119,1605,600,345,1640,483,2445,729,646,1,2023,2024,True,UTA,MIA,DEC
2023-24,1610612762,UTA,Utah Jazz,22300424,2023-12-28,UTA @ NOP,L,48.0,0.494,0.294,0.198,0.431,0.61,0.183,0.16,0.231,0,0,0,0,119,1969,658,2320,56,2023,591,656,624,1,2023,2024,False,NOP,UTA,DEC
2023-24,1610612762,UTA,Utah Jazz,22300412,2023-12-26,UTA @ SAS,W,48.0,0.579,0.232,0.136,0.347,0.531,0.214,0.087,0.25,0,0,0,0,119,758,1312,1236,460,994,930,2250,828,1,2023,2024,False,SAS,UTA,DEC
2023-24,1610612762,UTA,Utah Jazz,22300395,2023-12-23,UTA @ TOR,W,48.0,0.621,0.154,0.121,0.302,0.548,0.202,0.112,0.314,0,0,0,0,119,331,2126,880,948,1252,783,1769,1660,1,2023,2024,False,TOR,UTA,DEC
2023-24,1610612762,UTA,Utah Jazz,22300374,2023-12-21,UTA @ DET,W,48.0,0.516,0.255,0.127,0.346,0.552,0.221,0.208,0.311,0,0,0,0,119,1681,1042,1012,469,1312,999,77,1626,1,2023,2024,False,DET,UTA,DEC
2023-24,1610612762,UTA,Utah Jazz,22300364,2023-12-20,UTA @ CLE,L,48.0,0.596,0.359,0.162,0.25,0.589,0.167,0.122,0.346,0,0,0,0,119,558,258,1840,1565,1823,425,1538,1984,1,2023,2024,False,CLE,UTA,DEC
2023-24,1610612762,UTA,Utah Jazz,22300357,2023-12-18,UTA vs. BKN,W,48.0,0.571,0.264,0.14,0.396,0.522,0.222,0.141,0.268,0,0,0,0,119,863,961,1347,147,868,1022,1054,1085,1,2023,2024,True,UTA,BKN,DEC
