close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
202704,Reggie Jackson,1610612765,DET,G,26.0,79,78,0.519,167,457,0.365,0.375,-0.009
203484,Kentavious Caldwell-Pope,1610612765,DET,G,23.0,76,76,0.581,160,450,0.356,0.376,-0.02
202694,Marcus Morris Sr.,1610612765,DET,F,26.0,80,80,0.541,149,448,0.333,0.365,-0.032
202699,Tobias Harris,1610612765,DET,F,23.0,75,74,0.508,169,424,0.399,0.369,0.03
203083,Andre Drummond,1610612765,DET,C,22.0,81,74,0.269,140,299,0.468,0.39,0.078
1626169,Stanley Johnson,1610612765,DET,F,20.0,72,71,0.558,98,266,0.368,0.362,0.006
2581,Steve Blake,1610612765,DET,G,36.0,58,56,0.608,88,231,0.381,0.366,0.015
201229,Anthony Tolliver,1610612765,DET,F,31.0,69,66,0.466,72,221,0.326,0.365,-0.04
203382,Aron Baynes,1610612765,DET,C-F,29.0,80,65,0.243,66,145,0.455,0.382,0.074
203493,Reggie Bullock Jr.,1610612765,DET,F,25.0,28,23,0.621,23,82,0.28,0.364,-0.083
1626199,Darrun Hilliard,1610612765,DET,F,23.0,27,26,0.605,20,52,0.385,0.367,0.018
203946,Cameron Bairstow,1610612765,DET,F-C,25.0,15,10,0.477,7,21,0.333,0.341,-0.007
201202,Joel Anthony,1610612765,DET,C,33.0,17,9,0.25,7,13,0.538,0.372,0.167
201975,Jodie Meeks,1610612765,DET,G,28.0,3,3,0.526,2,10,0.2,0.385,-0.185
203485,Lorenzo Brown,1610612765,DET,G,25.0,8,6,0.5,5,9,0.556,0.354,0.201
