season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2017-18,1610612744,41700151,2018-04-14,SAS,GSW,SAS,1610612759,113,92,W,21,rnd1,1
2017-18,1610612744,41700152,2018-04-16,SAS,GSW,SAS,1610612759,116,101,W,15,rnd1,2
2017-18,1610612744,41700153,2018-04-19,GSW,SAS,SAS,1610612759,110,97,W,13,rnd1,3
2017-18,1610612744,41700154,2018-04-22,GSW,SAS,SAS,1610612759,90,103,L,-13,rnd1,4
2017-18,1610612744,41700155,2018-04-24,SAS,GSW,SAS,1610612759,99,91,W,8,rnd1,5
2017-18,1610612744,41700231,2018-04-28,NOP,GSW,NOP,1610612740,123,101,W,22,sf,1
2017-18,1610612744,41700232,2018-05-01,NOP,GSW,NOP,1610612740,121,116,W,5,sf,2
2017-18,1610612744,41700233,2018-05-04,GSW,NOP,NOP,1610612740,100,119,L,-19,sf,3
2017-18,1610612744,41700234,2018-05-06,GSW,NOP,NOP,1610612740,118,92,W,26,sf,4
2017-18,1610612744,41700235,2018-05-08,NOP,GSW,NOP,1610612740,113,104,W,9,sf,5
2017-18,1610612744,41700311,2018-05-14,GSW,HOU,HOU,1610612745,119,106,W,13,conf,1
2017-18,1610612744,41700312,2018-05-16,GSW,HOU,HOU,1610612745,105,127,L,-22,conf,2
2017-18,1610612744,41700313,2018-05-20,HOU,GSW,HOU,1610612745,126,85,W,41,conf,3
2017-18,1610612744,41700314,2018-05-22,HOU,GSW,HOU,1610612745,92,95,L,-3,conf,4
2017-18,1610612744,41700315,2018-05-24,GSW,HOU,HOU,1610612745,94,98,L,-4,conf,5
2017-18,1610612744,41700316,2018-05-26,HOU,GSW,HOU,1610612745,115,86,W,29,conf,6
2017-18,1610612744,41700317,2018-05-28,GSW,HOU,HOU,1610612745,101,92,W,9,conf,7
2017-18,1610612744,41700401,2018-05-31,CLE,GSW,CLE,1610612739,124,114,W,10,finals,1
2017-18,1610612744,41700402,2018-06-03,CLE,GSW,CLE,1610612739,122,103,W,19,finals,2
2017-18,1610612744,41700403,2018-06-06,GSW,CLE,CLE,1610612739,110,102,W,8,finals,3
2017-18,1610612744,41700404,2018-06-08,GSW,CLE,CLE,1610612739,108,85,W,23,finals,4
