season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away,MON
2024-25,1610612746,LAC,LA Clippers,22401198,2025-04-13,LAC @ GSW,W,53.0,0.64,0.209,0.162,0.333,0.639,0.291,0.16,0.175,0,0,0,0,9,179,1563,1702,661,2278,1794,775,146,1,2024,2025,False,GSW,LAC,APR
2024-25,1610612746,LAC,LA Clippers,22401184,2025-04-11,LAC @ SAC,W,48.0,0.558,0.231,0.132,0.195,0.494,0.2,0.118,0.306,0,0,0,0,121,1020,1268,1015,2220,566,770,1759,1440,1,2024,2025,False,SAC,LAC,APR
2024-25,1610612746,LAC,LA Clippers,22401166,2025-04-09,LAC vs. HOU,W,48.0,0.639,0.211,0.121,0.31,0.625,0.114,0.141,0.227,0,0,0,0,121,184,1536,758,979,2186,84,1206,485,1,2024,2025,True,LAC,HOU,APR
2024-25,1610612746,LAC,LA Clippers,22401155,2025-04-08,LAC vs. SAS,W,48.0,0.591,0.172,0.17,0.404,0.629,0.188,0.17,0.217,0,0,0,0,121,591,1997,1862,161,2225,622,579,372,1,2024,2025,True,LAC,SAS,APR
2024-25,1610612746,LAC,LA Clippers,22401132,2025-04-05,LAC vs. DAL,W,48.0,0.62,0.208,0.07,0.273,0.481,0.487,0.16,0.26,0,0,0,0,121,313,1576,50,1428,425,2436,775,832,1,2024,2025,True,LAC,DAL,APR
2024-25,1610612746,LAC,LA Clippers,22401127,2025-04-04,LAC vs. DAL,W,48.0,0.573,0.18,0.131,0.261,0.481,0.338,0.182,0.191,0,0,0,0,121,798,1926,995,1592,423,2118,383,218,1,2024,2025,True,LAC,DAL,APR
2024-25,1610612746,LAC,LA Clippers,22401111,2025-04-02,LAC vs. NOP,W,48.0,0.612,0.342,0.135,0.128,0.529,0.129,0.175,0.273,0,0,0,0,121,372,315,1100,2430,1015,146,495,1012,1,2024,2025,True,LAC,NOP,APR
2024-25,1610612746,LAC,LA Clippers,22401091,2025-03-31,LAC @ ORL,W,48.0,0.488,0.232,0.17,0.348,0.441,0.289,0.161,0.17,0,0,0,0,121,1969,1255,1883,556,119,1782,760,130,1,2024,2025,False,ORL,LAC,MAR
2024-25,1610612746,LAC,LA Clippers,22401081,2025-03-30,LAC @ CLE,L,48.0,0.57,0.237,0.135,0.265,0.586,0.247,0.096,0.213,0,0,0,0,121,836,1202,1089,1516,1822,1378,2190,347,1,2024,2025,False,CLE,LAC,MAR
2024-25,1610612746,LAC,LA Clippers,22401068,2025-03-28,LAC @ BKN,W,48.0,0.669,0.35,0.129,0.132,0.449,0.292,0.147,0.246,0,0,0,0,121,77,278,942,2425,168,1798,1057,674,1,2024,2025,False,BKN,LAC,MAR
