season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away
2023-24,1610612757,POR,Portland Trail Blazers,22300265,2023-11-30,POR @ CLE,W,48.0,0.597,0.143,0.242,0.316,0.466,0.135,0.2,0.392,0,0,0,0,119,551,2207,2452,764,277,198,113,2291,1,2023,2024,False,CLE,POR
2023-24,1610612752,NYK,New York Knicks,22300268,2023-11-30,NYK vs. DET,W,48.0,0.557,0.318,0.111,0.294,0.623,0.21,0.202,0.244,0,0,0,0,119,1077,475,642,1044,2145,884,103,767,1,2023,2024,True,NYK,DET
2023-24,1610612744,GSW,Golden State Warriors,22300273,2023-11-30,GSW vs. LAC,W,48.0,0.591,0.378,0.095,0.31,0.505,0.253,0.064,0.31,0,0,0,0,119,608,178,319,846,608,1384,2413,1616,1,2023,2024,True,GSW,LAC
2023-24,1610612750,MIN,Minnesota Timberwolves,22300270,2023-11-30,MIN vs. UTA,W,48.0,0.511,0.146,0.124,0.235,0.443,0.161,0.216,0.352,0,0,0,0,119,1746,2183,929,1783,128,384,47,2041,1,2023,2024,True,MIN,UTA
2023-24,1610612749,MIL,Milwaukee Bucks,22300269,2023-11-30,MIL @ CHI,L,53.0,0.531,0.133,0.189,0.278,0.526,0.224,0.188,0.351,0,0,0,0,17,1463,2274,2248,1248,930,1056,227,2033,1,2023,2024,False,CHI,MIL
2023-24,1610612748,MIA,Miami Heat,22300267,2023-11-30,MIA vs. IND,W,48.0,0.605,0.523,0.132,0.366,0.566,0.327,0.093,0.278,0,0,0,0,119,481,13,1133,299,1534,2037,2155,1196,1,2023,2024,True,MIA,IND
2023-24,1610612746,LAC,LA Clippers,22300273,2023-11-30,LAC @ GSW,L,48.0,0.505,0.253,0.064,0.31,0.591,0.378,0.095,0.31,0,0,0,0,119,1851,1073,48,836,1849,2281,2133,1601,1,2023,2024,False,GSW,LAC
2023-24,1610612759,SAS,San Antonio Spurs,22300272,2023-11-30,SAS vs. ATL,L,48.0,0.64,0.258,0.193,0.262,0.583,0.302,0.091,0.24,0,0,0,0,119,193,1010,2291,1437,1760,1866,2184,724,1,2023,2024,True,SAS,ATL
2023-24,1610612751,BKN,Brooklyn Nets,22300266,2023-11-30,BKN vs. CHA,L,48.0,0.562,0.143,0.096,0.464,0.621,0.176,0.094,0.333,0,0,0,0,119,989,2207,334,22,2127,507,2146,1834,1,2023,2024,True,BKN,CHA
2023-24,1610612765,DET,Detroit Pistons,22300268,2023-11-30,DET @ NYK,L,48.0,0.623,0.21,0.202,0.244,0.557,0.318,0.111,0.294,0,0,0,0,119,314,1572,2353,1681,1380,1978,1796,1396,1,2023,2024,False,NYK,DET
