group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank
Players,1627846,Abdel Nader,Abdel,1610612756,PHX,27.0,3,1,2,0.333,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,363,351,79,330,230,360,320,315,113,245,150,1,225,305,254,245,235,85,325,251,355,401,355
Players,1629661,Cameron Johnson,Cameron,1610612756,PHX,25.0,24,16,8,0.667,3.1,0.0,1.0,0.0,0.0,0.833,0.111,0.167,0.167,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5,11,0.455,95,40,264,67,159,360,1,315,113,27,78,225,109,305,254,245,1,85,1,251,174,172,183
Players,1626166,Cameron Payne,Cameron,1610612756,PHX,26.0,5,1,4,0.2,1.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,2,0.5,328,351,142,387,366,221,156,315,113,1,150,295,225,305,254,245,1,85,1,251,284,323,117
Players,101108,Chris Paul,Chris,1610612756,PHX,36.0,35,23,12,0.657,4.2,0.726,0.274,0.533,0.433,0.2,0.075,0.267,0.1,0.1,0.094,0.906,0.5,0.5,0.175,0.825,40,84,0.476,9,3,349,81,35,135,266,147,6,202,104,150,179,295,250,65,209,24,315,39,6,9,162
Players,203967,Dario Šarić,Dario,1610612756,PHX,27.0,10,6,4,0.6,1.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,259,214,142,99,401,360,1,315,113,245,150,1,225,305,254,245,235,85,325,251,355,356,355
Players,1629028,Deandre Ayton,Deandre,1610612756,PHX,22.0,35,23,12,0.657,4.0,1.0,0.0,0.727,0.0,0.0,0.045,0.273,0.091,0.727,0.5,0.5,0.0,0.0,0.5,0.5,16,26,0.615,9,3,349,81,48,1,320,66,113,245,134,141,190,60,125,157,235,85,202,114,49,89,70
Players,1626164,Devin Booker,Devin,1610612756,PHX,24.0,33,23,10,0.697,4.0,0.659,0.341,0.484,0.189,0.158,0.095,0.358,0.063,0.295,0.261,0.739,0.6,0.4,0.321,0.679,28,85,0.329,18,3,302,58,43,170,231,172,27,216,95,84,210,219,212,103,203,39,293,62,17,8,295
Players,202734,E'Twaun Moore,E'Twaun,1610612756,PHX,32.0,2,2,0,1.0,3.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,2,2,1.0,386,318,1,1,68,360,1,315,113,1,150,295,225,305,254,245,209,24,202,114,245,323,1
Players,1626163,Frank Kaminsky,Frank,1610612756,PHX,28.0,6,2,4,0.333,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,317,318,142,330,380,360,320,315,113,245,150,295,225,305,254,245,235,85,325,251,355,401,355
Players,203109,Jae Crowder,Jae,1610612756,PHX,30.0,25,14,11,0.56,4.3,0.107,0.893,0.16,0.0,0.84,0.0,0.0,0.0,0.16,0.5,0.5,1.0,0.0,0.889,0.111,9,28,0.321,87,64,332,139,30,357,44,292,113,26,150,295,225,275,125,157,1,85,110,242,101,77,297
Players,1630188,Jalen Smith,Jalen,1610612756,PHX,21.0,2,1,1,0.5,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,386,351,25,176,375,360,320,315,113,245,150,295,225,305,254,245,235,85,325,251,355,401,355
