player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
1629678,Admiral Schofield,Admiral,1610612764,WAS,23.0,33,9,24,0.273,11.2,0.6,0.3,0.2,0.7,3.4,3.5,2.3,10.7,0.1,0.1,1.5,0.5,6.3,346,386,299,473,410,410,452,442,480,82,135,83,414,401,98,204,434,453,WAS
1628394,Anžejs Pasečņiks,Anžejs,1610612764,WAS,24.0,27,9,18,0.333,16.2,1.1,1.4,0.2,4.4,4.2,4.4,2.9,17.5,0.4,0.1,2.8,2.4,13.0,377,386,216,396,321,258,131,437,163,117,208,115,293,165,88,474,112,326,WAS
203078,Bradley Beal,Bradley,1610612764,WAS,27.0,57,20,37,0.351,36.0,4.3,2.4,3.4,10.9,13.0,11.2,10.3,38.5,0.4,0.9,2.2,6.1,46.3,190,250,452,383,5,8,39,17,21,516,526,507,4,190,488,377,10,12,WAS
101139,CJ Miles,CJ,1610612764,WAS,33.0,10,4,6,0.4,16.1,1.2,1.3,0.9,1.4,6.1,4.1,3.7,16.8,0.4,0.2,1.4,1.4,13.4,449,450,83,339,324,244,149,243,410,222,178,169,302,191,161,178,233,313,WAS
202722,Dāvis Bertāns,Dāvis,1610612764,WAS,27.0,54,20,34,0.37,29.3,2.8,1.1,2.2,1.9,9.4,9.9,6.8,31.7,0.6,0.4,2.6,2.4,26.2,232,250,420,371,102,44,186,54,359,401,517,357,55,98,296,450,113,109,WAS
1629726,Garrison Mathews,Garrison,1610612764,WAS,23.0,18,8,10,0.444,12.6,1.1,0.9,0.6,0.2,3.9,4.3,1.9,12.3,0.1,0.2,1.8,1.6,8.9,411,398,119,297,385,280,265,340,512,107,191,60,386,465,188,267,192,407,WAS
1627780,Gary Payton II,Gary,1610612764,WAS,27.0,29,13,16,0.448,14.9,0.8,0.6,1.0,2.3,6.0,4.9,3.6,16.3,0.2,0.2,1.9,0.4,13.1,363,347,194,294,343,363,372,210,316,212,241,158,305,293,199,292,468,323,WAS
101133,Ian Mahinmi,Ian,1610612764,WAS,33.0,38,15,23,0.395,21.3,1.2,1.9,0.2,5.1,7.9,6.1,6.3,21.0,1.2,0.6,3.0,2.7,21.0,322,321,282,352,227,255,66,443,129,321,319,328,230,30,407,493,88,177,WAS
1629067,Isaac Bonga,Isaac,1610612764,WAS,20.0,66,22,44,0.333,18.9,1.0,0.8,1.0,2.7,7.0,4.9,5.5,18.1,0.3,0.2,2.4,1.6,12.9,70,221,515,396,263,281,291,214,286,275,242,286,277,222,179,418,194,330,WAS
202738,Isaiah Thomas,Isaiah,1610612764,WAS,31.0,40,14,26,0.35,23.1,1.6,1.2,0.8,2.6,9.0,6.9,8.4,26.2,0.2,0.8,1.9,1.7,19.2,310,339,328,384,199,178,165,271,295,375,374,441,151,382,465,311,179,205,WAS
202397,Ish Smith,Ish,1610612764,WAS,31.0,68,23,45,0.338,26.3,1.9,0.8,1.5,4.9,8.2,8.1,5.9,28.2,0.4,0.4,1.6,1.2,24.6,48,213,520,395,157,127,298,124,140,337,448,304,108,170,329,217,275,130,WAS
1627784,Jarrod Uthoff,Jarrod,1610612764,WAS,27.0,7,4,3,0.571,7.6,0.9,0.7,1.0,0.6,3.0,2.1,1.7,7.1,0.0,0.0,0.3,0.1,4.2,474,450,37,188,468,336,313,214,492,66,69,54,466,480,1,11,508,489,WAS
