season,team,team_id,team_hca,team_rcp,win_pct,opp_win_pct,opp_opp_win_pct,sos_v0
2020-21,ATL,1610612737,6.33,-1.69,0.569,0.494,0.5,0.108
2020-21,BOS,1610612738,3.0,-0.08,0.5,0.497,0.5,-0.485
2020-21,CLE,1610612739,-6.86,-10.03,0.306,0.505,0.499,0.077
2020-21,NOP,1610612740,1.42,-2.0,0.431,0.506,0.5,0.08
2020-21,CHI,1610612741,-1.69,-0.08,0.431,0.5,0.499,-0.097
2020-21,DAL,1610612742,0.28,4.25,0.583,0.5,0.501,-0.177
2020-21,DEN,1610612743,6.47,3.39,0.653,0.497,0.501,-0.059
2020-21,GSW,1610612744,5.22,-3.11,0.542,0.502,0.5,0.373
2020-21,HOU,1610612745,-8.44,-7.36,0.236,0.514,0.5,-0.097
2020-21,LAC,1610612746,8.08,4.28,0.653,0.497,0.501,-0.242
2020-21,LAL,1610612747,3.53,2.06,0.583,0.5,0.501,-0.219
2020-21,MIA,1610612748,0.47,-0.42,0.556,0.494,0.5,-0.35
2020-21,MIL,1610612749,7.69,4.08,0.639,0.491,0.5,-0.666
2020-21,MIN,1610612750,-6.22,-4.89,0.319,0.511,0.5,0.206
2020-21,BKN,1610612751,6.44,2.56,0.667,0.49,0.5,-0.199
2020-21,NYK,1610612752,4.14,0.47,0.569,0.494,0.5,0.046
2020-21,ORL,1610612753,-9.0,-9.61,0.292,0.505,0.499,-0.18
2020-21,IND,1610612754,-2.75,2.67,0.472,0.498,0.5,-0.307
2020-21,PHI,1610612755,8.92,2.25,0.681,0.489,0.5,-0.337
2020-21,PHX,1610612756,8.97,2.67,0.708,0.495,0.501,0.023
2020-21,POR,1610612757,1.25,2.33,0.583,0.5,0.501,0.072
2020-21,SAC,1610612758,-4.47,-2.89,0.431,0.506,0.5,0.114
2020-21,SAS,1610612759,-3.31,-0.17,0.458,0.505,0.5,0.07
2020-21,OKC,1610612760,-12.06,-9.22,0.306,0.511,0.5,-0.051
2020-21,TOR,1610612761,1.5,-2.44,0.375,0.502,0.499,-0.483
2020-21,UTA,1610612762,13.22,5.28,0.722,0.494,0.501,-0.081
2020-21,MEM,1610612763,-0.58,2.64,0.528,0.502,0.5,0.072
2020-21,WAS,1610612764,-0.08,-3.58,0.472,0.498,0.5,-0.028
2020-21,DET,1610612765,-3.06,-5.89,0.278,0.506,0.499,-0.074
2020-21,CHA,1610612766,-0.11,-3.75,0.458,0.498,0.5,0.069
