player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Alaa Abdelnaby,RET,30,Forward,82.0,240.0,Duke,USA,https://www.nba.com/player/76001/HISTADD-alaa-abdelnaby,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1968-06-24,5.0,True,1990.0,1.0,25.0,Drafted,abdelal01
Zaid Abdul-Aziz,RET,54,Center,81.0,235.0,Iowa State,USA,https://www.nba.com/player/76002/HISTADD-zaid-abdul-aziz,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1946-04-07,10.0,True,1968.0,1.0,5.0,Drafted,abdulza01
Kareem Abdul-Jabbar,RET,33,Center,86.0,225.0,UCLA,USA,https://www.nba.com/player/76003/HISTADD-kareem-abdul-jabbar,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1947-04-16,20.0,True,1969.0,1.0,1.0,Drafted,abdulka01
Mahmoud Abdul-Rauf,RET,1,Guard,73.0,162.0,Louisiana State,USA,https://www.nba.com/player/51/mahmoud-abdul-rauf,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/51.png,1980-01-01,9.0,False,1990.0,1.0,3.0,Drafted,abdulma01
Tariq Abdul-Wahad,RET,9,Forward-Guard,78.0,235.0,San Jose State,France,https://www.nba.com/player/1505/tariq-abdul-wahad,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1505.png,1980-01-01,7.0,False,1997.0,1.0,11.0,Drafted,abdulta01
Shareef Abdur-Rahim,RET,3,Forward,81.0,245.0,California,USA,https://www.nba.com/player/949/shareef-abdur-rahim,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/949.png,1980-01-01,13.0,False,1996.0,1.0,3.0,Drafted,abdursh01
Tom Abernethy,RET,5,Forward,79.0,220.0,Indiana,USA,https://www.nba.com/player/76005/HISTADD-tom-abernethy,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1954-05-06,5.0,True,1976.0,1.0,43.0,Drafted,abernto01
Forest Able,RET,6,Guard,75.0,180.0,Western Kentucky,USA,https://www.nba.com/player/76006/HISTADD-frosty-able,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,True,0.0,0.0,0.0,UDF,ablefo010
John Abramovic,RET,,Forward,75.0,195.0,Salem,USA,https://www.nba.com/player/76007/HISTADD-brooms-abramovic,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1919-02-09,2.0,True,0.0,0.0,0.0,UDF,abramjo01
Alex Abrines,RET,,Guard,78.0,200.0,FC Barcelona,Spain,https://www.nba.com/player/203518/alex-abrines,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2013.0,2.0,32.0,Drafted,abrinal01
Alex Acker,RET,3,Guard,77.0,185.0,Pepperdine,USA,https://www.nba.com/player/101165/alex-acker,False,False,True,https://cdn.nba.com/headshots/nba/latest/1040x760/101165.png,1980-01-01,3.0,False,2005.0,2.0,60.0,Drafted,ackeral01
Donald Ackerman,RET,,Guard,72.0,183.0,Long Island-Brooklyn,USA,https://www.nba.com/player/76008/HISTADD-buddy-ackerman,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,True,0.0,0.0,0.0,UDF,ackerdo01
Mark Acres,RET,42,Center,83.0,220.0,Oral Roberts,USA,https://www.nba.com/player/76009/HISTADD-mark-acres,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1962-11-15,6.0,True,1985.0,1.0,40.0,Drafted,acresma01
Charles Acton,RET,24,Forward,78.0,210.0,Hillsdale,USA,https://www.nba.com/player/76010/HISTADD-bud-acton,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1942-01-11,1.0,True,0.0,0.0,0.0,UDF,actonch01
Quincy Acy,RET,,Forward,79.0,240.0,Baylor,USA,https://www.nba.com/player/203112/quincy-acy,False,False,True,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,7.0,False,2012.0,2.0,37.0,Drafted,acyqu0100
