SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2015-16,203110,Draymond Green,Draymond,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,54.5,0.0,4.7,0.0,11.6,18.6,17.4,20.9,55.8,0.0,0.0,3.5,3.5,78.5,1,947,947,947,284,788,402,639,490,1279,1344,1587,314,563,1,839,908,83,1.0,46:54
2015-16,202681,Kyrie Irving,Kyrie,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,53.8,8.8,2.5,10.0,17.5,12.5,5.0,8.8,32.5,1.3,1.3,3.8,7.5,48.4,1,1,1,1,369,171,655,86,208,802,469,774,1315,527,1351,882,316,588,1.0,43:00
2015-16,2210,Richard Jefferson,Richard,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,53.1,4.2,0.0,4.2,4.2,20.8,8.3,4.2,37.5,0.0,2.1,2.1,2.1,32.9,1,1,1,1,465,493,720,393,1102,1409,663,463,1079,563,1556,540,1144,1159,1.0,25:30
2015-16,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,53.4,0.0,0.0,0.0,5.6,16.9,15.5,19.7,47.9,2.8,1.4,4.2,4.2,46.2,1,947,947,947,420,788,720,639,977,1182,1219,1527,601,244,1409,991,776,667,1.0,37:53
2015-16,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,52.4,4.0,0.0,2.7,5.3,18.7,17.3,21.3,50.7,1.3,1.3,5.3,4.0,37.3,1,947,947,947,610,513,720,559,1008,1284,1332,1602,475,489,1378,1202,803,1003,1.0,39:16
2015-16,2590,Mo Williams,Mo,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,52.8,22.2,0.0,22.2,22.2,0.0,22.2,0.0,44.4,0.0,0.0,11.1,0.0,11.1,1,1,1,1,522,11,720,4,102,1,1608,1,745,563,1,1718,1307,1703,1.0,4:45
2015-16,2733,Shaun Livingston,Shaun,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,57.4,7.1,7.1,7.1,14.3,14.3,42.9,14.3,50.0,0.0,0.0,3.6,3.6,40.0,1,947,947,947,80,249,224,183,333,968,1883,1223,479,563,1,851,884,906,1.0,16:04
2015-16,2571,Leandro Barbosa,Leandro,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,44.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,10.0,0.0,30.0,1,947,947,947,1730,6,720,639,1276,1,1,1,1704,563,1881,1675,1307,1262,1.0,4:24
2015-16,202684,Tristan Thompson,Tristan,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,52.1,0.0,1.6,0.0,9.8,3.3,9.8,11.5,29.5,3.3,0.0,6.6,3.3,30.5,1,1,1,1,652,788,699,639,624,307,783,1002,1449,195,1,1415,939,1249,1.0,31:49
2015-16,201578,Marreese Speights,Marreese,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,41.5,0.0,0.0,0.0,0.0,18.2,0.0,18.2,36.4,18.2,0.0,0.0,9.1,98.2,1,947,947,947,1816,788,720,639,1276,1241,1,1456,1130,3,1,1,190,37,1.0,4:34
2015-16,202691,Klay Thompson,Klay,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,53.5,2.5,0.0,3.8,5.1,20.3,16.5,22.8,58.2,0.0,0.0,2.5,0.0,24.6,1,947,947,947,398,741,720,426,1039,1378,1287,1653,255,563,1,619,1307,1447,1.0,42:17
2015-16,2760,Anderson Varejao,Anderson,1610612744,GSW,Golden State Warriors,0041500407,2016-06-19T00:00:00,GSW vs. CLE,L,53.0,0.0,0.0,0.0,0.0,31.3,18.8,50.0,62.5,0.0,6.3,18.8,12.5,15.6,1,947,947,947,491,788,720,639,1276,1754,1432,1877,175,563,1856,1857,71,1640,1.0,8:29
2015-16,2747,JR Smith,JR,1610612739,CLE,Cleveland Cavaliers,0041500407,2016-06-19T00:00:00,CLE @ GSW,W,53.3,0.0,2.7,2.7,5.5,11.0,5.5,9.6,30.1,0.0,1.4,4.1,0.0,28.5,1,1,1,1,429,788,600,549,995,683,496,841,1421,563,1397,970,1307,1321,1.0,38:55
