SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,EFG_PCT_RANK,FTA_RATE_RANK,TM_TOV_PCT_RANK,OREB_PCT_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,AVAILABLE_FLAG
2015-16,1610612761,TOR,Toronto Raptors,0021501218,2016-04-13T00:00:00,TOR @ BKN,W,48.0,0.511,0.161,0.096,0.345,0.494,0.135,0.087,0.17,0,0,0,0,155,1110,2210,200,432,1140,117,2315,166,1.0
2015-16,1610612751,BKN,Brooklyn Nets,0021501218,2016-04-13T00:00:00,BKN vs. TOR,L,48.0,0.494,0.135,0.087,0.17,0.511,0.161,0.096,0.345,0,0,0,0,155,1312,2342,138,2291,1347,251,2246,2017,1.0
2015-16,1610612749,MIL,Milwaukee Bucks,0021501225,2016-04-13T00:00:00,MIL vs. IND,L,48.0,0.466,0.149,0.149,0.176,0.494,0.111,0.168,0.25,0,0,0,0,155,1745,2275,1292,2257,1150,51,722,877,1.0
2015-16,1610612738,BOS,Boston Celtics,0021501217,2016-04-13T00:00:00,BOS vs. MIA,W,48.0,0.459,0.256,0.079,0.32,0.443,0.136,0.112,0.314,0,0,0,0,155,1838,1386,77,668,429,123,1982,1701,1.0
2015-16,1610612754,IND,Indiana Pacers,0021501225,2016-04-13T00:00:00,IND @ MIL,W,48.0,0.494,0.111,0.168,0.25,0.466,0.149,0.149,0.176,0,0,0,0,155,1307,2407,1728,1535,712,181,1160,200,1.0
2015-16,1610612743,DEN,Denver Nuggets,0021501230,2016-04-13T00:00:00,DEN @ POR,L,48.0,0.463,0.191,0.198,0.379,0.5,0.247,0.168,0.314,0,0,0,0,155,1788,2001,2204,206,1171,1007,722,1701,1.0
2015-16,1610612741,CHI,Chicago Bulls,0021501222,2016-04-13T00:00:00,CHI vs. PHI,W,48.0,0.56,0.325,0.173,0.37,0.562,0.222,0.134,0.13,0,0,0,0,155,472,704,1836,247,1999,738,1514,48,1.0
2015-16,1610612759,SAS,San Antonio Spurs,0021501223,2016-04-13T00:00:00,SAS @ DAL,W,48.0,0.514,0.351,0.167,0.262,0.481,0.273,0.133,0.229,0,0,0,0,155,1028,527,1679,1413,920,1253,1529,667,1.0
2015-16,1610612764,WAS,Washington Wizards,0021501221,2016-04-13T00:00:00,WAS vs. ATL,W,48.0,0.528,0.341,0.174,0.264,0.463,0.383,0.215,0.226,0,0,0,0,155,852,606,1856,1382,674,2105,117,635,1.0
2015-16,1610612746,LAC,LA Clippers,0021501229,2016-04-13T00:00:00,LAC @ PHX,L,48.0,0.495,0.125,0.142,0.222,0.49,0.222,0.162,0.368,0,0,0,0,155,1295,2373,1131,1855,1072,738,872,2206,1.0
