season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2020-21,1628969,Mikal Bridges,Mikal,1610612756,PHX,Phoenix Suns,22001078,2021-05-16T00:00:00,PHX @ SAS,W,5.383333333333334,2,0,2,2,0,2,0,2,0,0,1,0,9.7,1,1,1,1,21033,5653,8917,4206,11929,1,3358,1,687,7210,1,4919,16020,17407,1,5:23,2020,2021
2020-21,1628975,Jevon Carter,Jevon,1610612756,PHX,Phoenix Suns,22001078,2021-05-16T00:00:00,PHX @ SAS,W,42.53333333333333,2,3,2,8,12,16,15,58,0,3,0,0,51.5,1,1,1,1,133,5653,2672,4206,3599,17651,22284,21728,22991,7210,22522,1,16020,785,1,42:32,2020,2021
2020-21,1626166,Cameron Payne,Cameron,1610612756,PHX,Phoenix Suns,22001078,2021-05-16T00:00:00,PHX @ SAS,W,27.466666666666665,0,3,2,6,6,8,8,28,0,0,1,1,33.8,1,1,1,1,8527,10450,2672,4206,5533,8925,15168,15689,14808,7210,1,4919,10308,4424,1,27:28,2020,2021
2020-21,204038,Langston Galloway,Langston,1610612756,PHX,Phoenix Suns,22001078,2021-05-16T00:00:00,PHX @ SAS,W,26.366666666666667,0,0,0,0,11,12,11,48,0,0,0,1,12.7,1,1,1,1,9345,10450,8917,8314,16797,16410,20146,19215,22435,7210,1,1,10308,15681,1,26:22,2020,2021
2020-21,1628470,Torrey Craig,Torrey,1610612756,PHX,Phoenix Suns,22001078,2021-05-16T00:00:00,PHX @ SAS,W,29.65,2,0,2,6,9,8,10,34,2,0,5,0,33.2,1,1,1,1,6841,5653,8917,4206,5533,13657,15168,18219,18392,697,1,21997,16020,4649,1,29:39,2020,2021
2020-21,203967,Dario Šarić,Dario,1610612756,PHX,Phoenix Suns,22001078,2021-05-16T00:00:00,PHX @ SAS,W,26.866666666666667,4,0,2,10,11,6,10,30,0,0,1,2,28.8,1,1,1,1,8965,2302,8917,4206,2235,16410,11464,18219,16118,7210,1,4919,6289,6336,1,26:52,2020,2021
2020-21,1630188,Jalen Smith,Jalen,1610612756,PHX,Phoenix Suns,22001078,2021-05-16T00:00:00,PHX @ SAS,W,40.96666666666667,0,4,0,8,10,12,15,54,1,1,3,1,29.0,1,1,1,1,300,10450,1490,8314,3599,15109,20146,21728,22903,2271,15321,16132,10308,6262,1,40:58,2020,2021
2020-21,202734,E'Twaun Moore,E'Twaun,1610612756,PHX,Phoenix Suns,22001078,2021-05-16T00:00:00,PHX @ SAS,W,20.53333333333333,0,2,0,8,9,8,9,36,1,0,0,3,28.4,1,1,1,1,13810,10450,4436,8314,3599,13657,15168,17072,19340,2271,1,1,3793,6526,1,20:32,2020,2021
2020-21,1626163,Frank Kaminsky,Frank,1610612756,PHX,Phoenix Suns,22001078,2021-05-16T00:00:00,PHX @ SAS,W,20.23333333333333,4,2,0,8,7,8,7,30,1,1,2,0,35.5,1,1,1,1,14017,2302,4436,8314,3599,10568,15168,14170,16118,2271,15321,10833,16020,3857,1,20:14,2020,2021
2020-21,1628969,Mikal Bridges,Mikal,1610612756,PHX,Phoenix Suns,22001065,2021-05-15T00:00:00,PHX @ SAS,W,26.401666666666667,9,0,9,10,4,4,0,22,0,0,1,1,31.8,1,1,1,1,9321,164,8917,82,2235,5618,7453,1,10800,7210,1,4919,10308,5128,1,26:24,2020,2021
