player,team,number,position,height,weight,last_attended,country,height_in,weight_lbs,player_id
"Precious Achiuwa",NYK,5.0,F,,,Memphis,Nigeria,80,243.0,achiupr01
"Steven Adams",HOU,12.0,C,,,Pittsburgh,New Zealand,83,265.0,adamsst01
"Bam
Adebayo",MIA,13.0,C,,,Kentucky,USA,81,255.0,adebaba01
"Ochai
Agbaji",TOR,30.0,G,,,Kansas,USA,77,215.0,agbajoc01
"Santi
Aldama",MEM,7.0,F,,,Loyola-Maryland,Spain,84,215.0,aldamsa01
"Trey
Alexander",DEN,23.0,G,,,Creighton,USA,76,185.0,alexatr01
"Nickeil
Alexander-Walker",MIN,9.0,G,,,Virginia Tech,Canada,77,205.0,alexani01
"Grayson
Allen",PHX,8.0,G,,,Duke,USA,76,198.0,allengr01
"Jarrett
Allen",CLE,31.0,C,,,Texas,USA,81,243.0,allenja01
"Jose
Alvarado",NOP,15.0,G,,,Georgia Tech,USA,72,179.0,alvarjo01
"Kyle
Anderson",MIA,20.0,F,,,UCLA,USA,81,230.0,anderky01
"Giannis
Antetokounmpo",MIL,34.0,F,,,Filathlitikos,Greece,83,243.0,antetgi01
"Cole
Anthony",ORL,50.0,G,,,North Carolina,USA,74,185.0,anthoco01
"OG
Anunoby",NYK,8.0,F,,,Indiana,United Kingdom,79,240.0,anunoog01
"Taran
Armstrong",GSW,1.0,G,,,"Cairns, Australia",Australia,77,190.0,armstta01
"Deni
Avdija",POR,8.0,F,,,Maccabi Tel Aviv,Israel,81,240.0,avdijde01
"Deandre
Ayton",POR,2.0,C,,,Arizona,Bahamas,84,252.0,aytonde01
"Marcus
Bagley",FA,FA,F,,,Arizona State,USA,78,217.0,baglema01
"Marvin
Bagley III",MEM,35.0,F,,,Duke,USA,82,235.0,iiima0100
"Patrick
Baldwin Jr.",LAC,23.0,F,,,Wisconsin-Milwaukee,USA,81,220.0,jr.pa0100
"LaMelo
Ball",CHA,1.0,G,,,Illawarra,USA,79,180.0,ballla010
"Lonzo
Ball",CHI,2.0,G,,,UCLA,USA,78,190.0,balllo010
"Mo
Bamba",FA,FA,C,,,Texas,USA,84,231.0,bambamo01
"Paolo
Banchero",ORL,5.0,F,,,Duke,USA,82,250.0,banchpa01
"Desmond
Bane",MEM,22.0,G,,,TCU,USA,77,215.0,banede010
"Dalano
Banton",POR,5.0,F,,,Nebraska,Canada,80,203.0,bantoda01
"Dominick
Barlow",ATL,26.0,F,,,Overtime Elite,USA,80,215.0,barlodo01
"Harrison
Barnes",SAS,40.0,F,,,North Carolina,USA,80,225.0,barneha01
"Scottie
Barnes",TOR,4.0,F,,,Florida State,USA,79,237.0,barnesc01
"RJ
Barrett",TOR,9.0,F,,,Duke,Canada,78,214.0,barrerj01
"Charles
Bassey",SAS,28.0,C,,,Western Kentucky,Nigeria,82,230.0,bassech01
"Emoni
Bates",CLE,21.0,F,,,Eastern Michigan,USA,80,202.0,batesem01
"Jamison
Battle",TOR,77.0,F,,,Ohio State,USA,79,220.0,battlja01
"Nicolas
Batum",LAC,33.0,G,,,Le Mans,France,80,230.0,batumni01
"Damion
Baugh",CHA,7.0,G,,,TCU,USA,76,194.0,baughda01
"Bradley
Beal",PHX,3.0,G,,,Florida,USA,76,207.0,bealbr010
"Malik
Beasley",DET,5.0,G,,,Florida State,USA,76,187.0,beaslma01
"MarJon
Beauchamp",NYK,0.0,F,,,NBA G League Ignite,USA,79,199.0,beaucma01
"Reece
Beekman",BKN,4.0,G,,,Virginia,USA,75,190.0,beekmre01
"Saddiq
Bey",WAS,14.0,G,,,Villanova,USA,79,215.0,beysa0100
"Goga
Bitadze",ORL,35.0,C,,,Mega Basket,Georgia,82,250.0,bitadgo01
"Bismack
Biyombo",SAS,15.0,C,,,Baloncesto Fuenlabrada,DRC,80,255.0,biyombi01
"Anthony
Black",ORL,0.0,G,,,Arkansas,USA,79,200.0,blackan01
"Bogdan
Bogdanović",LAC,10.0,G,,,Fenerbahce,Serbia,77,225.0,bogdabo01
"Bol
Bol",PHX,11.0,C,,,Oregon,Sudan,87,220.0,bolbo0100
"Adem
Bona",PHI,30.0,F,,,UCLA,Nigeria,82,235.0,bonaad010
"Devin
Booker",PHX,1.0,G,,,Kentucky,USA,78,206.0,bookede01
"Brandon
Boston",NOP,11.0,G,,,Kentucky,USA,78,188.0,bostobr01
"Chris
Boucher",TOR,25.0,F,,,Oregon,Saint Lucia,81,200.0,bouchch01
"Jamaree
Bouyea",MIL,15.0,G,,,San Francisco,USA,74,180.0,bouyeja01
"Tony
Bradley",IND,13.0,C,,,North Carolina,USA,83,248.0,bradlto01
"Malaki
Branham",SAS,22.0,F,,,Ohio State,USA,76,180.0,branhma01
"Christian
Braun",DEN,0.0,G,,,Kansas,USA,78,220.0,braunch01
"Jalen
Bridges",PHX,15.0,F,,,Baylor,USA,80,225.0,bridgja01
"Mikal
Bridges",NYK,25.0,G,,,Villanova,USA,78,209.0,bridgmi01
"Miles
Bridges",CHA,0.0,F,,,Michigan State,USA,79,225.0,bridgmi01
"Oshae
Brissett",FA,FA,F,,,Syracuse,Canada,79,210.0,brissos01
"Malcolm
Brogdon",WAS,15.0,G,,,Virginia,USA,76,229.0,brogdma01
"Dillon
Brooks",HOU,9.0,G,,,Oregon,Canada,78,225.0,brookdi01
"Keion
Brooks Jr.",NOP,FA,F,,,Washington,USA,79,210.0,jr.ke0100
"Bruce
Brown",NOP,0.0,G,,,Miami,USA,76,202.0,brownbr01
"Jaylen
Brown",BOS,7.0,G,,,California,USA,78,223.0,brownja01
"Kobe
Brown",LAC,21.0,F,,,Missouri,USA,79,250.0,brownko01
"Moses
Brown",FA,FA,C,,,UCLA,USA,86,258.0,brownmo01
"Jalen
Brunson",NYK,11.0,G,,,Villanova,USA,74,190.0,brunsja01
"Thomas
Bryant",IND,3.0,C,,,Indiana,USA,82,248.0,bryanth01
"Kobe
Bufkin",ATL,4.0,G,,,Michigan,USA,76,195.0,bufkiko01
"Alec
Burks",MIA,18.0,G,,,Colorado,USA,77,214.0,burksal01
"Jared
Butler",PHI,12.0,G,,,Baylor,USA,75,193.0,butleja01
"Jimmy
Butler III",GSW,10.0,F,,,Marquette,USA,79,230.0,iiiji0100
"Matas
Buzelis",CHI,14.0,F,,,NBA G League Ignite,USA,82,209.0,buzelma01
"Jamal
Cain",NOP,8.0,F,,,Oakland,USA,78,191.0,cainja010
"Kentavious
Caldwell-Pope",ORL,3.0,G,,,Georgia,USA,77,204.0,caldwke01
"Toumani
Camara",POR,33.0,F,,,Dayton,Belgium,79,229.0,camarto01
"Vlatko
Čančar",DEN,31.0,F,,,San Pablo Burgos,Slovenia,80,236.0,čančavl01
"Clint
Capela",ATL,15.0,C,,,Elan Chalon,Switzerland,82,256.0,capelcl01
"Branden
Carlson",OKC,15.0,C,,,Utah,USA,84,220.0,carlsbr01
"Bub
Carrington",WAS,8.0,G,,,Pittsburgh,USA,76,190.0,carribu01
"Devin
Carter",SAC,22.0,G,,,Providence,USA,74,195.0,cartede01
"Jevon
Carter",CHI,5.0,G,,,West Virginia,USA,73,200.0,carteje01
