player,headshot_url,experience,birthdate,experience_years
"Precious
Achiuwa",https://cdn.nba.com/headshots/nba/latest/1040x760/1630173.png,4 Years,1999-09-19,4.0
"Steven
Adams",utils/images/john_doe_headshot.png,10 Years,1993-07-20,10.0
"Bam
Adebayo",utils/images/john_doe_headshot.png,7 Years,1997-07-18,7.0
"Ochai
Agbaji",https://cdn.nba.com/headshots/nba/latest/260x190/1628449.png,2 Years,2000-04-20,2.0
"Santi
Aldama",https://cdn.nba.com/headshots/nba/latest/260x190/1629723.png,3 Years,2001-01-10,3.0
"Trey
Alexander",utils/images/john_doe_headshot.png,Rookie,2003-05-02,
"Nickeil
Alexander-Walker",utils/images/john_doe_headshot.png,5 Years,1998-09-02,5.0
"Grayson
Allen",https://cdn.nba.com/headshots/nba/latest/260x190/1641779.png,6 Years,1995-10-08,6.0
"Jarrett
Allen",https://cdn.nba.com/headshots/nba/latest/260x190/1629622.png,7 Years,1998-04-21,7.0
"Jose
Alvarado",utils/images/john_doe_headshot.png,3 Years,1998-04-12,3.0
"Kyle
Anderson",https://cdn.nba.com/headshots/nba/latest/260x190/201567.png,10 Years,1993-09-20,10.0
"Giannis
Antetokounmpo",utils/images/john_doe_headshot.png,11 Years,1994-12-06,11.0
"Cole
Anthony",https://cdn.nba.com/headshots/nba/latest/260x190/1629048.png,4 Years,2000-05-15,4.0
"OG
Anunoby",https://cdn.nba.com/headshots/nba/latest/260x190/1626153.png,7 Years,1997-07-17,7.0
"Taran
Armstrong",https://cdn.nba.com/headshots/nba/latest/1040x760/1642379.png,Rookie,2002-01-15,
"Deni
Avdija",https://cdn.nba.com/headshots/nba/latest/260x190/1630703.png,4 Years,2001-01-03,4.0
"Deandre
Ayton",utils/images/john_doe_headshot.png,6 Years,1998-07-23,6.0
"Marcus
Bagley",utils/images/john_doe_headshot.png,Rookie,2001-10-23,
"Marvin
Bagley III",utils/images/john_doe_headshot.png,6 Years,1999-03-14,6.0
"Patrick
Baldwin Jr.",https://cdn.nba.com/headshots/nba/latest/260x190/201935.png,2 Years,2002-11-18,2.0
"LaMelo
Ball",utils/images/john_doe_headshot.png,4 Years,2001-08-22,4.0
"Lonzo
Ball",utils/images/john_doe_headshot.png,5 Years,1997-10-27,5.0
"Mo
Bamba",utils/images/john_doe_headshot.png,6 Years,1998-05-12,6.0
"Paolo
Banchero",https://cdn.nba.com/headshots/nba/latest/260x190/1641710.png,2 Years,2002-11-12,2.0
"Desmond
Bane",utils/images/john_doe_headshot.png,4 Years,1998-06-25,4.0
"Dalano
Banton",https://cdn.nba.com/headshots/nba/latest/260x190/1630703.png,3 Years,1999-11-07,3.0
"Dominick
Barlow",https://cdn.nba.com/headshots/nba/latest/260x190/1630811.png,2 Years,2003-05-26,2.0
"Harrison
Barnes",utils/images/john_doe_headshot.png,12 Years,1992-05-30,12.0
"Scottie
Barnes",utils/images/john_doe_headshot.png,3 Years,2001-08-01,3.0
"RJ
Barrett",utils/images/john_doe_headshot.png,5 Years,2000-06-14,5.0
"Charles
Bassey",https://cdn.nba.com/headshots/nba/latest/260x190/1642434.png,3 Years,2000-10-28,3.0
"Emoni
Bates",https://cdn.nba.com/headshots/nba/latest/260x190/1629622.png,1 Year,2004-01-28,1.0
"Jamison
Battle",utils/images/john_doe_headshot.png,Rookie,2001-05-10,
"Nicolas
Batum",utils/images/john_doe_headshot.png,16 Years,1988-12-14,16.0
"Damion
Baugh",https://cdn.nba.com/headshots/nba/latest/260x190/1629684.png,Rookie,2000-08-03,
