close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
101133,Ian Mahinmi,1610612754,IND,C,29.0,71,70,0.478,206,363,0.567,0.598,-0.031
1626167,Myles Turner,1610612754,IND,F-C,20.0,60,60,0.513,184,354,0.52,0.594,-0.074
201941,Jordan Hill,1610612754,IND,C,28.0,73,73,0.451,195,336,0.58,0.594,-0.014
202331,Paul George,1610612754,IND,F,26.0,81,76,0.274,160,251,0.637,0.601,0.037
202730,Lavoy Allen,1610612754,IND,F-C,27.0,79,71,0.364,128,224,0.571,0.598,-0.027
201588,George Hill,1610612754,IND,G,30.0,74,60,0.195,108,158,0.684,0.589,0.094
101139,CJ Miles,1610612754,IND,F-G,29.0,64,53,0.321,78,145,0.538,0.596,-0.058
101145,Monta Ellis,1610612754,IND,G,30.0,81,62,0.165,90,132,0.682,0.591,0.09
201951,Ty Lawson,1610612754,IND,G,28.0,63,49,0.277,83,111,0.748,0.598,0.15
203524,Solomon Hill,1610612754,IND,F,25.0,50,39,0.316,59,93,0.634,0.592,0.043
201155,Rodney Stuckey,1610612754,IND,G,30.0,57,39,0.217,42,69,0.609,0.596,0.013
203922,Glenn Robinson III,1610612754,IND,G-F,22.0,39,27,0.318,31,49,0.633,0.596,0.036
1626202,Joe Young,1610612754,IND,G,24.0,33,19,0.316,25,37,0.676,0.562,0.113
203963,Shayne Whittington,1610612754,IND,F-C,25.0,6,4,0.357,3,5,0.6,0.587,0.013
