close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,d_fgm,d_fga,d_fg_pct,normal_fg_pct,pct_plusminus
1626161,Willie Cauley-Stein,1610612758,SAC,C,25.0,81,81,1.0,547,1138,0.481,0.482,-0.001
1627741,Buddy Hield,1610612758,SAC,G,26.0,82,82,1.0,497,1029,0.483,0.45,0.033
1628368,De'Aaron Fox,1610612758,SAC,G,21.0,81,81,1.0,442,946,0.467,0.45,0.017
202357,Nemanja Bjelica,1610612758,SAC,F,31.0,77,77,1.0,394,894,0.441,0.464,-0.023
203084,Harrison Barnes,1610612758,SAC,F,27.0,77,77,1.0,377,803,0.469,0.469,0.0
203992,Bogdan Bogdanović,1610612758,SAC,G,26.0,70,70,1.0,336,716,0.469,0.447,0.022
1628963,Marvin Bagley III,1610612758,SAC,F,20.0,62,62,1.0,311,660,0.471,0.466,0.005
202692,Alec Burks,1610612758,SAC,G,27.0,63,63,1.0,237,483,0.491,0.456,0.035
1628385,Harry Giles III,1610612758,SAC,F-C,21.0,58,58,1.0,183,392,0.467,0.48,-0.013
1627812,Yogi Ferrell,1610612758,SAC,G,26.0,66,66,1.0,165,362,0.456,0.432,0.023
201585,Kosta Koufos,1610612758,SAC,C,30.0,41,41,1.0,123,284,0.433,0.482,-0.049
201147,Corey Brewer,1610612758,SAC,G-F,33.0,31,31,1.0,80,177,0.452,0.449,0.003
1628412,Frank Mason III,1610612758,SAC,G,25.0,34,34,1.0,67,155,0.432,0.436,-0.004
1627786,Troy Williams,1610612758,SAC,F,24.0,21,21,1.0,55,109,0.505,0.439,0.066
1628403,Caleb Swanigan,1610612758,SAC,F,22.0,18,18,1.0,41,87,0.471,0.481,-0.01
203463,Ben McLemore,1610612758,SAC,G,26.0,15,15,1.0,28,53,0.528,0.454,0.074
1629168,BJ Johnson,1610612758,SAC,F,23.0,7,7,1.0,11,20,0.55,0.436,0.114
