season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end
2015-16,1610612765,DET,Detroit Pistons,21501220,2016-04-13T00:00:00,DET @ CLE,W,53.0,9.5,12.9,4.8,16.3,6.8,11.5,4.8,34.0,0,0,0,1,21,1733,447,2084,2442,312,1776,372,1505,1.0,2015,2016
2015-16,1610612750,MIN,Minnesota Timberwolves,21501226,2016-04-13T00:00:00,MIN vs. NOP,W,48.0,18.0,7.5,19.5,60.0,8.3,9.0,13.5,34.5,0,0,0,1,155,241,1553,88,1,457,1119,1908,1516,1.0,2015,2016
2015-16,1610612745,HOU,Houston Rockets,21501224,2016-04-13T00:00:00,HOU vs. SAC,W,48.0,21.8,9.8,22.5,49.5,15.8,7.5,12.8,28.5,0,0,0,1,155,62,1014,29,22,1905,726,1811,694,1.0,2015,2016
2015-16,1610612755,PHI,Philadelphia 76ers,21501222,2016-04-13T00:00:00,PHI @ CHI,L,48.0,18.8,5.3,10.5,24.0,13.5,13.5,6.8,28.5,0,0,0,1231,155,191,2059,931,2087,1515,2015,656,694,1.0,2015,2016
2015-16,1610612738,BOS,Boston Celtics,21501217,2016-04-13T00:00:00,BOS vs. MIA,W,48.0,12.8,7.5,13.5,45.0,6.0,12.0,4.5,39.0,0,0,0,1,155,957,1553,464,76,154,1795,254,2021,1.0,2015,2016
2015-16,1610612754,IND,Indiana Pacers,21501225,2016-04-13T00:00:00,IND @ MIL,W,48.0,12.0,6.0,10.5,39.0,15.8,5.3,13.5,36.0,0,0,0,1,155,1108,1899,931,328,1905,296,1908,1714,1.0,2015,2016
2015-16,1610612756,PHX,Phoenix Suns,21501229,2016-04-13T00:00:00,PHX vs. LAC,W,48.0,16.5,23.3,16.5,45.0,8.3,4.5,9.0,34.5,0,0,0,1,155,372,4,218,76,457,176,1108,1516,1.0,2015,2016
2015-16,1610612744,GSW,Golden State Warriors,21501227,2016-04-13T00:00:00,GSW vs. MEM,W,48.0,14.3,8.3,25.5,28.5,12.8,15.8,7.5,34.5,0,0,0,1,155,679,1354,11,1600,1363,2257,783,1516,1.0,2015,2016
2015-16,1610612763,MEM,Memphis Grizzlies,21501227,2016-04-13T00:00:00,MEM @ GSW,L,48.0,12.8,15.8,7.5,34.5,14.3,8.3,25.5,28.5,0,0,0,1231,155,957,156,1528,760,1658,918,2449,694,1.0,2015,2016
2015-16,1610612766,CHA,Charlotte Hornets,21501219,2016-04-13T00:00:00,CHA vs. ORL,W,48.0,10.5,3.0,5.3,31.5,10.5,4.5,15.8,39.0,0,0,0,1,155,1442,2338,1978,1152,888,176,2154,2021,1.0,2015,2016
