season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away
2022-23,1610612748,MIA,Miami Heat,42200405,2023-06-12,MIA @ DEN,L,48.0,10.0,19.0,12.0,44.0,12.0,12.0,19.0,60.0,0,0,0,0,9,132,22,94,96,45,63,142,154,1,2022,2023,False,DEN,MIA
2022-23,1610612743,DEN,Denver Nuggets,42200405,2023-06-12,DEN vs. MIA,W,48.0,12.0,12.0,19.0,60.0,10.0,19.0,12.0,44.0,0,0,0,0,9,115,89,21,9,31,145,64,60,1,2022,2023,True,DEN,MIA
2022-23,1610612748,MIA,Miami Heat,42200404,2023-06-09,MIA vs. DEN,L,48.0,8.0,9.0,14.0,46.0,17.0,6.0,12.0,48.0,0,0,0,0,9,146,125,71,81,100,10,64,89,1,2022,2023,True,MIA,DEN
2022-23,1610612743,DEN,Denver Nuggets,42200404,2023-06-09,DEN @ MIA,W,48.0,17.0,6.0,12.0,48.0,8.0,9.0,14.0,46.0,0,0,0,0,9,60,154,94,65,15,38,86,74,1,2022,2023,False,MIA,DEN
2022-23,1610612748,MIA,Miami Heat,42200403,2023-06-07,MIA vs. DEN,L,48.0,17.0,7.0,11.0,34.0,8.0,14.0,11.0,60.0,0,0,0,0,9,60,139,106,155,15,92,55,154,1,2022,2023,True,MIA,DEN
2022-23,1610612743,DEN,Denver Nuggets,42200403,2023-06-07,DEN @ MIA,W,48.0,8.0,14.0,11.0,60.0,17.0,7.0,11.0,34.0,0,0,0,0,9,146,69,106,9,100,16,55,10,1,2022,2023,False,MIA,DEN
2022-23,1610612743,DEN,Denver Nuggets,42200402,2023-06-04,DEN vs. MIA,L,48.0,23.0,15.0,18.0,50.0,19.0,11.0,5.0,34.0,0,0,0,0,9,18,61,28,49,118,51,11,10,1,2022,2023,True,DEN,MIA
2022-23,1610612748,MIA,Miami Heat,42200402,2023-06-04,MIA @ DEN,W,48.0,19.0,11.0,5.0,34.0,23.0,15.0,18.0,50.0,0,0,0,0,9,44,107,156,155,150,101,132,105,1,2022,2023,False,DEN,MIA
2022-23,1610612748,MIA,Miami Heat,42200401,2023-06-01,MIA @ DEN,L,48.0,9.0,8.0,4.0,38.0,13.0,7.0,9.0,46.0,0,0,0,0,9,139,132,159,135,55,16,33,74,1,2022,2023,False,DEN,MIA
2022-23,1610612743,DEN,Denver Nuggets,42200401,2023-06-01,DEN vs. MIA,W,48.0,13.0,7.0,9.0,46.0,9.0,8.0,4.0,38.0,0,0,0,0,9,102,139,126,81,24,31,5,23,1,2022,2023,True,DEN,MIA
