group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
Players,203994,Jusuf Nurkić,Jusuf,1610612757,POR,24.0,29,16,13,0.552,96.43166666666669,0,18,0,32,10,21,18,78,5,2,15,19,117.1,97,83,315,148,93,229,11,182,37,209,305,367,342,15,333,413,35,56,POR
Players,203552,Seth Curry,Seth,1610612757,POR,28.0,17,10,7,0.588,28.76333333333333,1,2,1,0,6,11,8,30,0,0,1,6,20.4,207,167,203,114,254,219,160,170,315,161,226,246,210,217,1,90,132,243,POR
Players,1627746,Skal Labissiere,Skal,1610612757,POR,23.0,4,2,2,0.5,4.331666666666667,0,2,0,4,4,0,2,8,0,0,1,0,7.6,354,331,72,178,386,229,160,182,199,134,1,112,102,217,1,90,329,320,POR
Players,1629014,Anfernee Simons,Anfernee,1610612757,POR,20.0,3,3,0,1.0,3.93,2,4,0,2,4,0,2,4,0,0,0,1,9.4,371,301,1,1,393,161,113,182,249,134,1,112,53,217,1,1,266,302,POR
Players,1628380,Zach Collins,Zach,1610612757,POR,21.0,7,5,2,0.714,8.283333333333333,2,0,0,2,3,5,5,8,0,0,0,1,5.2,312,262,72,37,340,161,235,182,249,122,155,196,102,217,1,1,266,348,POR
Players,203086,Meyers Leonard,Meyers,1610612757,POR,27.0,11,4,7,0.364,17.758333333333333,0,0,0,0,12,5,15,16,0,0,5,1,14.7,267,277,203,337,288,229,235,182,315,230,155,339,158,217,1,237,266,280,POR
Players,203090,Maurice Harkless,Maurice,1610612757,POR,26.0,22,13,9,0.591,79.865,9,5,3,20,14,30,15,74,2,1,18,5,76.6,161,117,242,111,126,52,94,75,67,253,371,339,332,80,229,432,153,101,POR
Players,203081,Damian Lillard,Damian,1610612757,POR,28.0,39,22,17,0.564,138.21166666666667,12,11,11,36,28,50,37,126,2,7,13,28,190.4,24,14,386,131,36,31,30,9,28,351,433,450,425,80,438,390,16,15,POR
Players,203918,Rodney Hood,Rodney,1610612757,POR,26.0,22,12,10,0.545,60.10833333333333,2,4,2,6,12,31,13,60,0,2,6,4,39.9,161,136,264,151,168,161,113,107,163,230,378,317,302,217,333,262,173,182,POR
Players,202329,Al-Farouq Aminu,Al-Farouq,1610612757,POR,28.0,35,22,13,0.629,99.92333333333332,5,16,2,10,18,38,19,78,5,1,8,10,103.6,55,14,315,84,85,96,15,107,119,294,407,373,342,15,229,302,77,63,POR
Players,1629018,Gary Trent Jr.,Gary,1610612757,POR,20.0,1,1,0,1.0,3.183333333333333,0,0,0,0,4,0,2,4,0,0,0,0,1.5,415,365,1,1,399,229,235,182,315,134,1,112,53,217,1,1,329,385,POR
Players,202683,Enes Freedom,Enes,1610612757,POR,27.0,20,9,11,0.45,61.60333333333333,2,6,3,20,16,21,10,64,2,1,7,4,56.5,177,186,280,261,163,161,71,75,67,275,305,282,310,80,229,285,173,141,POR
Players,203468,CJ McCollum,CJ,1610612757,POR,27.0,34,19,15,0.559,115.84333333333332,3,7,2,22,23,41,34,100,0,1,13,6,96.7,59,44,354,138,57,131,58,107,60,320,415,449,391,217,229,390,132,70,POR
Players,202323,Evan Turner,Evan,1610612757,POR,30.0,21,12,9,0.571,35.10333333333333,0,4,0,2,6,16,9,32,1,0,6,6,19.1,168,136,242,124,232,229,113,182,249,161,272,270,220,130,1,262,132,252,POR
Players,1627774,Jake Layman,Jake,1610612757,POR,25.0,11,4,7,0.364,21.265,0,2,0,4,14,6,13,32,1,1,4,0,14.2,267,277,203,337,274,229,160,182,199,253,166,317,220,130,229,211,329,282,POR
