group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
Players,101107,Marvin Williams,Marvin,1610612749,MIL,34.0,4,1,3,0.25,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0.0,41,51,76,79,111,39,34,16,51,1,1,1,1,25,1,1,62,93,MIL
Players,1626192,Pat Connaughton,Pat,1610612749,MIL,27.0,1,0,1,0.0,2.75,0,0,0,0,0,3,0,2,0,0,0,0,0.0,97,95,11,95,93,39,34,16,51,1,64,1,22,25,1,1,62,93,MIL
Players,202083,Wesley Matthews,Wesley,1610612749,MIL,33.0,4,1,3,0.25,8.043333333333333,0,0,0,0,0,6,0,6,0,0,0,0,3.0,41,51,76,79,66,39,34,16,51,1,88,1,56,25,1,1,62,70,MIL
Players,203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,25.0,3,0,3,0.0,6.308333333333334,0,0,2,2,0,6,0,6,0,0,1,1,6.6,61,95,76,95,73,39,34,5,25,1,88,1,56,25,1,38,39,58,MIL
Players,202339,Eric Bledsoe,Eric,1610612749,MIL,30.0,4,1,3,0.25,12.805,1,2,0,0,0,9,0,12,0,0,2,1,9.9,41,51,76,79,49,35,17,16,51,1,97,1,85,25,1,82,39,44,MIL
Players,2594,Kyle Korver,Kyle,1610612749,MIL,39.0,2,1,1,0.5,0.5033333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,80,51,11,45,115,39,34,16,51,1,1,1,1,25,1,1,62,93,MIL
Players,203114,Khris Middleton,Khris,1610612749,MIL,28.0,5,1,4,0.2,17.761666666666667,4,0,0,2,0,12,0,12,0,0,2,3,19.6,28,51,107,89,36,6,34,16,25,1,117,1,85,25,1,82,17,23,MIL
Players,201572,Brook Lopez,Brook,1610612749,MIL,32.0,5,1,4,0.2,17.35333333333333,2,2,0,4,0,12,0,14,0,0,1,1,14.4,28,51,107,89,37,18,17,16,15,1,117,1,95,25,1,38,39,32,MIL
Players,1628978,Donte DiVincenzo,Donte,1610612749,MIL,23.0,4,1,3,0.25,9.55,0,0,0,0,0,0,0,6,0,0,2,1,2.2,41,51,76,79,63,39,34,16,51,1,1,1,56,25,1,82,39,75,MIL
Players,201588,George Hill,George,1610612749,MIL,34.0,5,1,4,0.2,15.95,0,0,0,0,0,12,0,12,0,0,1,0,5.4,28,51,107,89,40,39,34,16,51,1,117,1,85,25,1,38,62,60,MIL
