season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl,differential
2021-22,1610612758,22100013,2021-10-20,SAC,POR,1610612757,1,124,121,W,3
2021-22,1610612758,22100026,2021-10-22,UTA,SAC,1610612762,2,101,110,L,-9
2021-22,1610612758,22100039,2021-10-24,GSW,SAC,1610612744,3,107,119,L,-12
2021-22,1610612758,22100062,2021-10-27,SAC,PHX,1610612756,4,110,107,W,3
2021-22,1610612758,22100074,2021-10-29,SAC,NOP,1610612740,5,113,109,W,4
2021-22,1610612758,22100089,2021-10-31,SAC,DAL,1610612742,6,99,105,L,-6
2021-22,1610612758,22100105,2021-11-02,SAC,UTA,1610612762,7,113,119,L,-6
2021-22,1610612758,22100118,2021-11-03,NOP,SAC,1610612740,8,112,99,W,13
2021-22,1610612758,22100132,2021-11-05,CHA,SAC,1610612766,9,140,110,W,30
2021-22,1610612758,22100143,2021-11-07,IND,SAC,1610612754,10,91,94,L,-3
2021-22,1610612758,22100153,2021-11-08,PHX,SAC,1610612756,11,104,109,L,-5
2021-22,1610612758,22100166,2021-11-10,SAC,SAS,1610612759,12,117,136,L,-19
2021-22,1610612758,22100180,2021-11-12,SAC,OKC,1610612760,13,103,105,L,-2
2021-22,1610612758,22100200,2021-11-15,SAC,DET,1610612765,14,129,107,W,22
2021-22,1610612758,22100220,2021-11-17,SAC,MIN,1610612750,15,97,107,L,-10
2021-22,1610612758,22100238,2021-11-19,TOR,SAC,1610612761,16,89,108,L,-19
2021-22,1610612758,22100247,2021-11-20,UTA,SAC,1610612762,17,105,123,L,-18
2021-22,1610612758,22100262,2021-11-22,PHI,SAC,1610612755,18,94,102,L,-8
2021-22,1610612758,22100279,2021-11-24,POR,SAC,1610612757,19,125,121,W,4
2021-22,1610612758,22100291,2021-11-26,SAC,LAL,1610612747,20,141,137,W,4
2021-22,1610612758,22100303,2021-11-28,SAC,MEM,1610612763,21,101,128,L,-27
2021-22,1610612758,22100318,2021-11-30,LAL,SAC,1610612747,22,92,117,L,-25
2021-22,1610612758,22100327,2021-12-01,SAC,LAC,1610612746,23,124,115,W,9
2021-22,1610612758,22100348,2021-12-04,LAC,SAC,1610612746,24,104,99,W,5
2021-22,1610612758,22100377,2021-12-08,ORL,SAC,1610612753,25,142,130,W,12
2021-22,1610612758,22100382,2021-12-10,SAC,CHA,1610612766,26,123,124,L,-1
2021-22,1610612758,22100393,2021-12-11,SAC,CLE,1610612739,27,103,117,L,-14
2021-22,1610612758,22100406,2021-12-13,SAC,TOR,1610612761,28,101,124,L,-23
2021-22,1610612758,22100427,2021-12-15,WAS,SAC,1610612764,29,119,105,W,14
2021-22,1610612758,22100440,2021-12-17,MEM,SAC,1610612763,30,105,124,L,-19
2021-22,1610612758,22100451,2021-12-19,SAS,SAC,1610612759,31,121,114,W,7
2021-22,1610612758,22100462,2021-12-20,SAC,GSW,1610612744,32,98,113,L,-15
2021-22,1610612758,22100475,2021-12-22,LAC,SAC,1610612746,33,89,105,L,-16
2021-22,1610612758,22100496,2021-12-26,MEM,SAC,1610612763,34,102,127,L,-25
2021-22,1610612758,22100515,2021-12-28,OKC,SAC,1610612760,35,117,111,W,6
2021-22,1610612758,22100524,2021-12-29,DAL,SAC,1610612742,36,95,94,W,1
2021-22,1610612758,22100531,2021-12-31,DAL,SAC,1610612742,37,96,112,L,-16
2021-22,1610612758,22100548,2022-01-02,MIA,SAC,1610612748,38,115,113,W,2
2021-22,1610612758,22100566,2022-01-04,SAC,LAL,1610612747,39,114,122,L,-8
2021-22,1610612758,22100577,2022-01-05,ATL,SAC,1610612737,40,102,108,L,-6
2021-22,1610612758,22100588,2022-01-07,SAC,DEN,1610612743,41,111,121,L,-10
2021-22,1610612758,22100605,2022-01-09,SAC,POR,1610612757,42,88,103,L,-15
2021-22,1610612758,22100611,2022-01-10,CLE,SAC,1610612739,43,108,109,L,-1
2021-22,1610612758,22100626,2022-01-12,LAL,SAC,1610612747,44,125,116,W,9
2021-22,1610612758,22100640,2022-01-14,HOU,SAC,1610612745,45,126,114,W,12
2021-22,1610612758,22100651,2022-01-16,HOU,SAC,1610612745,46,112,118,L,-6
2021-22,1610612758,22100679,2022-01-19,DET,SAC,1610612765,47,131,133,L,-2
2021-22,1610612758,22100696,2022-01-22,SAC,MIL,1610612749,48,127,133,L,-6
2021-22,1610612758,22100717,2022-01-25,SAC,BOS,1610612738,49,75,128,L,-53
2021-22,1610612758,22100725,2022-01-26,SAC,ATL,1610612737,50,104,121,L,-17
2021-22,1610612758,22100747,2022-01-29,SAC,PHI,1610612755,51,101,103,L,-2
2021-22,1610612758,22100763,2022-01-31,SAC,NYK,1610612752,52,96,116,L,-20
2021-22,1610612758,22100780,2022-02-02,BKN,SAC,1610612751,53,112,101,W,11
2021-22,1610612758,22100785,2022-02-03,SAC,GSW,1610612744,54,114,126,L,-12
2021-22,1610612758,22100801,2022-02-05,OKC,SAC,1610612760,55,113,103,W,10
2021-22,1610612758,22100824,2022-02-08,MIN,SAC,1610612750,56,114,134,L,-20
2021-22,1610612758,22100830,2022-02-09,MIN,SAC,1610612750,57,132,119,W,13
2021-22,1610612758,22100847,2022-02-12,SAC,WAS,1610612764,58,123,110,W,13
2021-22,1610612758,22100859,2022-02-14,SAC,BKN,1610612751,59,85,109,L,-24
2021-22,1610612758,22100878,2022-02-16,SAC,CHI,1610612741,60,118,125,L,-7
2021-22,1610612758,22100895,2022-02-24,DEN,SAC,1610612743,61,110,128,L,-18
2021-22,1610612758,22100911,2022-02-26,SAC,DEN,1610612743,62,110,115,L,-5
2021-22,1610612758,22100925,2022-02-28,SAC,OKC,1610612760,63,131,110,W,21
2021-22,1610612758,22100937,2022-03-02,SAC,NOP,1610612740,64,95,125,L,-30
2021-22,1610612758,22100944,2022-03-03,SAC,SAS,1610612759,65,115,112,W,3
2021-22,1610612758,22100954,2022-03-05,SAC,DAL,1610612742,66,113,114,L,-1
2021-22,1610612758,22100974,2022-03-07,NYK,SAC,1610612752,67,115,131,L,-16
2021-22,1610612758,22100991,2022-03-09,DEN,SAC,1610612743,68,100,106,L,-6
2021-22,1610612758,22101010,2022-03-12,SAC,UTA,1610612762,69,125,134,L,-9
2021-22,1610612758,22101026,2022-03-14,CHI,SAC,1610612741,70,112,103,W,9
2021-22,1610612758,22101043,2022-03-16,MIL,SAC,1610612749,71,126,135,L,-9
2021-22,1610612758,22101057,2022-03-18,BOS,SAC,1610612738,72,97,126,L,-29
2021-22,1610612758,22101066,2022-03-20,PHX,SAC,1610612756,73,124,127,L,-3
2021-22,1610612758,22101086,2022-03-23,SAC,IND,1610612754,74,110,109,W,1
2021-22,1610612758,22101108,2022-03-26,SAC,ORL,1610612753,75,114,110,W,4
2021-22,1610612758,22101125,2022-03-28,SAC,MIA,1610612748,76,100,123,L,-23
2021-22,1610612758,22101142,2022-03-30,SAC,HOU,1610612745,77,121,118,W,3
2021-22,1610612758,22101154,2022-04-01,SAC,HOU,1610612745,78,122,117,W,5
2021-22,1610612758,22101176,2022-04-03,GSW,SAC,1610612744,79,90,109,L,-19
2021-22,1610612758,22101188,2022-04-05,NOP,SAC,1610612740,80,109,123,L,-14
2021-22,1610612758,22101212,2022-04-09,SAC,LAC,1610612746,81,98,117,L,-19
2021-22,1610612758,22101229,2022-04-10,SAC,PHX,1610612756,82,116,109,W,7
