season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end,is_home,home,away,MON
2022-23,1610612758,SAC,Sacramento Kings,22201227,2023-04-09,SAC @ DEN,L,48.0,37,85,0.435,11,43,0.256,10,15,0.667,10,24,34,24,15.0,7,6,2,18,15,95,-14.0,1,1231,1231,1231,159,2011,1571,1886,1370,257,2203,2282,2181,2135,1152,2344,2244,1355,1368,1116,512,183,678,2144,2331,2081,1,2022,2023,False,DEN,SAC,APR
2022-23,1610612758,SAC,Sacramento Kings,22201211,2023-04-07,SAC vs. GSW,L,48.0,38,98,0.388,11,39,0.282,10,18,0.556,18,22,40,24,12.0,10,3,7,16,22,97,-22.0,1,1231,1231,1231,159,1853,213,2344,1370,531,1988,2282,1891,2413,83,2412,1629,1355,665,329,1603,1950,318,631,2284,2327,1,2022,2023,True,SAC,GSW,APR
2022-23,1610612758,SAC,Sacramento Kings,22201195,2023-04-05,SAC @ DAL,L,48.0,46,106,0.434,12,37,0.324,15,19,0.789,22,35,57,31,9.0,7,1,7,19,18,119,-4.0,1,1231,1231,1231,159,455,40,1908,1088,743,1598,1661,1769,1187,11,784,62,253,179,1116,2279,1950,926,1536,812,1424,1,2022,2023,False,DAL,SAC,APR
2022-23,1610612758,SAC,Sacramento Kings,22201185,2023-04-04,SAC @ NOP,W,48.0,46,91,0.505,17,42,0.405,12,15,0.8,11,32,43,35,12.0,8,4,4,22,14,121,18.0,1,1,1,1,159,455,767,728,266,318,724,2091,2181,1049,915,1290,1188,60,665,800,1183,859,1607,2257,682,221,1,2022,2023,False,NOP,SAC,APR
2022-23,1610612758,SAC,Sacramento Kings,22201170,2023-04-02,SAC vs. SAS,L,53.0,49,103,0.476,11,44,0.25,25,32,0.781,13,30,43,24,15.0,9,5,3,23,25,134,-8.0,1,1231,1231,1231,21,178,72,1223,1370,199,2211,279,242,1292,511,1641,1188,1355,1368,533,809,457,1831,225,122,1714,1,2022,2023,True,SAC,SAS,APR
2022-23,1610612758,SAC,Sacramento Kings,22201159,2023-03-31,SAC @ POR,W,48.0,54,88,0.614,19,39,0.487,11,15,0.733,8,33,41,38,13.0,11,7,6,21,15,138,24.0,1,1,1,1,159,26,1138,19,113,531,157,2187,2181,1749,1632,1113,1487,24,882,196,294,1653,1383,2144,64,92,1,2022,2023,False,POR,SAC,MAR
2022-23,1610612758,SAC,Sacramento Kings,22201145,2023-03-29,SAC @ POR,W,48.0,42,92,0.457,18,48,0.375,18,24,0.75,10,49,59,30,10.0,9,4,6,11,15,120,40.0,1,1,1,1,159,1088,655,1561,169,75,996,1153,1040,1579,1152,8,33,356,290,533,1183,1653,19,2144,754,11,1,2022,2023,False,POR,SAC,MAR
2022-23,1610612758,SAC,Sacramento Kings,22201128,2023-03-27,SAC vs. MIN,L,48.0,39,84,0.464,5,27,0.185,32,40,0.8,12,30,42,16,10.0,4,4,3,23,27,115,-4.0,1,1231,1231,1231,159,1655,1693,1406,2399,2055,2417,33,31,1049,708,1641,1332,2386,290,2048,1183,457,1831,97,1131,1424,1,2022,2023,True,SAC,MIN,MAR
2022-23,1610612758,SAC,Sacramento Kings,22201111,2023-03-25,SAC vs. UTA,W,48.0,44,95,0.463,16,43,0.372,17,21,0.81,14,28,42,30,9.0,11,1,7,13,14,121,8.0,1,1,1,1,159,744,368,1431,379,257,1045,1320,1464,971,371,1964,1332,356,179,196,2279,1950,73,2257,682,664,1,2022,2023,True,SAC,UTA,MAR
2022-23,1610612758,SAC,Sacramento Kings,22201105,2023-03-24,SAC vs. PHX,W,48.0,47,89,0.528,13,39,0.333,28,32,0.875,5,28,33,29,4.0,6,3,7,23,25,135,8.0,1,1,1,1,159,346,1004,421,857,531,1447,121,242,383,2219,1964,2300,474,3,1444,1603,1950,1831,225,108,664,1,2022,2023,True,SAC,PHX,MAR
