TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612737,Atlanta Hawks,6,2,4,0.333,288.0,44.0,96.3,0.457,14.0,37.3,0.375,13.8,17.0,0.814,12.2,31.7,43.8,24.5,12.8,7.7,4.8,7.2,16.3,16.5,115.8,-5.3,10,10,1,10,11,1,1,9,3,6,3,14,16,4,5,10,7,6,10,2,5,15,2,15,2,11
1610612738,Boston Celtics,20,11,9,0.55,965.0,40.6,85.1,0.478,14.0,38.4,0.364,16.1,19.9,0.81,9.4,33.4,42.8,24.0,12.3,6.0,6.3,4.6,17.1,17.6,111.4,3.3,2,3,15,4,2,9,11,3,4,4,5,9,9,6,10,6,9,7,7,15,2,9,3,12,9,2
1610612751,Brooklyn Nets,4,0,4,0.0,192.0,34.0,77.3,0.44,11.3,34.5,0.326,13.3,18.3,0.726,5.8,29.3,35.0,22.3,12.3,5.3,3.8,4.0,15.5,18.8,92.5,-11.3,16,16,1,16,16,16,16,12,10,7,13,16,15,15,16,14,16,10,6,16,13,5,1,10,16,16
1610612739,Cleveland Cavaliers,5,1,4,0.2,240.0,35.2,78.4,0.449,10.0,30.6,0.327,13.8,18.6,0.742,9.2,28.0,37.2,22.0,15.8,6.8,4.0,4.6,20.4,17.4,94.2,-5.4,12,12,1,12,14,15,15,10,14,13,12,15,14,14,11,16,15,12,16,8,12,7,11,13,15,12
1610612743,Denver Nuggets,20,16,4,0.8,965.0,42.0,85.5,0.492,11.2,29.8,0.375,17.6,22.0,0.801,10.0,34.5,44.5,25.6,11.5,6.8,4.2,4.6,19.2,20.9,112.9,8.3,2,1,1,1,2,4,10,2,11,15,3,7,7,8,7,3,5,3,1,7,11,9,7,6,7,1
1610612744,Golden State Warriors,13,6,7,0.462,624.0,41.9,93.6,0.448,14.5,42.5,0.34,14.8,19.7,0.75,12.5,34.5,47.1,28.2,14.4,7.2,4.6,4.6,22.9,19.6,113.1,-0.2,5,6,13,8,5,5,4,11,2,1,10,13,11,12,4,2,2,1,14,4,7,8,15,9,6,6
1610612746,LA Clippers,5,1,4,0.2,240.0,40.8,88.6,0.46,12.2,33.8,0.361,21.8,26.4,0.826,11.8,28.2,40.0,21.6,14.0,6.6,4.2,6.2,23.0,21.2,115.6,-6.4,12,12,1,12,14,7,6,6,6,8,7,1,2,3,6,15,12,14,11,10,10,14,16,4,3,13
1610612747,Los Angeles Lakers,16,8,8,0.5,773.0,40.8,86.6,0.471,10.1,30.1,0.335,19.9,24.7,0.809,9.0,35.3,44.3,24.8,11.9,6.8,6.3,3.8,17.3,21.1,111.6,2.4,4,4,14,7,4,8,8,5,13,14,11,3,4,7,14,1,6,4,3,9,1,3,4,5,8,3
1610612763,Memphis Grizzlies,6,2,4,0.333,293.0,37.7,93.7,0.402,11.8,37.8,0.312,15.7,18.8,0.835,12.9,32.8,45.7,22.9,12.8,6.6,3.4,9.0,20.2,17.2,102.9,-7.4,10,10,1,10,10,11,3,16,9,5,14,11,13,2,2,7,3,9,9,11,16,16,10,14,12,14
1610612748,Miami Heat,23,13,10,0.565,1109.0,39.6,86.4,0.458,12.7,33.5,0.38,16.0,19.7,0.813,9.2,30.9,40.1,23.5,11.6,7.0,3.5,4.7,20.0,18.6,107.9,1.5,1,2,16,3,1,10,9,7,5,10,1,10,10,5,13,11,11,8,2,6,14,11,9,11,10,4
1610612749,Milwaukee Bucks,5,1,4,0.2,245.0,43.1,90.7,0.475,15.3,40.4,0.379,14.9,21.0,0.71,10.0,33.5,43.5,26.3,14.1,6.5,3.5,3.3,18.4,20.0,116.4,-5.1,12,12,1,12,12,2,5,4,1,2,2,12,8,16,8,5,8,2,12,12,15,1,5,8,1,10
1610612750,Minnesota Timberwolves,5,1,4,0.2,245.0,37.0,80.9,0.458,11.0,31.5,0.348,18.2,23.7,0.769,8.2,30.2,38.4,22.1,12.5,6.5,4.7,3.3,21.2,22.5,103.2,-8.6,12,12,1,12,12,12,14,8,12,12,9,6,5,10,15,13,14,11,8,12,6,1,12,2,11,15
1610612752,New York Knicks,11,6,5,0.545,528.0,35.3,81.5,0.433,9.5,32.7,0.292,20.0,26.8,0.746,12.9,32.5,45.4,18.7,14.6,7.0,4.5,3.8,19.5,21.6,100.1,0.4,6,6,11,5,7,14,13,14,15,11,16,2,1,13,3,9,4,16,15,5,8,4,8,3,14,5
1610612755,Philadelphia 76ers,11,7,4,0.636,533.0,36.4,83.2,0.437,12.1,33.6,0.359,16.8,18.9,0.886,9.9,32.7,42.6,18.9,12.2,7.6,5.2,5.4,18.6,15.8,101.6,-1.5,6,5,1,2,6,13,12,13,8,9,8,8,12,1,9,8,10,15,5,3,4,12,6,16,13,7
1610612756,Phoenix Suns,11,6,5,0.545,528.0,43.1,86.8,0.496,9.4,25.8,0.363,18.6,23.4,0.798,9.2,30.8,40.0,24.5,12.1,6.3,5.6,4.0,22.0,20.8,114.2,-2.3,6,6,11,5,7,3,7,1,16,16,6,5,6,9,12,12,12,5,4,14,3,5,13,7,4,9
1610612758,Sacramento Kings,7,3,4,0.429,336.0,41.0,95.6,0.429,12.1,39.7,0.306,19.6,25.7,0.761,14.0,33.7,47.7,22.0,14.1,7.7,4.3,5.6,22.6,22.7,113.7,-2.1,9,9,1,9,9,6,2,15,7,3,15,4,3,11,1,4,1,12,13,1,9,13,14,1,5,8
