TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
1610612760,Oklahoma City Thunder,OKC,82,82,0.403,19.15,35.02,0.547,0.585,-0.038
1610612738,Boston Celtics,BOS,82,82,0.421,20.85,37.65,0.554,0.583,-0.029
1610612765,Detroit Pistons,DET,82,82,0.415,20.44,36.48,0.56,0.585,-0.025
1610612739,Cleveland Cavaliers,CLE,82,82,0.42,21.44,38.22,0.561,0.584,-0.023
1610612745,Houston Rockets,HOU,82,82,0.451,22.57,39.83,0.567,0.586,-0.019
1610612753,Orlando Magic,ORL,82,82,0.446,20.67,36.34,0.569,0.585,-0.016
1610612742,Dallas Mavericks,DAL,82,82,0.453,23.76,41.59,0.571,0.584,-0.013
1610612750,Minnesota Timberwolves,MIN,82,82,0.423,21.32,37.17,0.573,0.586,-0.012
1610612744,Golden State Warriors,GSW,82,82,0.42,20.94,36.5,0.574,0.586,-0.012
1610612763,Memphis Grizzlies,MEM,82,81,0.409,21.3,37.1,0.574,0.585,-0.011
1610612757,Portland Trail Blazers,POR,82,82,0.434,22.1,38.27,0.577,0.587,-0.01
1610612749,Milwaukee Bucks,MIL,82,82,0.408,21.59,37.15,0.581,0.584,-0.003
1610612747,Los Angeles Lakers,LAL,81,81,0.424,22.19,37.88,0.586,0.585,0.0
1610612754,Indiana Pacers,IND,82,82,0.459,24.13,41.23,0.585,0.583,0.002
1610612758,Sacramento Kings,SAC,82,82,0.419,21.73,36.79,0.591,0.586,0.005
1610612761,Toronto Raptors,TOR,82,82,0.442,23.22,39.05,0.595,0.586,0.008
1610612743,Denver Nuggets,DEN,82,82,0.414,22.82,38.54,0.592,0.585,0.008
1610612759,San Antonio Spurs,SAS,82,82,0.43,23.65,39.77,0.595,0.585,0.009
1610612756,Phoenix Suns,PHX,82,82,0.416,22.29,37.43,0.596,0.585,0.01
1610612764,Washington Wizards,WAS,82,82,0.433,23.94,40.2,0.596,0.586,0.01
1610612746,LA Clippers,LAC,82,82,0.405,20.68,34.74,0.595,0.586,0.01
1610612741,Chicago Bulls,CHI,82,82,0.438,24.76,41.61,0.595,0.584,0.011
1610612748,Miami Heat,MIA,82,82,0.411,21.77,36.4,0.598,0.585,0.013
1610612766,Charlotte Hornets,CHA,81,81,0.397,21.21,35.31,0.601,0.585,0.015
1610612737,Atlanta Hawks,ATL,82,82,0.423,22.88,38.12,0.6,0.585,0.015
1610612751,Brooklyn Nets,BKN,82,82,0.451,22.99,37.98,0.605,0.586,0.019
1610612752,New York Knicks,NYK,82,81,0.427,22.27,36.9,0.603,0.584,0.02
1610612762,Utah Jazz,UTA,82,82,0.421,23.98,39.17,0.612,0.587,0.025
1610612740,New Orleans Pelicans,NOP,82,82,0.433,24.34,39.18,0.621,0.587,0.034
1610612755,Philadelphia 76ers,PHI,82,82,0.437,23.52,37.96,0.62,0.584,0.035
