CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
1629028,Deandre Ayton,1610612757,POR,C,26.0,40,40,0.648,5.1,9.58,0.533,0.559,-0.027
1628404,Josh Hart,1610612752,NYK,G,30.0,76,76,0.61,5.28,9.43,0.559,0.544,0.015
1630700,Dyson Daniels,1610612737,ATL,G,22.0,76,76,0.627,5.17,9.43,0.548,0.541,0.007
1641744,Zach Edey,1610612763,MEM,C,23.0,65,65,0.695,4.8,9.34,0.514,0.553,-0.039
1629023,P.J. Washington,1610612742,DAL,F,26.0,57,57,0.663,5.11,9.3,0.549,0.545,0.004
1642270,Donovan Clingan,1610612757,POR,C,21.0,67,67,0.678,4.36,9.21,0.473,0.556,-0.082
1631105,Jalen Duren,1610612765,DET,C,21.0,78,78,0.678,5.14,9.19,0.559,0.559,0.0
1630552,Jalen Johnson,1610612737,ATL,F,23.0,36,36,0.627,4.67,9.03,0.517,0.546,-0.029
1628389,Bam Adebayo,1610612748,MIA,C-F,27.0,78,78,0.685,4.74,9.0,0.527,0.56,-0.033
1642449,Tolu Smith,1610612765,DET,F,24.0,1,1,0.529,4.0,9.0,0.444,0.547,-0.102
1630581,Josh Giddey,1610612741,CHI,G,22.0,70,70,0.636,5.0,8.97,0.557,0.54,0.018
1627783,Pascal Siakam,1610612754,IND,F,31.0,78,78,0.607,4.72,8.92,0.529,0.545,-0.017
1630567,Scottie Barnes,1610612761,TOR,F-G,23.0,65,65,0.661,4.57,8.89,0.514,0.547,-0.033
1630530,Trey Murphy III,1610612740,NOP,F,24.0,52,52,0.613,5.37,8.79,0.611,0.548,0.062
203110,Draymond Green,1610612744,GSW,F,35.0,68,67,0.606,4.26,8.75,0.487,0.548,-0.061
1628401,Derrick White,1610612738,BOS,G,30.0,76,76,0.628,4.49,8.7,0.516,0.533,-0.017
1628415,Dillon Brooks,1610612745,HOU,G-F,29.0,75,75,0.61,4.45,8.69,0.512,0.545,-0.033
1627749,Dejounte Murray,1610612740,NOP,G,28.0,31,31,0.654,4.9,8.55,0.574,0.548,0.026
1629029,Luka Dončić,1610612747,LAL,F-G,26.0,50,50,0.567,4.6,8.52,0.54,0.545,-0.005
1642276,Kel'el Ware,1610612748,MIA,C,21.0,63,62,0.734,4.62,8.48,0.545,0.559,-0.014
1631099,Keegan Murray,1610612758,SAC,F,24.0,76,76,0.614,4.14,8.46,0.49,0.542,-0.052
201143,Al Horford,1610612738,BOS,C-F,39.0,60,60,0.638,4.27,8.42,0.507,0.551,-0.044
203944,Julius Randle,1610612750,MIN,F-C,30.0,69,68,0.648,4.3,8.39,0.513,0.552,-0.039
1629651,Nic Claxton,1610612751,BKN,C,26.0,70,70,0.697,4.54,8.37,0.543,0.561,-0.018
1630166,Deni Avdija,1610612757,POR,F,24.0,72,72,0.657,4.57,8.33,0.548,0.547,0.001
1642273,Kyshawn George,1610612764,WAS,F,21.0,67,67,0.602,4.04,8.33,0.486,0.545,-0.059
1628969,Mikal Bridges,1610612752,NYK,G-F,28.0,80,80,0.64,4.44,8.33,0.533,0.531,0.002
1630183,Jaden McDaniels,1610612750,MIN,F,24.0,82,82,0.611,4.32,8.29,0.521,0.537,-0.016
1631110,Jeremy Sochan,1610612759,SAS,F,22.0,54,53,0.671,4.33,8.26,0.525,0.539,-0.014
1641739,Toumani Camara,1610612757,POR,F,25.0,78,78,0.634,4.65,8.23,0.565,0.547,0.018
1631166,Drew Timme,1610612751,BKN,F,24.0,9,9,0.638,4.56,8.22,0.554,0.551,0.003
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,68,68,0.739,4.06,8.22,0.494,0.555,-0.061
1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,25.0,73,73,0.629,3.84,8.19,0.468,0.551,-0.083
1630595,Cade Cunningham,1610612765,DET,G,23.0,70,70,0.551,4.06,8.17,0.497,0.544,-0.048
1627832,Fred VanVleet,1610612745,HOU,G,31.0,60,60,0.677,4.3,8.15,0.528,0.533,-0.006
1626171,Bobby Portis,1610612749,MIL,F,30.0,49,49,0.634,4.18,8.08,0.518,0.549,-0.032
1628436,Luke Kornet,1610612738,BOS,C-F,29.0,71,71,0.679,3.86,8.06,0.479,0.542,-0.063
1641707,Taylor Hendricks,1610612762,UTA,F,21.0,3,3,0.667,4.0,8.0,0.5,0.574,-0.074
201935,James Harden,1610612746,LAC,G,35.0,79,79,0.608,4.38,7.96,0.55,0.543,0.007
203994,Jusuf Nurkić,1610612766,CHA,C,30.0,51,51,0.703,4.04,7.94,0.509,0.559,-0.051
1626162,Kelly Oubre Jr.,1610612755,PHI,F-G,29.0,60,60,0.585,4.5,7.87,0.572,0.549,0.023
1630191,Isaiah Stewart,1610612765,DET,F-C,24.0,72,72,0.709,3.67,7.86,0.466,0.556,-0.09
1627824,Guerschon Yabusele,1610612755,PHI,F,29.0,70,69,0.692,4.51,7.84,0.576,0.554,0.021
203486,Mason Plumlee,1610612756,PHX,F-C,35.0,74,74,0.769,4.22,7.78,0.542,0.56,-0.018
1631094,Paolo Banchero,1610612753,ORL,F,22.0,46,46,0.587,4.07,7.72,0.527,0.55,-0.024
1631108,Max Christie,1610612742,DAL,G,22.0,76,76,0.68,4.26,7.71,0.553,0.538,0.015
202685,Jonas Valančiūnas,1610612758,SAC,C,33.0,81,81,0.707,4.33,7.7,0.563,0.568,-0.006
1629639,Tyler Herro,1610612748,MIA,G,25.0,77,77,0.64,4.19,7.69,0.546,0.533,0.013
1629675,Naz Reid,1610612750,MIN,C-F,25.0,80,80,0.648,4.04,7.68,0.526,0.551,-0.025
1628384,OG Anunoby,1610612752,NYK,F-G,27.0,73,73,0.557,3.93,7.67,0.513,0.543,-0.031
203952,Andrew Wiggins,1610612748,MIA,F,30.0,60,60,0.589,3.93,7.63,0.515,0.54,-0.024
1629048,Goga Bitadze,1610612753,ORL,C-F,25.0,69,67,0.689,3.9,7.57,0.515,0.553,-0.038
1627827,Dorian Finney-Smith,1610612747,LAL,F,32.0,62,62,0.662,3.9,7.56,0.516,0.548,-0.032
1630169,Tyrese Haliburton,1610612754,IND,G,25.0,73,73,0.632,3.96,7.51,0.527,0.529,-0.001
1628368,De'Aaron Fox,1610612759,SAS,G,27.0,62,62,0.504,4.23,7.5,0.563,0.537,0.026
1642271,Kyle Filipowski,1610612762,UTA,C,21.0,72,71,0.67,4.46,7.44,0.599,0.552,0.047
1641706,Brandon Miller,1610612766,CHA,F,22.0,27,27,0.595,3.78,7.44,0.507,0.548,-0.041
1629014,Anfernee Simons,1610612757,POR,G,26.0,70,70,0.638,4.31,7.43,0.581,0.541,0.04
203078,Bradley Beal,1610612756,PHX,G,31.0,53,53,0.554,4.21,7.43,0.566,0.536,0.03
