group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
Players,1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,20,12,8,0.6,77.0,0.126,0.094,0.115,0.111,0.137,0.282,0.231,0.077,0.185,0.164,0.083,0.0,0.118,0.0,0.0,0.294,0.217,0.164,160,113,288,122,111,268,320,329,236,254,92,121,276,221,265,294,1,231,208,1,410,140,207
Players,1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,27,16,11,0.593,117.0,0.179,0.136,0.171,0.074,0.128,0.174,0.181,0.143,0.195,0.184,0.279,0.267,0.043,0.091,0.2,0.308,0.143,0.142,85,55,352,133,29,161,258,191,255,261,164,169,216,208,230,105,397,261,196,351,417,210,252
Players,1641767,Ben Sheppard,Ben,1610612754,IND,23.0,18,11,7,0.611,23.0,0.096,0.056,0.108,0.0,0.111,0.1,0.167,0.5,0.375,0.4,0.231,0.0,0.333,0.0,0.5,0.071,0.214,0.053,178,135,262,118,272,359,354,342,265,286,235,179,32,47,36,136,1,78,208,448,129,141,373
Players,1631097,Bennedict Mathurin,Bennedict,1610612754,IND,22.0,26,16,10,0.615,88.0,0.265,0.284,0.253,0.1,0.155,0.386,0.365,0.188,0.2,0.197,0.051,0.35,0.188,0.111,0.4,0.17,0.323,0.298,91,55,328,111,82,74,87,91,241,226,50,53,180,187,215,327,447,182,187,434,248,66,62
Players,1642402,Enrique Freeman,Enrique,1610612754,IND,24.0,2,2,0,1.0,11.0,0.036,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.222,0.182,0.2,0.0,0.25,0.167,0.0,0.25,0.0,0.083,410,335,1,1,338,430,308,414,265,347,307,313,302,163,235,153,1,117,161,1,358,339,346
Players,1630543,Isaiah Jackson,Isaiah,1610612754,IND,23.0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439,450,35,450,471,435,369,419,265,347,307,313,302,1,1,337,1,263,208,1,1,339,392
Players,1641716,Jarace Walker,Jarace,1610612754,IND,21.0,11,7,4,0.636,16.0,0.07,0.077,0.036,0.0,0.0,0.0,0.0,0.0,0.385,0.357,0.375,0.333,0.0,0.0,0.0,0.364,0.091,0.049,254,209,181,92,298,400,337,417,265,347,307,313,302,43,62,62,422,263,208,1,448,272,378
Players,1642277,Johnny Furphy,Johnny,1610612754,IND,20.0,1,1,0,1.0,11.0,0.185,0.3,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.091,0.4,0.0,0.0,0.0,0.25,0.25,0.333,0.25,439,375,1,1,339,149,74,140,265,347,307,313,32,382,372,52,1,263,208,379,358,52,99
Players,1626167,Myles Turner,Myles,1610612754,IND,29.0,29,17,12,0.586,107.0,0.151,0.15,0.137,0.286,0.197,0.118,0.135,0.375,0.23,0.256,0.04,0.25,0.25,0.556,0.0,0.218,0.171,0.155,63,38,372,139,50,206,239,275,97,183,220,212,87,162,137,332,379,117,31,1,315,189,221
Players,1630167,Obi Toppin,Obi,1610612754,IND,27.0,18,13,5,0.722,41.0,0.155,0.225,0.2,0.357,0.273,0.0,0.0,0.571,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.209,178,96,214,56,210,200,137,140,66,94,307,313,27,265,140,337,1,263,208,1,225,339,148
Players,1627783,Pascal Siakam,Pascal,1610612754,IND,31.0,33,19,14,0.576,135.0,0.173,0.202,0.197,0.176,0.179,0.099,0.114,0.083,0.187,0.165,0.214,0.188,0.217,0.182,0.167,0.234,0.13,0.169,30,21,410,148,15,170,158,156,174,202,238,233,263,218,264,147,333,155,154,332,338,237,198
Players,1631245,Quenton Jackson,Quenton,1610612754,IND,26.0,5,5,0,1.0,26.0,0.213,0.16,0.24,0.125,0.2,0.5,0.429,0.0,0.158,0.143,0.059,0.0,0.4,0.0,0.4,0.333,0.2,0.188,342,243,1,1,261,115,220,105,218,173,17,30,302,269,307,318,1,61,208,434,427,154,174
Players,1642484,RayJ Dennis,RayJ,1610612754,IND,24.0,1,1,0,1.0,11.0,0.185,0.3,0.2,1.0,0.667,0.0,0.0,0.0,0.333,0.273,0.2,0.0,0.25,0.333,0.0,0.25,0.0,0.292,439,375,1,1,339,149,74,140,1,4,307,313,302,66,121,153,1,117,82,1,358,339,66
Players,204456,T.J. McConnell,T.J.,1610612754,IND,33.0,10,7,3,0.7,31.0,0.211,0.192,0.176,0.0,0.04,0.5,0.5,0.0,0.263,0.227,0.375,0.0,0.25,0.0,0.0,0.056,0.444,0.238,269,209,148,64,240,120,173,185,265,340,17,14,302,118,174,62,1,117,208,1,120,22,118
Players,1628418,Thomas Bryant,Thomas,1610612754,IND,27.0,6,5,1,0.833,13.0,0.226,0.214,0.231,0.143,0.222,0.167,0.167,0.25,0.222,0.231,0.0,1.0,0.25,1.0,1.0,0.0,0.2,0.195,322,243,35,37,321,103,146,115,203,148,169,179,135,163,167,337,491,117,1,485,1,154,165
Players,1628396,Tony Bradley,Tony,1610612754,IND,27.0,3,3,0,1.0,15.0,0.167,0.067,0.194,0.0,0.0,0.0,0.0,0.5,0.25,0.286,0.286,0.0,0.0,0.5,0.25,0.0,0.2,0.056,380,304,1,1,311,175,347,162,265,347,307,313,32,129,112,100,1,263,33,379,1,154,369
Players,1630169,Tyrese Haliburton,Tyrese,1610612754,IND,25.0,32,20,12,0.625,120.0,0.305,0.347,0.343,0.471,0.415,0.222,0.238,0.19,0.128,0.141,0.455,0.192,0.421,0.2,0.2,0.066,0.266,0.328,36,12,372,99,26,39,37,34,35,33,123,119,178,316,316,40,336,59,141,351,126,100,48
