GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,1628401,Derrick White,Derrick,1610612738,BOS,28.0,6,2,4,0.333,12.463333333333331,0.0,5.8,0.0,5.8,0.0,23.1,0.0,11.6,0.0,0.0,8.7,8.7,15.0,22,37,114,76,48,38,18,23,40,1,114,1,113,26,1,116,10,85
Players,1630217,Desmond Bane,Desmond,1610612763,MEM,25.0,2,0,2,0.0,12.3,0.0,0.0,5.9,5.9,17.6,14.6,8.8,46.8,0.0,0.0,2.9,2.9,19.6,75,92,56,92,52,38,37,10,38,101,87,94,21,26,1,67,50,77
Players,1626164,Devin Booker,Devin,1610612756,PHX,26.0,6,4,2,0.667,15.735,0.0,0.0,0.0,4.6,6.9,16.0,6.9,22.9,0.0,2.3,4.6,4.6,41.0,22,14,56,21,36,38,37,23,49,43,93,81,84,26,119,80,39,31
Players,1628415,Dillon Brooks,Dillon,1610612763,MEM,27.0,2,0,2,0.0,12.783333333333331,5.6,0.0,5.6,5.6,16.9,14.1,8.4,45.1,0.0,0.0,5.6,0.0,20.8,75,92,56,92,43,29,37,11,43,97,84,91,29,26,1,85,67,73
Players,1627734,Domantas Sabonis,Domantas,1610612758,SAC,27.0,4,2,2,0.5,17.511666666666667,0.0,4.1,4.1,12.3,14.4,0.0,4.1,20.6,0.0,2.1,0.0,0.0,27.5,38,37,56,47,34,38,26,14,21,93,1,73,93,26,117,1,67,59
Players,1628378,Donovan Mitchell,Donovan,1610612739,CLE,26.0,1,0,1,0.0,4.283333333333333,16.8,0.0,16.8,16.8,0.0,58.8,0.0,16.8,0.0,0.0,8.4,8.4,84.0,97,92,14,92,96,2,37,2,8,1,125,1,103,26,1,114,13,2
Players,1628978,Donte DiVincenzo,Donte,1610612744,GSW,26.0,1,0,1,0.0,0.0783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.6,0.0,0.0,97,92,14,92,125,38,37,23,57,1,1,1,115,26,1,131,67,108
Players,1627827,Dorian Finney-Smith,Dorian,1610612751,BKN,30.0,1,0,1,0.0,5.1,0.0,0.0,0.0,0.0,28.2,21.2,28.2,42.4,0.0,0.0,14.1,0.0,8.5,97,92,14,92,82,38,37,23,57,111,108,126,34,26,1,127,67,101
Players,203110,Draymond Green,Draymond,1610612744,GSW,33.0,5,2,3,0.4,19.56,0.0,0.0,0.0,0.0,9.2,11.0,9.2,18.4,3.7,0.0,3.7,0.0,45.1,30,37,98,71,28,38,37,23,57,51,69,95,100,5,1,73,67,21
Players,1629130,Duncan Robinson,Duncan,1610612748,MIA,29.0,7,3,4,0.429,10.538333333333334,6.8,0.0,0.0,6.8,6.8,10.2,0.0,34.2,0.0,0.0,6.8,0.0,6.8,17,22,114,70,57,22,37,23,35,42,67,1,52,26,1,101,67,105
Players,201569,Eric Gordon,Eric,1610612746,LAC,34.0,2,1,1,0.5,6.183333333333334,0.0,0.0,0.0,0.0,29.1,0.0,17.5,46.6,0.0,0.0,5.8,5.8,44.8,75,66,14,47,75,38,37,23,57,118,1,114,23,26,1,93,28,22
Players,1630596,Evan Mobley,Evan,1610612739,CLE,22.0,1,0,1,0.0,4.283333333333333,0.0,0.0,0.0,0.0,0.0,58.8,0.0,16.8,0.0,0.0,0.0,0.0,0.0,97,92,14,92,96,38,37,23,57,1,125,1,103,26,1,1,67,108
Players,1629216,Gabe Vincent,Gabe,1610612748,MIA,27.0,10,7,3,0.7,30.01,3.6,0.0,0.0,0.0,10.8,15.6,0.0,26.4,1.2,0.0,1.2,1.2,27.5,9,4,98,19,13,34,37,23,57,60,92,1,72,20,1,51,63,60
Players,1627780,Gary Payton II,Gary,1610612744,GSW,30.0,3,0,3,0.0,4.801666666666667,0.0,0.0,0.0,0.0,15.0,60.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,61,92,98,92,90,38,37,23,57,95,130,1,31,26,1,1,67,108
Players,1627777,Georges Niang,Georges,1610612755,PHI,30.0,2,1,1,0.5,1.778333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,66,14,47,114,38,37,23,57,1,1,1,115,26,1,1,67,108
Players,203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,28.0,2,0,2,0.0,12.451666666666666,5.8,5.8,0.0,23.1,11.6,23.1,17.3,34.7,0.0,0.0,2.9,14.5,53.2,75,92,56,92,49,26,17,23,4,65,115,112,49,26,1,65,4,14
Players,1629684,Grant Williams,Grant,1610612738,BOS,24.0,3,2,1,0.667,5.666666666666667,12.7,0.0,0.0,12.7,25.4,0.0,0.0,12.7,0.0,6.4,0.0,0.0,20.3,61,37,14,21,78,9,37,23,19,110,1,1,111,26,130,1,67,75
Players,1628960,Grayson Allen,Grayson,1610612749,MIL,27.0,2,0,2,0.0,5.07,0.0,0.0,0.0,0.0,28.4,14.2,42.6,14.2,0.0,0.0,7.1,0.0,0.0,75,92,56,92,87,38,37,23,57,116,86,131,109,26,1,106,67,108
Players,203084,Harrison Barnes,Harrison,1610612758,SAC,31.0,4,2,2,0.5,17.56,4.1,0.0,0.0,8.2,14.4,0.0,4.1,20.5,0.0,0.0,0.0,2.1,27.1,38,37,56,47,31,32,37,23,29,89,1,70,94,26,1,1,56,61
Players,1629312,Haywood Highsmith,Haywood,1610612748,MIA,26.0,1,1,0,1.0,0.6683333333333333,0.0,0.0,0.0,0.0,0.0,107.7,0.0,107.7,0.0,0.0,0.0,0.0,0.0,97,66,1,1,120,38,37,23,57,1,131,1,2,26,1,1,67,108
Players,1630193,Immanuel Quickley,Immanuel,1610612752,NYK,24.0,2,1,1,0.5,0.8366666666666667,0.0,0.0,0.0,0.0,129.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,66,14,47,119,38,37,23,57,131,1,1,115,26,1,1,67,108
Players,1628392,Isaiah Hartenstein,Isaiah,1610612752,NYK,25.0,3,3,0,1.0,5.683333333333334,0.0,12.7,0.0,12.7,0.0,0.0,0.0,12.7,0.0,0.0,6.3,0.0,43.1,61,22,1,1,77,38,8,23,20,1,1,1,112,26,1,97,67,26
Players,1627826,Ivica Zubac,Ivica,1610612746,LAC,26.0,1,1,0,1.0,4.6883333333333335,0.0,0.0,0.0,0.0,38.4,0.0,23.0,46.1,0.0,0.0,0.0,0.0,10.8,97,66,1,1,93,38,37,23,57,124,1,123,25,26,1,1,67,96
Players,1629630,Ja Morant,Ja,1610612763,MEM,23.0,1,0,1,0.0,9.733333333333333,7.4,0.0,0.0,7.4,22.2,11.1,11.1,44.4,0.0,3.7,3.7,3.7,24.8,97,92,14,92,59,19,37,23,33,106,70,103,33,26,126,74,46,67
Players,1628973,Jalen Brunson,Jalen,1610612752,NYK,26.0,5,3,2,0.6,15.245,7.1,11.8,0.0,18.9,23.6,4.7,9.4,37.8,0.0,0.0,4.7,2.4,44.6,30,22,56,36,39,21,9,23,7,109,53,96,46,26,1,81,54,23
Players,1627750,Jamal Murray,Jamal,1610612743,DEN,26.0,12,8,4,0.667,35.931666666666665,0.0,0.0,2.0,4.0,10.0,7.0,2.0,22.0,0.0,0.0,2.0,6.0,36.5,1,1,114,21,5,38,37,21,53,55,59,62,90,26,1,58,27,42
Players,201935,James Harden,James,1610612755,PHI,33.0,4,2,2,0.5,18.7,0.0,3.9,0.0,7.7,11.6,13.5,5.8,27.0,1.9,1.9,5.8,5.8,52.6,38,37,56,47,30,38,28,23,31,64,79,79,70,13,114,90,31,15
Players,1628991,Jaren Jackson Jr.,Jaren,1610612763,MEM,23.0,2,0,2,0.0,12.783333333333331,5.6,0.0,0.0,5.6,16.9,14.1,8.4,45.1,5.6,0.0,2.8,0.0,37.7,75,92,56,92,43,29,37,23,43,97,84,91,29,2,1,64,67,37
Players,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,24.0,2,2,0,1.0,1.5333333333333334,0.0,0.0,0.0,0.0,47.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,75,37,1,1,115,38,37,23,57,128,1,1,20,26,1,1,67,108
Players,1628386,Jarrett Allen,Jarrett,1610612739,CLE,25.0,1,0,1,0.0,4.283333333333333,0.0,16.8,0.0,33.6,0.0,58.8,0.0,16.8,0.0,0.0,0.0,0.0,53.8,97,92,14,92,96,38,3,23,3,1,125,1,103,26,1,1,67,12
