season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl
2018-19,1610612753,21800006,2018-10-17,MIA,ORL,1610612748,1,104,101,W
2018-19,1610612753,21800017,2018-10-19,CHA,ORL,1610612766,2,88,120,L
2018-19,1610612753,21800029,2018-10-20,ORL,PHI,1610612755,3,115,116,L
2018-19,1610612753,21800040,2018-10-22,ORL,BOS,1610612738,4,93,90,W
2018-19,1610612753,21800064,2018-10-25,POR,ORL,1610612757,5,114,128,L
2018-19,1610612753,21800081,2018-10-27,ORL,MIL,1610612749,6,91,113,L
2018-19,1610612753,21800098,2018-10-30,SAC,ORL,1610612758,7,99,107,L
2018-19,1610612753,21800117,2018-11-02,LAC,ORL,1610612746,8,95,120,L
2018-19,1610612753,21800137,2018-11-04,ORL,SAS,1610612759,9,117,110,W
2018-19,1610612753,21800142,2018-11-05,CLE,ORL,1610612739,10,102,100,W
2018-19,1610612753,21800154,2018-11-07,DET,ORL,1610612765,11,96,103,L
2018-19,1610612753,21800167,2018-11-09,WAS,ORL,1610612764,12,117,108,W
2018-19,1610612753,21800186,2018-11-11,ORL,NYK,1610612752,13,115,89,W
2018-19,1610612753,21800190,2018-11-12,ORL,WAS,1610612764,14,109,117,L
2018-19,1610612753,21800202,2018-11-14,PHI,ORL,1610612755,15,111,106,W
2018-19,1610612753,21800227,2018-11-17,LAL,ORL,1610612747,16,130,117,W
2018-19,1610612753,21800236,2018-11-18,NYK,ORL,1610612752,17,131,117,W
2018-19,1610612753,21800248,2018-11-20,TOR,ORL,1610612761,18,91,93,L
2018-19,1610612753,21800276,2018-11-23,ORL,DEN,1610612743,19,87,112,L
2018-19,1610612753,21800286,2018-11-25,ORL,LAL,1610612747,20,108,104,W
2018-19,1610612753,21800300,2018-11-26,ORL,GSW,1610612744,21,110,116,L
2018-19,1610612753,21800314,2018-11-28,ORL,POR,1610612757,22,112,115,L
2018-19,1610612753,21800327,2018-11-30,ORL,PHX,1610612756,23,99,85,W
2018-19,1610612753,21800351,2018-12-04,ORL,MIA,1610612748,24,105,90,W
2018-19,1610612753,21800356,2018-12-05,DEN,ORL,1610612743,25,118,124,L
2018-19,1610612753,21800370,2018-12-07,IND,ORL,1610612754,26,90,112,L
2018-19,1610612753,21800397,2018-12-10,ORL,DAL,1610612742,27,76,101,L
2018-19,1610612753,21800418,2018-12-13,CHI,ORL,1610612741,28,97,91,W
2018-19,1610612753,21800429,2018-12-15,UTA,ORL,1610612762,29,96,89,W
2018-19,1610612753,21800456,2018-12-19,SAS,ORL,1610612759,30,90,129,L
2018-19,1610612753,21800474,2018-12-21,ORL,CHI,1610612741,31,80,90,L
2018-19,1610612753,21800491,2018-12-23,MIA,ORL,1610612748,32,91,115,L
2018-19,1610612753,21800503,2018-12-26,PHX,ORL,1610612756,33,120,122,L
2018-19,1610612753,21800519,2018-12-28,TOR,ORL,1610612761,34,116,87,W
2018-19,1610612753,21800536,2018-12-30,DET,ORL,1610612765,35,109,107,W
2018-19,1610612753,21800543,2018-12-31,ORL,CHA,1610612766,36,100,125,L
2018-19,1610612753,21800559,2019-01-02,ORL,CHI,1610612741,37,112,84,W
2018-19,1610612753,21800571,2019-01-04,ORL,MIN,1610612750,38,103,120,L
2018-19,1610612753,21800586,2019-01-06,ORL,LAC,1610612746,39,96,106,L
2018-19,1610612753,21800598,2019-01-07,ORL,SAC,1610612758,40,95,111,L
2018-19,1610612753,21800614,2019-01-09,ORL,UTA,1610612762,41,93,106,L
2018-19,1610612753,21800632,2019-01-12,BOS,ORL,1610612738,42,105,103,W
2018-19,1610612753,21800641,2019-01-13,HOU,ORL,1610612745,43,116,109,W
2018-19,1610612753,21800657,2019-01-16,ORL,DET,1610612765,44,115,120,L
2018-19,1610612753,21800673,2019-01-18,BKN,ORL,1610612751,45,115,117,L
2018-19,1610612753,21800682,2019-01-19,MIL,ORL,1610612749,46,108,118,L
2018-19,1610612753,21800695,2019-01-21,ORL,ATL,1610612737,47,122,103,W
2018-19,1610612753,21800708,2019-01-23,ORL,BKN,1610612751,48,110,114,L
2018-19,1610612753,21800720,2019-01-25,WAS,ORL,1610612764,49,91,95,L
2018-19,1610612753,21800737,2019-01-27,ORL,HOU,1610612745,50,98,103,L
2018-19,1610612753,21800751,2019-01-29,OKC,ORL,1610612760,51,117,126,L
2018-19,1610612753,21800765,2019-01-31,IND,ORL,1610612754,52,107,100,W
2018-19,1610612753,21800777,2019-02-02,BKN,ORL,1610612751,53,102,89,W
2018-19,1610612753,21800802,2019-02-05,ORL,OKC,1610612760,54,122,132,L
2018-19,1610612753,21800812,2019-02-07,MIN,ORL,1610612750,55,122,112,W
2018-19,1610612753,21800833,2019-02-09,ORL,MIL,1610612749,56,103,83,W
2018-19,1610612753,21800837,2019-02-10,ORL,ATL,1610612737,57,124,108,W
2018-19,1610612753,21800851,2019-02-12,ORL,NOP,1610612740,58,118,88,W
2018-19,1610612753,21800864,2019-02-14,CHA,ORL,1610612766,59,127,89,W
2018-19,1610612753,21800875,2019-02-22,CHI,ORL,1610612741,60,109,110,L
2018-19,1610612753,21800894,2019-02-24,ORL,TOR,1610612761,61,113,98,W
