group_set,player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,team
Players,1631262,Jules Bernard,Jules,1610612764,WAS,24.0,1,0,1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420,422,29,422,445,226,238,169,329,1,1,1,432,218,1,1,310,410,WAS
Players,1629013,Landry Shamet,Landry,1610612764,WAS,27.0,13,1,12,0.077,0.8,0.0,0.2,0.0,0.2,0.5,0.0,0.5,1.4,0.0,0.0,0.4,0.1,0.9,229,359,337,421,426,226,170,169,289,126,1,278,356,218,1,331,288,354,WAS
Players,1630551,Justin Champagnie,Justin,1610612764,WAS,23.0,2,1,1,0.5,2.6,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.5,0.0,1.0,3.1,393,359,29,200,250,226,238,169,329,431,443,1,144,218,462,1,9,117,WAS
Players,1628398,Kyle Kuzma,Kyle,1610612764,WAS,28.0,30,7,23,0.233,3.1,0.1,0.2,0.4,1.1,1.1,1.2,0.7,4.1,0.1,0.2,0.5,0.2,3.2,60,200,463,399,177,214,160,12,46,322,344,355,32,76,424,411,225,110,WAS
Players,1630264,Anthony Gill,Anthony,1610612764,WAS,31.0,6,3,3,0.5,2.4,0.0,0.3,0.0,0.3,0.3,0.8,0.0,2.3,0.0,0.0,0.5,0.0,1.3,308,288,132,200,275,226,68,169,224,99,240,1,243,218,1,385,310,318,WAS
Players,1626145,Tyus Jones,Tyus,1610612764,WAS,28.0,25,4,21,0.16,3.0,0.0,0.0,0.0,0.1,1.2,1.2,0.6,4.2,0.0,0.2,0.2,0.1,1.8,119,261,456,417,193,226,238,169,320,362,359,319,28,190,423,199,287,272,WAS
Players,1629673,Jordan Poole,Jordan,1610612764,WAS,25.0,33,8,25,0.242,3.0,0.1,0.0,0.1,0.2,1.2,1.3,0.5,3.8,0.0,0.1,0.5,0.2,1.8,36,181,468,397,201,194,238,135,264,347,370,285,63,207,313,374,199,266,WAS
Players,1641731,Bilal Coulibaly,Bilal,1610612764,WAS,19.0,21,4,17,0.19,1.8,0.0,0.0,0.0,0.0,1.1,0.9,0.4,2.8,0.0,0.0,0.3,0.0,0.8,148,261,425,412,351,223,238,164,329,320,249,232,180,183,288,283,305,364,WAS
Players,1630215,Jared Butler,Jared,1610612764,WAS,23.0,7,4,3,0.571,1.8,0.0,0.0,0.0,0.3,1.4,0.6,0.0,1.7,0.3,0.1,0.3,0.0,1.9,294,261,132,141,347,226,238,169,244,398,152,1,333,14,402,243,310,259,WAS
Players,1641774,Tristan Vukcevic,Tristan,1610612764,WAS,21.0,4,1,3,0.25,2.6,0.5,1.0,0.0,1.5,1.5,0.8,0.0,2.5,0.0,0.0,1.3,0.5,2.1,341,359,132,382,240,25,7,169,18,406,215,1,218,218,1,465,69,218,WAS
Players,1631116,Patrick Baldwin Jr.,Patrick,1610612764,WAS,21.0,3,0,3,0.0,1.8,0.0,0.0,0.7,0.7,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.3,1.5,364,422,132,422,349,226,238,4,106,431,1,1,275,218,1,1,123,305,WAS
Players,1630647,Eugene Omoruyi,Eugene,1610612764,WAS,27.0,2,0,2,0.0,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,393,422,98,422,402,226,238,169,329,284,1,1,275,218,1,1,310,410,WAS
Players,1626158,Richaun Holmes,Richaun,1610612764,WAS,30.0,7,6,1,0.857,2.8,0.0,0.3,0.0,0.9,0.9,1.1,0.3,2.9,0.3,0.1,0.0,0.0,2.6,294,221,29,29,225,226,97,169,77,245,334,176,167,14,402,1,310,159,WAS
Players,1630166,Deni Avdija,Deni,1610612764,WAS,23.0,28,7,21,0.25,2.9,0.1,0.1,0.0,0.4,1.4,1.1,0.6,3.6,0.0,0.3,0.5,0.4,1.9,87,200,456,382,217,208,226,169,212,388,311,348,83,193,455,385,116,243,WAS
Players,1630557,Corey Kispert,Corey,1610612764,WAS,25.0,26,7,19,0.269,2.1,0.1,0.0,0.0,0.2,0.8,0.8,0.3,2.4,0.0,0.1,0.2,0.1,1.1,111,200,440,380,316,204,238,169,289,242,233,169,238,218,383,135,269,343,WAS
Players,1628963,Marvin Bagley III,Marvin,1610612764,WAS,25.0,11,1,10,0.091,2.7,0.0,0.7,0.0,0.7,0.8,0.6,0.8,3.1,0.3,0.0,0.2,0.1,3.2,253,359,303,420,234,226,14,169,101,231,174,409,139,19,1,156,283,109,WAS
Players,1631098,Johnny Davis,Johnny,1610612764,WAS,22.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,420,422,29,422,466,226,238,169,329,1,1,1,432,218,1,455,310,410,WAS
